Grasp80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:53:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
41;800.033875;515.230286;63.768166;867.716003;488.542511;55.330101;916.788696;561.745178;114.836594;1061.750000;742.586975;456.493073;;;;;;;;;;;;;;;;;;;;;;;;
42;803.771118;516.311035;65.240112;871.052002;491.236084;56.241547;919.356201;563.709534;116.626907;1063.326416;744.093689;456.649384;;;;;;;;;;;;;;;;;;;;;;;;
43;807.563660;517.242065;67.370728;874.214722;493.461731;56.614269;922.657227;565.587341;117.891335;1064.545898;745.561340;456.852783;;;;;;;;;;;;;;;;;;;;;;;;
44;811.493042;518.529297;68.640846;877.324158;495.498932;58.002037;926.000122;568.228149;119.277336;1065.677734;747.014954;457.740417;;;;;;;;;;;;;;;;;;;;;;;;
45;815.543823;520.032593;69.970627;880.267334;497.934235;59.969032;928.514099;570.097839;121.141747;1067.167969;748.718018;458.154755;;;;;;;;;;;;;;;;;;;;;;;;
46;819.813599;521.973083;71.212654;883.252747;500.032990;60.817177;931.612671;572.196594;122.219757;1068.516357;750.113831;458.391327;;;;;;;;;;;;;;;;;;;;;;;;
47;823.787354;523.540771;72.001381;886.191589;502.358917;62.513672;934.336304;575.175842;124.081581;1070.084473;751.704285;458.591949;;;;;;;;;;;;;;;;;;;;;;;;
48;828.067322;525.371521;73.367142;889.259399;504.998627;64.259033;937.128174;577.572144;125.301010;1070.846680;753.184509;459.568207;;;;;;;;;;;;;;;;;;;;;;;;
49;832.328308;527.684875;74.226028;892.359558;507.312531;66.085098;940.058716;579.993469;126.604187;1072.343750;754.521545;460.087158;;;;;;;;;;;;;;;;;;;;;;;;
50;836.005676;530.060974;74.988922;894.799316;509.652893;67.441063;942.924377;582.806824;128.147232;1074.603149;755.663025;460.104004;;;;;;;;;;;;;;;;;;;;;;;;
