;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
32;898.012329;937.922180;455.878937;819.744324;522.756592;170.844711;887.285339;630.451782;230.977203;854.592896;920.297180;256.890442;895.465820;557.261780;155.491074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;898.528320;938.968262;455.959778;817.416504;525.719116;170.754517;885.124329;632.402100;231.912323;854.217529;922.472229;256.953857;894.133545;559.821960;156.061310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;898.768738;939.961060;456.195587;815.266663;528.144775;170.795578;883.678955;634.185669;232.096069;854.289673;924.872375;257.699646;891.991394;563.311157;155.504745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;898.811157;940.898682;456.562469;813.378723;530.502930;169.956467;882.079163;636.309998;232.259033;854.108215;927.044312;258.164490;890.697449;564.873840;155.968674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;898.599487;941.854248;457.027191;811.453308;533.348267;169.419022;880.467896;638.310669;232.906387;854.237915;928.923157;258.472717;889.203857;567.352051;155.915802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;898.652710;942.859497;457.580719;809.465637;535.776794;168.933624;879.068298;639.889587;233.159882;853.854309;930.662354;258.871277;886.623535;570.268372;154.398636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;898.726013;943.675537;458.045898;807.321350;538.105530;168.352783;877.744507;641.609985;233.076462;852.790588;932.812500;259.962769;885.172363;572.446777;154.225113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;899.059448;944.417603;458.375977;805.366760;540.684448;167.616211;875.922729;643.370605;233.218018;852.441956;934.598877;260.967224;882.910767;575.640686;153.194229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;899.334351;945.483887;458.503662;803.650879;542.837402;166.752640;874.304810;644.978821;233.051590;852.713562;936.182556;261.422607;880.750854;578.378235;152.463364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;899.593994;946.534546;458.667816;801.543640;545.387756;166.271896;872.861145;646.774231;232.231918;852.838989;938.096130;261.459229;879.432739;580.564087;151.664688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;899.824707;947.314880;458.696869;799.644104;547.648621;165.515198;871.523865;648.904480;232.090149;852.269592;939.942993;262.226563;877.151062;583.977661;149.926712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;900.149109;947.960876;458.895874;797.961243;549.704712;164.736603;870.013550;650.299744;232.071625;851.926453;941.832092;262.795074;876.198181;585.954285;149.228958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;900.488831;948.892822;459.461548;796.322327;551.879761;163.827026;868.623901;651.851318;231.840149;852.113037;943.440308;263.275238;875.091187;588.593384;148.234100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;900.141113;949.728943;460.127319;795.002686;554.007568;162.674606;867.354065;653.833252;231.389603;851.789368;944.895508;263.440460;873.685730;591.682129;146.594620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;900.237610;950.477661;460.561401;793.473145;556.248413;161.611435;866.337708;654.994019;230.836899;851.438477;946.635864;263.608551;872.694214;594.084656;145.610413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;900.504028;951.187195;460.838165;792.170776;558.204529;160.377686;865.492920;656.650635;230.638885;850.854126;948.009705;263.982605;871.642395;596.182800;144.359497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;900.837524;951.966919;461.056976;790.811218;560.301758;159.134613;864.160889;658.331482;229.243057;850.534790;949.635071;264.659302;870.010071;599.126831;142.761337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;901.104126;952.658447;461.311890;789.595459;562.182861;157.684555;863.144043;659.692322;228.295258;850.051697;950.870728;265.378906;869.753723;600.860291;142.016861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;901.541382;953.313843;461.313507;788.368896;564.240417;156.381012;862.035461;661.337585;227.809479;849.925842;952.293762;265.460480;868.625610;603.533264;140.794693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;901.817932;953.859924;461.459015;787.059082;566.060730;154.665451;860.990295;662.539978;227.006638;849.842529;953.676758;265.617737;868.260315;605.249329;139.894241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;901.618103;954.487427;461.743805;786.205017;567.840271;153.487152;860.141052;663.875183;226.108139;849.677429;954.702026;265.885071;868.095703;607.377197;138.912582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;901.526855;955.168335;462.220337;785.269043;569.771484;151.872162;859.058533;665.502014;225.169312;848.706909;956.081482;266.824219;866.975586;609.149170;137.483994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;901.467407;955.865906;462.719055;785.005432;571.244507;149.672623;858.061523;666.563416;224.403061;848.410767;957.486450;267.386749;866.497192;611.671997;135.870041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;901.084412;956.485901;463.166107;784.091980;573.124146;147.570587;857.054810;667.571350;223.050659;848.257385;958.332336;267.480438;866.977295;613.043518;135.099228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;900.891113;956.871338;463.468811;783.369873;574.683289;146.094086;856.085632;668.757629;222.053497;848.063416;959.355286;267.594025;867.268982;614.406006;134.133835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;900.769958;957.269653;463.581299;782.378662;576.646484;144.399155;855.152771;669.824524;220.918213;847.728149;960.346252;267.847473;866.207275;616.653748;131.884140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;900.529175;957.701782;463.741821;782.247498;578.194153;141.834854;854.344604;670.833252;219.559052;846.923035;961.160767;268.478607;866.035156;618.367004;130.061371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;900.435303;958.078552;463.997498;781.757874;579.841431;139.108337;853.754578;671.743591;218.253036;846.270508;961.962158;268.530457;866.178223;620.186462;128.088226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;900.535706;958.528381;464.265045;781.262329;581.771423;136.993851;852.923523;672.594971;216.830490;846.107971;962.805481;268.641846;866.334229;621.841309;126.685677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;900.563843;958.991211;464.422913;781.038574;583.299377;134.300858;852.321838;673.242493;215.275589;846.099670;963.699890;269.044830;865.956970;624.256470;124.665894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;900.512146;959.284668;464.546539;780.583252;585.003662;131.646133;851.731384;674.100891;214.265778;845.854370;964.326233;269.389221;865.479858;627.467041;122.018234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;900.440918;959.618591;464.718567;780.627136;586.512451;128.793365;851.061890;674.668335;212.597321;845.165161;964.729675;269.946381;865.309692;629.135193;119.721039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
