;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;897.636902;820.426758;65.878433;763.244141;811.468933;33.457005;1099.621460;899.970886;454.700745;1065.958496;932.886536;246.174927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;897.623840;820.425964;65.872055;763.245789;811.447693;33.454845;1099.371216;900.034790;454.790710;1065.901855;932.829590;246.223358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;897.554993;820.430908;65.770386;763.182007;811.456055;33.421646;1099.028198;900.075623;454.916412;1065.790283;932.934021;246.332489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;897.604370;820.433472;65.868530;763.166809;811.460815;33.418583;1098.711792;899.951721;455.154358;1065.700684;932.867554;246.281448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;897.563599;820.424072;65.889717;763.188904;811.462524;33.412148;1098.807129;899.610901;455.837860;1065.651245;932.913574;246.312088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;897.474609;820.461487;65.778320;763.198975;811.462891;33.405785;1098.460938;899.638000;455.672607;1065.370117;933.180847;246.619659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;897.468079;820.462585;65.804962;763.124084;811.473938;33.366028;1098.249878;899.632446;455.664917;1065.105591;933.468689;246.918472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;897.442627;820.456360;65.769775;763.141907;811.462036;33.420712;1098.005859;899.519348;455.705200;1064.861084;933.878723;247.055267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;897.402344;820.566833;65.827072;763.111145;811.468384;33.459713;1097.724976;899.558716;455.808960;1064.718750;933.801697;247.188110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;897.373169;820.573792;65.937164;763.105835;811.459473;33.429096;1096.970459;899.302673;456.080170;1064.147217;933.494080;247.684113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
