Grasp125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
41;758.064880;587.296082;178.025787;892.062317;620.831238;194.276810;827.024780;545.775085;155.368195;;;;1138.968994;796.192749;421.960968;;;;1078.399048;816.160950;242.323288;;;;;;;;;;;;
42;756.324158;591.154968;176.038727;890.472229;623.453735;192.857239;826.006470;548.791382;153.376129;;;;1139.167603;796.431580;422.071167;;;;1079.301392;817.498901;242.333969;;;;;;;;;;;;
43;755.177917;594.875732;173.587479;889.776550;626.066101;190.731598;824.216064;551.638123;151.622025;;;;1139.359497;796.672729;422.122253;;;;1080.538818;818.607788;241.919205;;;;;;;;;;;;
44;754.231750;598.459839;170.569366;888.187744;628.226929;189.633179;823.478821;554.260071;149.389023;;;;1139.501343;796.824646;422.184570;;;;1080.909302;819.265686;241.925339;;;;;;;;;;;;
45;752.872620;601.479187;168.169617;887.449280;630.825317;187.358627;822.098999;557.228455;147.234009;;;;1139.393677;796.943848;422.250885;;;;1081.200439;819.618042;242.020630;;;;;;;;;;;;
46;751.746765;604.537842;165.549881;886.414307;632.869202;185.833237;820.771118;559.820740;144.883209;;;;1139.437012;797.107178;422.348541;;;;1081.505005;820.036926;241.969238;;;;;;;;;;;;
47;750.585815;607.692810;163.046143;885.756287;635.254272;184.156204;820.062439;562.311218;142.381714;;;;1139.441772;797.235718;422.300690;;;;1081.597900;820.719788;242.107834;;;;;;;;;;;;
48;750.017700;610.535461;159.809464;884.936523;637.216125;182.532166;819.414795;564.775208;139.660828;;;;1139.418945;797.343689;422.341827;;;;1081.579956;821.542603;242.481430;;;;;;;;;;;;
49;749.577026;613.861755;156.606842;884.264160;639.167297;180.703766;818.474121;566.974670;136.940430;;;;1139.356689;797.452515;422.415314;;;;1081.608398;822.121033;242.814194;;;;;;;;;;;;
50;749.242493;616.630859;153.453613;883.807434;640.603577;178.470047;818.127869;569.262695;134.486084;;;;1139.215698;797.580688;422.346344;;;;1081.694580;822.528076;242.869858;;;;;;;;;;;;
51;748.908936;618.811646;150.652786;883.487610;642.340393;176.716843;817.909607;571.263123;131.434357;;;;1139.092163;797.688538;422.335480;;;;1081.819092;822.784485;242.889664;;;;;;;;;;;;
52;748.278564;621.142883;148.384354;882.795593;644.073792;175.004486;817.386536;573.739685;129.053436;;;;1138.929321;797.758423;422.312256;;;;1081.945313;823.030212;242.829361;;;;;;;;;;;;
53;747.858948;623.369446;146.209976;882.279480;645.451660;173.740784;816.797607;575.492859;127.234245;;;;1138.671997;797.878845;422.021973;;;;1082.037354;823.302551;242.888016;;;;;;;;;;;;
54;747.892517;625.428101;143.419159;881.568298;646.821777;172.293579;816.393738;577.176819;124.495110;;;;1138.445679;797.973328;421.893768;;;;1082.058960;823.575989;242.848083;;;;;;;;;;;;
55;748.373718;627.480713;140.296844;881.471436;648.167358;170.430054;815.902527;578.631958;122.391273;;;;1138.355347;798.106995;421.825806;;;;1082.036743;823.895142;242.783325;;;;;;;;;;;;
56;748.398438;629.427673;137.948441;881.024719;649.036133;168.981110;815.565735;580.183655;120.365608;;;;1138.132690;798.108582;421.830811;;;;1082.015137;824.313171;242.471619;;;;;;;;;;;;
57;747.934753;630.766418;136.143204;880.400879;650.242065;167.433350;815.571167;581.875183;117.821747;;;;1137.984375;798.145508;421.785797;;;;1081.797852;824.624634;242.430496;;;;;;;;;;;;
58;747.980347;632.417969;133.724106;880.190002;651.365723;165.287796;815.166565;583.183655;115.416740;;;;1137.807739;798.223877;421.730560;;;;1081.564453;824.799133;242.442459;;;;;;;;;;;;
59;748.009399;633.424255;131.756287;879.987732;652.162048;163.492599;815.148682;584.701294;113.489754;;;;1137.699585;798.180359;421.639008;;;;1081.419800;824.946045;242.397903;;;;;;;;;;;;
60;748.048096;634.121826;129.800934;879.931091;653.350769;161.538589;814.659119;586.030884;111.014427;;;;1137.558838;798.240295;421.416229;;;;1081.262329;825.013062;242.389664;;;;;;;;;;;;
61;748.110535;634.308472;129.307495;879.854614;654.210022;159.466339;814.342896;587.111267;108.815727;;;;1137.377441;798.222412;421.251526;;;;1081.081787;825.043335;242.238647;;;;;;;;;;;;
62;748.059265;634.444397;129.551788;879.904602;655.167297;156.912491;814.090332;588.172974;106.347847;;;;1137.178589;798.176880;421.098328;;;;1080.760864;825.019836;242.117661;;;;;;;;;;;;
63;748.359497;634.845032;129.321045;879.976440;655.919189;155.329544;813.941895;589.424255;103.858292;;;;1136.937500;798.101868;420.839142;;;;1080.634033;824.949280;241.935333;;;;;;;;;;;;
64;749.178711;635.460205;128.790710;879.869385;656.706726;153.472214;813.251831;590.757935;101.643005;;;;1136.660645;798.017883;420.544189;;;;1080.358521;824.901978;241.758606;;;;;;;;;;;;
65;750.256470;636.142334;128.556259;879.957520;657.059021;152.094299;812.368958;592.362976;100.343903;;;;1136.437256;797.925537;420.231567;;;;1080.043579;824.841858;241.544083;;;;;;;;;;;;
66;750.932983;636.768616;128.395020;879.855835;657.495728;150.945801;810.867432;593.951111;99.163620;;;;1136.120361;797.851013;419.875092;;;;1079.811157;824.781128;241.374649;;;;;;;;;;;;
67;751.406433;637.055298;128.415939;879.704895;657.902954;149.947281;809.512451;595.303650;98.626305;;;;1135.924438;797.767639;419.676208;;;;1079.612793;824.677917;241.269547;;;;;;;;;;;;
68;751.810547;636.905762;128.424515;879.553711;658.307007;149.416351;808.057312;596.681274;98.717072;;;;1135.744873;797.690430;419.413513;;;;1079.464478;824.544922;241.166916;;;;;;;;;;;;
69;752.134460;636.391052;128.533722;879.253113;658.798218;149.115753;807.455994;598.097534;98.911964;;;;1135.722168;797.542603;419.057678;;;;1079.443237;824.372253;241.028931;;;;;;;;;;;;
70;752.897522;636.552063;127.726051;878.905029;659.338501;148.998840;806.499023;598.549133;99.040131;;;;1135.527466;797.407227;418.781921;;;;1079.276245;824.307068;240.917740;;;;;;;;;;;;
71;753.517090;636.587097;126.840157;878.513672;659.670837;149.157974;805.531372;598.912170;99.554039;;;;1135.200439;797.202759;418.525696;;;;1079.100464;824.320618;240.796661;;;;;;;;;;;;
72;753.963013;636.500977;126.440773;878.086731;659.958130;149.551193;804.564392;599.127991;100.397072;;;;1134.688232;797.059753;418.125519;;;;1078.868530;824.297852;240.689255;;;;;;;;;;;;
73;754.087830;636.374512;126.289452;877.499817;660.172974;149.930984;803.772217;599.158325;101.238785;;;;1134.138306;797.038818;417.598572;;;;1078.692749;824.368958;240.529510;;;;;;;;;;;;
74;754.098633;636.330811;126.276848;876.897217;660.414246;150.507889;802.767212;599.329102;102.218040;;;;1133.761963;797.009277;417.342712;;;;1078.414917;824.445679;240.406540;;;;;;;;;;;;
75;754.003540;636.334656;126.135643;876.187500;660.480896;150.864746;801.785522;599.726563;102.840454;;;;1133.331299;796.925476;417.125641;;;;1078.009399;824.631104;240.225693;;;;;;;;;;;;
76;753.790039;636.489624;126.037231;875.543945;660.445190;151.357254;801.033020;600.419189;103.340096;;;;1133.067627;796.841736;417.181763;;;;1077.514893;824.832214;240.004379;;;;;;;;;;;;
77;753.576294;636.616699;126.065315;874.729797;660.073975;152.232895;800.607544;600.878540;103.700233;;;;1132.706909;796.827454;417.316864;;;;1076.833984;825.083313;239.971603;;;;;;;;;;;;
78;753.316223;636.854126;126.113556;874.253723;660.211243;152.411484;800.147095;601.213318;104.108170;;;;1132.365112;796.835938;417.255341;;;;1076.149536;825.201233;239.879303;;;;;;;;;;;;
79;753.081726;637.018738;126.224937;873.758667;660.412109;152.834335;799.304260;601.585388;104.621521;;;;1131.958130;796.853882;417.195160;;;;1075.601074;825.418030;239.981140;;;;;;;;;;;;
80;752.763428;637.149292;126.445068;873.117126;660.620789;153.640564;798.142578;602.140686;105.645554;;;;1131.434937;796.804565;417.337524;;;;1074.994751;825.538513;240.255356;;;;;;;;;;;;
81;752.347107;637.319092;126.973602;872.201843;660.870239;154.598434;797.083923;602.389587;106.714310;;;;1130.971680;796.788818;417.389130;;;;1074.646118;825.614868;240.502625;;;;;;;;;;;;
82;751.732910;637.530090;128.060547;871.364502;661.146240;155.456268;796.396240;602.408508;107.404121;;;;1130.369995;796.791809;417.367523;;;;1074.289307;825.771240;240.604401;;;;;;;;;;;;
83;750.919678;637.754761;129.328156;870.596130;661.421509;156.459061;795.839050;602.459961;108.507011;;;;1129.876587;796.656372;417.410126;;;;1073.941162;825.964050;240.591812;;;;;;;;;;;;
84;750.065369;637.985107;130.480865;869.897400;661.584045;157.261459;794.986877;602.649780;110.280106;;;;1129.370361;796.511475;417.377869;;;;1073.500244;826.226501;240.688751;;;;;;;;;;;;
85;749.353088;638.181396;131.786942;868.942932;661.814392;158.578110;793.988953;602.859680;111.888794;;;;1128.388428;796.551941;417.144226;;;;1072.598511;826.735474;240.836990;;;;;;;;;;;;
86;748.426697;638.347595;133.572449;867.968689;662.262817;159.902771;792.834351;602.831055;113.224434;;;;1127.304565;796.690735;417.151428;;;;1071.474487;827.113464;240.897812;;;;;;;;;;;;
87;747.642273;638.446655;135.146896;866.999329;662.763489;161.416122;791.767883;602.904724;115.286079;;;;1126.367798;796.915100;417.406158;;;;1071.044067;827.424866;241.077957;;;;;;;;;;;;
88;746.677917;638.695374;137.188400;866.161377;663.096863;163.100830;790.796997;602.783386;117.209198;;;;1125.456299;797.039551;417.672180;;;;1070.406738;828.144287;241.047333;;;;;;;;;;;;
89;745.617371;638.979004;139.610062;864.992737;663.207214;164.705170;789.673584;602.624451;119.431198;;;;1124.693604;797.073792;417.689117;;;;1069.629639;828.758667;241.065536;;;;;;;;;;;;
90;744.406128;639.171265;141.819351;863.310059;663.439941;167.137329;788.435608;602.862000;122.078781;;;;1123.649048;797.245667;417.785492;;;;1068.582642;829.354919;241.352356;;;;;;;;;;;;
91;742.655334;639.508545;144.020599;861.579773;663.782715;169.387726;786.801270;602.799500;124.943985;;;;1122.303345;797.567444;417.927277;;;;1067.682495;829.865295;241.584442;;;;;;;;;;;;
