;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;820.859436;512.310486;64.578392;945.140137;558.100403;93.269646;1137.758179;728.888855;356.483276;916.342590;463.318481;61.573982;1070.265747;725.838623;222.851257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;822.791504;513.229126;68.146812;946.600342;559.177490;96.135651;1139.390381;729.575989;356.777130;918.155090;463.764923;63.958668;1073.420288;726.867798;222.306061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;824.588257;513.942261;71.555130;948.517090;560.449341;97.793716;1141.160156;730.377502;356.953125;919.336060;465.396423;66.899261;1076.487183;728.750549;221.849533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;826.966431;514.530090;75.023674;950.931152;562.480652;99.709740;1142.686157;731.263550;356.539703;920.809509;467.265350;69.530228;1078.115112;730.847412;222.265930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;829.051025;515.643860;78.503960;952.794983;563.372437;102.224586;1143.937256;732.179138;356.549591;922.404358;468.288208;72.444633;1080.178711;732.804565;222.821564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;831.574341;516.627075;81.949059;954.566589;565.574768;104.549805;1145.641479;733.253967;356.803314;923.710938;468.609802;76.178032;1083.724609;733.836670;222.620743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;834.127747;517.452942;85.461433;957.165222;566.622620;106.253716;1148.340332;733.845093;356.849884;925.336426;470.366943;78.641129;1086.263794;736.022705;222.160446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;836.971985;518.505859;88.982613;959.096191;568.722351;108.634003;1150.177124;735.103027;356.968628;926.858887;471.613464;81.865143;1087.929077;738.284668;222.818680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;839.658020;519.690308;92.179718;960.433105;570.752563;111.210510;1152.031860;736.052063;357.012848;928.428101;473.551666;84.704620;1090.853760;739.999878;223.290512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;842.532166;520.764832;95.522865;963.889526;572.227661;113.509552;1154.317017;736.858398;357.335205;929.481506;475.029480;88.507751;1093.919312;741.711365;222.890350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;845.590393;522.219421;99.111633;965.874146;573.608704;115.647705;1156.403442;737.938232;357.605743;930.679138;477.046021;91.926521;1096.013916;744.002808;223.264893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;848.209900;523.535095;102.285057;968.545410;575.952026;117.164764;1158.614258;739.168884;357.342926;931.883484;479.339844;94.636650;1099.166260;745.616455;223.881119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;851.382996;525.395508;105.417488;969.806519;578.993713;119.199692;1160.490601;739.885986;357.881317;933.308167;481.278748;98.301834;1102.445435;747.214783;223.696701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;854.220947;527.361511;108.469673;971.538879;581.164124;121.533653;1162.994507;740.684875;358.266907;934.165649;483.389709;101.671494;1104.957886;749.299438;223.951569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;857.013000;529.562744;111.454918;973.771179;583.558716;123.533142;1165.460327;741.686462;358.663452;935.083435;485.782959;104.827484;1107.757446;751.147766;224.436249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;860.182739;532.168518;114.135406;976.719971;585.466980;125.037437;1167.386475;742.525879;359.058350;936.118164;488.486115;108.086281;1110.939087;752.501038;224.753189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;862.656006;534.905029;116.942177;979.579773;587.201416;127.492882;1169.768677;743.146240;359.339844;936.709473;491.288849;111.695274;1112.528809;754.863220;224.990585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
