;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;;*47;;;*48;;;*49;;;*50;;;*51;;;*52;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22;845.368347;498.860382;122.679108;962.397339;563.044556;131.981598;1153.721558;731.335876;360.222107;934.167297;463.191681;107.654190;;;;;;;;;;1090.770996;740.364502;231.216217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;848.794495;498.264862;128.226776;964.752197;563.988159;135.822128;1156.039429;732.331543;360.033875;937.022461;463.589478;112.412231;;;;;;;;;;1093.717163;741.714539;231.377533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;852.802368;497.685364;133.330124;966.657898;565.412903;139.153091;1158.409058;732.859680;360.720551;939.123596;464.432892;117.359978;;;;;;;;;;1095.370117;744.273438;231.936111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;856.778625;497.258087;138.998749;968.949036;566.213501;143.295029;1160.269287;734.185547;360.827911;942.109375;464.952393;122.249802;;;;;;;;;;1099.201904;745.573608;231.519226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;860.087952;497.428345;144.624924;971.631897;567.606812;146.783279;1162.308350;734.802307;360.919067;944.521606;465.729889;127.665688;;;;;;;;;;1102.198975;746.898743;232.094391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;863.765015;497.920166;150.164398;973.874268;569.345215;149.968597;1164.500366;735.530579;361.238129;946.984253;466.940521;132.994034;;;;;;;;;;1104.215698;748.535950;232.511017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;866.653442;498.836273;156.098022;975.775085;571.103088;154.153641;1167.021484;736.247681;361.663544;948.886597;468.333374;138.142838;;;;;;;;;;1107.341919;750.150146;232.724609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;869.367981;500.176941;161.217224;978.117126;572.395508;157.392517;1168.678223;737.234619;361.535919;951.098572;469.810150;143.384140;;;;;;;;;;1110.107544;751.730164;232.921524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;872.465881;501.819366;166.856674;980.855713;573.937195;160.346039;1170.777954;737.850281;361.833588;953.014343;471.474487;148.611877;;;;;;;;;;1112.822632;753.133667;233.212387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;874.834412;503.773590;171.778549;982.522034;576.356445;163.472992;1173.064941;738.509949;361.854248;954.221863;473.229919;153.886459;;;;;;;;;;1115.793945;754.575378;233.366714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;877.116089;506.450684;176.188187;983.825623;578.772400;166.539261;1174.644653;739.364990;362.180328;955.131165;475.226410;158.715744;;;;;;;;;;1117.289429;756.451355;233.967545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;879.046570;509.060181;181.558792;985.448303;581.489441;169.409973;1177.156128;739.962830;362.357239;956.377441;477.281464;163.645966;;;;;;;;;;1120.071411;758.003418;234.258072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;880.515503;512.160095;186.328140;986.853394;583.612854;172.521942;1179.430908;740.645630;362.544617;957.091187;479.576355;168.554947;;;;;;;;;;1123.648193;759.007019;234.369690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;882.110840;515.809509;191.442062;988.667297;585.107117;175.622543;1180.928467;741.282471;362.504456;957.653381;482.080383;172.902435;;;;;;;;;;1125.737305;760.336121;234.414963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;883.133606;519.741211;195.479050;990.485718;587.558655;178.362564;1183.211304;741.805847;362.667603;958.123047;484.830566;176.985886;;;;;;;;;;1127.719604;762.223694;234.694046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
