;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;873.598450;519.190674;50.065125;1023.507141;807.342407;266.689575;948.644226;603.056335;103.301865;908.935181;515.273315;64.432732;1107.830322;851.458313;424.488586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;879.342834;521.908142;51.311127;1027.009644;810.440857;266.776062;951.141541;605.718079;105.043190;912.302917;516.832397;67.432495;1110.114990;853.009155;425.535095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;884.730164;525.048889;52.705944;1029.698364;813.997253;266.629272;954.261475;608.375366;106.958092;915.340454;519.060913;70.790314;1111.831665;854.170410;426.392975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;890.118591;528.414673;53.952263;1031.962158;817.722412;267.571869;957.437012;610.869202;109.286537;918.243469;521.643982;74.176315;1114.285034;855.658875;427.545319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;895.177856;531.864563;55.230816;1034.721680;821.411133;267.684021;960.351318;613.709412;111.734268;921.243774;523.845764;77.426048;1116.407471;856.929565;428.284088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;899.497620;535.637207;56.890823;1038.673218;824.703430;267.538513;962.744995;616.995056;112.900322;924.107300;526.241333;80.257500;1118.781006;858.299744;429.260620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;903.489502;539.358948;58.729889;1041.584473;828.267029;267.674164;965.657959;620.315308;114.484253;926.716431;529.077148;83.178444;1120.640991;859.864990;430.244324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;906.764282;543.365234;61.049320;1044.894409;831.507690;268.064728;968.476868;623.326843;116.813568;929.538818;532.064575;85.900902;1122.830200;861.385986;431.383942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;909.801208;547.409790;62.882683;1048.662964;834.769958;268.403687;971.265503;626.638245;118.768829;932.042847;535.018433;88.483810;1125.255371;862.335266;431.927643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;912.272278;551.823486;64.969719;1052.281006;838.134705;268.591858;973.489624;630.038757;120.617035;933.922241;538.175720;90.797005;1127.654663;863.681885;433.033417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;914.672791;556.377563;67.125626;1055.397583;841.770264;269.306641;975.537781;633.365540;122.030090;935.764282;541.403381;93.178070;1129.564575;865.152710;434.315125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;917.108765;560.805359;69.296227;1059.471680;845.028809;269.030396;977.882141;636.925232;123.394836;937.224365;545.114624;95.497406;1131.908691;866.480896;435.225464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;918.934265;565.009888;71.365051;1063.518188;848.257263;269.248260;980.064941;640.660400;124.931969;938.361023;548.804077;97.446686;1134.305664;867.560425;436.089539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;920.403259;569.566467;73.767220;1066.994995;851.869812;269.809479;982.027161;644.234436;126.024254;939.141846;552.717896;99.637741;1136.664673;868.796997;436.876404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;1071.136230;854.840393;270.045593;983.636963;647.925415;127.539879;939.952454;556.720581;101.896675;1138.775879;870.142883;438.246155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;1074.196655;858.209595;270.500946;985.671814;651.980591;128.832016;940.589905;560.487732;103.571892;1140.789307;871.370728;438.902710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;1078.201660;860.853394;270.672089;987.436768;655.692993;130.031433;941.105530;565.073364;105.120712;1143.411377;872.384033;439.777344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;1081.720093;863.886902;271.347778;988.769836;659.587708;130.961197;941.189209;569.445068;106.800484;1145.441528;873.443176;440.339569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;1085.481812;866.851746;271.837952;989.834290;663.548096;132.513092;941.445923;573.794250;107.858879;1147.638428;874.378296;441.874420;915.206543;593.129822;88.577156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;1089.271362;869.528137;272.488678;990.855286;667.446777;133.043182;941.338867;578.307861;108.978386;1149.948975;875.256775;442.464050;915.348694;597.298462;89.700592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;992.129150;671.475159;133.471466;940.924194;582.588257;110.458504;1152.426270;876.113098;443.362000;914.858826;603.798523;90.201912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;993.071655;675.105042;134.195633;940.236511;587.267761;111.148354;1154.141602;877.044678;443.829498;914.062927;611.049011;89.796623;1096.303833;874.538635;273.758636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;993.884766;678.997009;135.232910;940.132996;591.401428;111.973938;1156.506226;877.682739;445.096863;912.804688;619.183289;89.333267;1099.548462;876.536133;274.152863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;993.698547;682.493591;136.226868;939.519958;595.925842;112.353172;1158.376221;878.085999;445.629822;911.822510;626.710449;90.099609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
