Trial33;;;;;;;;;;;;;;;;;;
Date:;2025/04/01;;;;;;;;;;;;;;;;;
Time:;14:13:17;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
52;277.666443;405.690125;197.252457;102.249115;813.505554;452.817078;;;;261.805359;527.564453;183.208344;345.891937;467.135773;204.449554;98.249130;716.720520;239.283829
53;277.682251;400.758026;198.599182;102.868507;811.013062;452.965942;;;;262.319550;522.591187;183.476028;346.245972;462.073212;204.987518;99.504997;712.666687;239.488464
54;277.884491;396.048157;199.704147;103.996399;808.231506;452.230194;;;;263.064972;517.692383;183.935760;346.674683;457.016022;205.290024;100.654175;708.623413;240.299881
55;278.311707;391.231598;200.525223;104.942291;805.732849;451.940857;;;;263.424713;512.847534;184.575623;347.074005;452.014954;205.836807;101.858109;704.568787;240.121506
56;278.565155;386.678802;201.553467;105.726234;803.117554;451.717896;;;;263.950989;507.977936;184.893311;347.699524;447.099091;206.285019;102.952370;700.441162;241.054825
57;278.986572;381.817352;202.369537;106.661140;800.336548;451.859863;;;;264.395691;503.374115;185.820709;348.521332;442.255981;206.438538;103.986130;696.468323;241.982666
58;279.388031;377.524963;202.828857;107.479881;797.697388;451.777832;;;;264.763214;498.756958;186.073395;348.618286;437.585754;205.899124;105.366333;692.529724;242.193878
59;279.824036;372.781403;203.247223;108.486946;794.938416;451.104218;;;;265.337952;494.178406;186.394455;349.655212;432.877411;205.833069;106.728523;688.714294;242.499191
60;280.318115;368.210022;203.537155;109.607407;792.271790;450.709930;;;;265.761780;489.833069;186.979004;350.162323;428.215485;205.424789;107.840790;684.760376;243.035156
61;280.548431;364.133850;204.053986;110.494438;789.507141;450.676300;;;;266.163940;485.301727;186.916519;351.008759;423.694153;205.348297;109.070862;680.956970;243.484634
62;280.860443;359.481232;203.744873;111.230896;786.765747;450.858673;;;;267.057556;481.175476;186.608429;351.050018;419.310699;204.785324;110.238739;677.284180;243.940964
63;281.285583;355.207306;203.296661;112.309135;784.255371;450.763763;;;;267.212738;477.033447;186.724304;351.530182;414.903870;204.681442;111.458748;673.670166;244.541122
64;281.475250;351.193970;203.147888;113.534683;781.674072;449.957703;;;;268.118225;472.870972;186.234940;351.856354;410.418945;204.068100;112.410408;670.021851;245.012177
65;281.444885;347.085083;202.771179;114.201111;779.131775;450.372284;;;;268.861847;468.689972;185.402420;352.604950;406.029816;203.457977;113.621254;666.511108;245.246231
66;281.857727;342.888458;202.425507;115.354416;776.656799;450.274323;;;;269.380066;464.826721;185.374542;353.061646;401.972198;202.799637;114.815742;662.946655;245.739090
67;282.096710;338.958008;201.918335;116.486832;774.166687;449.795990;;;;269.712433;461.009369;185.666748;353.457794;398.035980;202.385895;116.075310;659.631897;245.955902
68;282.378326;335.356995;201.242203;117.579582;771.883972;449.449371;;;;270.039124;457.209778;185.101227;353.681885;393.981781;201.785675;117.174438;656.395813;246.376892
69;282.381561;331.733917;200.831635;118.691399;769.477600;449.250946;;;;270.745331;453.797760;184.710678;353.985382;390.268860;201.355484;118.187019;653.255554;247.004608
70;282.627289;328.193054;199.808014;119.621880;767.059570;449.287170;;;;271.317230;450.416779;183.957886;354.255005;386.347626;200.168167;119.586220;650.151855;246.661621
71;282.668457;324.911224;199.432907;120.516548;764.752380;449.300598;;;;271.699829;447.007813;183.584167;354.452728;382.583160;199.321030;120.392738;647.079590;247.299561
72;283.054810;321.916138;198.163254;121.494339;762.461670;449.026703;;;;272.104462;443.756592;183.153473;354.666748;379.187012;198.663574;121.508896;644.268982;247.459213
73;283.029144;318.472778;197.702026;122.538155;760.277039;448.827881;;;;272.800903;440.713562;182.703552;354.901947;375.874054;197.847061;122.525841;641.388062;247.884323
74;282.998840;315.262451;197.115707;123.450706;758.308777;448.927917;;;;272.922668;437.763977;182.603928;355.239380;372.717957;197.403870;123.446762;638.808044;248.307678
75;283.319427;312.413635;196.185043;124.128242;756.225037;449.273743;;;;273.196960;434.832245;182.013626;355.453827;369.561646;196.536606;124.297157;636.229004;248.707230
