Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,791.743469,827.375427,170.482071,751.834778,724.352783,128.382523,809.326233,1082.448853,248.609283,834.785034,1122.422607,408.233704,781.291443,732.974182,129.518448,,,,,,
47,790.021606,830.665894,172.824814,749.702454,727.830444,130.950058,809.472656,1086.070679,249.300247,834.966919,1125.002686,408.991852,779.589294,735.850647,131.828476,,,,,,
48,788.217041,833.928040,175.121399,747.818787,731.469116,133.332397,809.008911,1089.825439,249.941406,835.039368,1127.196167,409.891815,777.584351,739.316284,134.341522,,,,,,
49,786.670532,837.129272,177.160004,745.705444,735.113159,136.083145,808.304565,1093.215942,251.152252,835.463745,1129.670776,410.734894,775.315979,742.925598,136.862167,,,,,,
50,785.062439,840.503357,179.331787,743.492676,738.659790,137.923340,808.221497,1096.764404,252.200180,835.482178,1132.441528,411.875244,772.622864,746.557495,139.353043,,,,,,
51,783.170105,844.350952,181.477646,740.865662,742.184631,139.923828,807.717773,1100.478149,253.407730,835.320740,1134.716064,412.562195,769.790527,750.114258,141.228241,,,,,,
52,781.371948,848.155273,183.146912,738.171509,745.914185,142.457779,807.622131,1104.018433,254.229767,835.915649,1137.031982,412.823975,767.833923,753.551758,143.099503,,,,,,
53,779.433105,851.890381,184.610840,735.427368,749.586609,144.313202,807.307312,1107.766357,254.829788,836.529541,1139.618530,413.615326,765.410828,756.946899,145.582748,,,,,,
54,777.374817,855.609253,186.369904,732.154541,753.436890,146.689743,807.285889,1111.383789,255.704346,836.368408,1142.028076,414.638885,762.772522,760.703918,147.303009,,,,,,
55,775.286499,859.285645,187.763794,729.619446,757.575684,148.200134,807.071289,1114.840698,256.541290,836.561523,1144.198608,415.697998,759.977539,764.826782,149.157654,,,,,,
56,773.521423,862.887329,189.525467,727.373718,762.050842,149.570587,806.921448,1118.374146,257.932373,837.589172,1146.662231,416.073456,757.222290,768.378723,150.649551,,,,,,
57,771.322937,866.409607,191.208511,724.713318,766.294678,150.409546,806.700684,1122.014648,258.900238,837.843262,1149.005371,416.848755,754.663147,772.628418,151.914627,,,,,,
58,769.256531,869.910706,192.528580,721.746155,770.387451,151.903976,806.752319,1125.451660,259.816284,837.843201,1151.301636,417.623444,751.560303,776.217590,153.220367,,,,,,
59,766.767639,873.619019,193.509674,718.707153,774.375122,153.068192,806.711731,1128.997925,260.630829,838.224609,1153.653442,418.228455,748.771118,780.258362,154.932266,,,,,,
60,764.704834,877.540283,195.000580,715.710144,778.371277,154.415787,806.608215,1132.445190,261.420532,838.604553,1155.872925,419.157959,746.092529,784.217590,155.614029,,,,,,
61,762.438354,881.363953,196.479828,712.664978,782.493042,155.406723,806.400879,1135.770508,262.441650,839.125427,1157.992676,419.901093,743.044617,788.211548,156.311920,,,,,,
