Präzision17
Date:,2025/04/15
Time:,13:26:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
74,808.337585,664.230530,65.787460,715.873291,1032.220581,394.623230,792.954651,764.257874,126.202812,831.773132,683.662842,72.694733,695.304382,1056.826782,225.373825,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,807.955811,663.986572,68.424500,715.610413,1033.006226,394.577881,793.082520,765.524292,127.109291,831.143982,683.597412,74.611481,694.550842,1057.815674,225.706116,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,807.139832,664.086243,70.273483,715.304749,1033.716187,394.772614,791.953064,765.521484,129.859482,830.372131,683.621155,76.925827,694.019409,1059.067383,226.029694,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,806.063782,664.224182,72.858643,714.993713,1034.622559,394.965210,791.118225,765.873474,131.447693,829.447083,683.906006,78.607109,693.979187,1060.115845,225.882431,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,805.233643,664.187500,74.572685,714.739014,1035.534302,395.188995,790.171997,766.354492,133.376633,828.202454,684.125732,80.084755,693.478394,1061.246826,225.901810,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,804.366943,664.051758,76.117172,714.550049,1036.388184,395.645691,789.460388,766.573547,134.981857,827.528870,684.241455,82.305298,693.023438,1062.429321,226.055145,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,803.492554,664.437866,78.862083,714.234192,1037.208252,395.962616,788.359619,766.948730,136.791611,827.067078,684.099426,85.434807,692.765747,1063.635986,225.976257,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,802.685486,664.835510,80.618599,713.983521,1038.250366,396.116577,787.521423,767.450867,138.267868,826.258484,684.638367,87.089226,692.482422,1064.869263,225.859146,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,801.824707,665.548218,83.071030,713.612976,1039.260742,396.296387,786.477051,768.221313,140.301727,825.080872,684.666931,89.338821,692.314880,1066.212280,226.080597,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,800.820862,666.137695,85.880814,713.511047,1039.989624,396.094696,785.587463,769.029846,141.638718,824.103699,685.172852,91.232910,691.854187,1067.403442,226.282883,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,799.586426,666.397034,87.098152,713.384583,1040.950562,396.028107,784.662781,769.709656,143.784515,822.812622,685.361206,93.566223,691.284912,1068.447266,226.666962,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,798.215088,667.304138,89.167953,713.050049,1042.013916,396.231232,783.435913,770.415833,145.436249,821.755432,686.329651,95.236015,690.195862,1069.888184,227.139297,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,797.643127,667.836792,91.362976,712.879517,1042.951416,396.414642,782.279236,770.866882,146.946289,820.290283,687.409363,96.975471,689.314636,1071.219116,227.506714,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,796.703491,668.233826,93.505287,712.731384,1043.967407,396.608673,781.420654,771.642639,148.948364,820.025574,687.962708,99.941284,688.936401,1072.380249,227.768005,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,795.195129,668.417480,95.604057,712.426758,1045.150391,396.820801,779.804321,772.085510,151.551987,819.006165,688.053162,102.032326,688.577209,1073.708618,227.835831,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,793.918640,668.720337,97.748962,712.139771,1046.119263,397.100983,779.423340,773.453735,152.431061,817.706482,688.508667,104.069473,687.947937,1075.152222,227.908920,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,793.085876,669.483398,99.436722,711.809875,1047.043091,397.248474,778.110535,774.359375,153.556351,816.406372,689.095154,105.465027,686.696533,1076.837280,228.587952,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,791.843384,671.142944,101.188789,711.357361,1048.263306,397.629669,776.823059,775.342651,155.112320,815.065796,689.994690,107.541992,686.239197,1078.158325,229.096634,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,790.856567,672.361816,102.479179,711.006653,1049.231812,398.165070,775.799072,776.084900,156.786514,813.790283,691.017395,108.711624,685.897766,1079.695801,229.197998,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,789.604553,672.969360,104.331169,710.691467,1050.116943,398.384460,774.378845,777.222351,158.442062,812.377625,692.195984,110.320221,684.817383,1081.114746,229.752975,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,788.265015,673.347961,106.330429,710.327148,1051.238403,398.719727,773.864685,779.098328,160.336182,811.346008,693.007324,112.187866,684.009644,1082.598511,230.329468,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,786.685181,674.712708,108.160286,710.177856,1052.376343,398.935577,772.303650,779.598938,161.523499,810.028625,693.437012,113.778702,683.830994,1084.183105,230.626328,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,785.601257,676.081665,109.107620,709.978149,1053.449707,398.955658,770.750366,780.394043,162.843140,808.615601,694.917847,115.173248,683.066040,1085.827026,231.179993,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,784.127441,677.118652,110.709282,709.441345,1054.762939,399.487701,769.237183,781.808899,164.390213,807.104370,696.583618,116.806290,681.795166,1087.594971,231.405746,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,783.088501,677.972534,112.781090,709.098755,1055.897217,400.031921,767.990112,783.152466,165.594269,805.951172,697.565979,118.274643,681.380188,1089.179688,232.057663,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,781.487732,679.641724,113.768021,708.852844,1057.042847,400.544434,766.663452,784.381165,167.122910,804.473633,698.288452,119.932350,680.781799,1091.057739,232.574493,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,779.873901,680.693298,115.661827,708.553711,1058.419922,400.818329,765.143127,785.792908,168.483231,803.134888,699.870117,121.377907,680.042725,1092.807007,232.828506,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,778.748657,681.546570,117.579636,708.312134,1059.450562,400.835571,763.315186,787.171692,169.725723,801.763611,701.103760,123.116570,679.013367,1094.769653,233.047989,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,776.630432,683.344055,118.890717,708.191040,1060.765137,401.045410,761.958923,788.295959,171.311050,800.373352,702.023193,124.486862,678.464050,1096.629272,233.862778,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,775.494385,685.007568,120.508614,707.807861,1062.093628,401.185638,760.440369,790.050659,172.870926,799.055542,703.784546,126.745255,678.018066,1098.376221,234.304703,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,773.940552,686.235596,121.723137,707.616272,1063.265015,401.486572,759.229492,791.544800,174.188568,797.286255,705.557129,128.233383,676.816528,1100.463501,235.109009,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,772.580994,687.909241,122.967018,707.251221,1064.751587,402.101654,757.503296,793.278320,175.711578,795.645569,706.774658,129.631729,676.243896,1102.332764,235.435669,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,771.037476,689.463501,124.790649,706.875122,1065.985596,402.534332,756.019775,794.950256,176.999725,793.936584,708.425659,131.097443,675.398804,1104.382690,236.181702,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,769.332886,690.844727,126.084152,706.545166,1067.169800,402.688110,754.298645,796.466736,178.463913,792.435608,709.929993,132.574463,674.549438,1106.482422,236.422714,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,767.309998,692.942017,127.593880,706.365845,1068.527100,403.022919,752.746948,798.262207,179.837219,790.585388,711.356201,134.224350,674.210999,1108.561890,236.834091,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,765.916138,694.378113,129.527481,706.102722,1069.837891,403.339355,750.945068,800.219299,180.988678,789.024109,713.344360,135.353973,673.208191,1110.870728,237.412979,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,764.346985,696.408997,130.578003,705.687256,1071.221558,403.602112,749.236206,801.868103,182.491684,787.218872,714.909485,136.684464,671.995972,1113.010620,238.284378,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,762.639832,698.255066,131.881287,705.438049,1072.407837,403.960571,747.664001,804.017700,183.718887,785.841858,716.915100,138.244995,671.642944,1115.273071,239.080566,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,760.686523,700.279175,133.332413,704.918457,1073.839233,404.788544,745.889038,805.459229,184.919662,783.585022,718.807251,139.581970,671.065552,1117.603638,239.752701,,,,,,,,,,,,,,,,,,,,,,,,,,,
