Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,789.394653,797.778442,154.353851,761.904785,688.614563,121.794029,786.190247,698.523438,122.762596,778.865356,1044.327637,240.752975,811.637878,1101.460083,392.040527,,,,,,,,,,,,,,,
45,788.539734,799.072021,156.865555,760.811096,689.971985,124.989799,785.815857,699.353821,126.497086,778.492737,1046.415649,241.538254,811.861938,1102.838623,392.274841,,,,,,,,,,,,,,,
46,787.524719,801.062683,159.434006,759.075439,691.499695,128.506973,784.276672,701.547302,130.008972,778.677002,1048.641602,242.123611,811.961609,1104.198730,392.528809,,,,,,,,,,,,,,,
47,786.566956,802.544128,162.041534,758.178894,693.161133,131.934280,782.940857,702.928223,133.089203,778.988586,1051.164185,242.591599,811.905457,1105.624512,393.210175,,,,,,,,,,,,,,,
48,785.281128,804.623596,164.707520,757.089661,694.859497,135.575989,781.525574,704.694458,136.433212,779.134521,1053.728149,242.797272,811.734985,1106.908569,393.368256,,,,,,,,,,,,,,,
49,784.222778,806.738037,167.258087,755.676025,696.720825,138.415878,780.758728,706.260437,139.878052,778.359558,1056.067871,243.610687,811.802307,1108.278076,393.788879,,,,,,,,,,,,,,,
50,782.966553,808.620117,170.552002,754.374634,698.762939,141.371658,779.000549,708.688293,142.986115,777.627258,1058.530273,244.588974,812.000793,1109.658081,394.182587,,,,,,,,,,,,,,,
51,781.864258,810.887939,173.532227,752.850586,700.806885,145.460342,777.975281,710.054626,146.200638,777.406128,1061.181152,244.953293,812.219116,1111.053467,394.507690,,,,,,,,,,,,,,,
52,780.780151,813.141479,175.346497,751.720947,702.949524,148.481415,776.459717,712.275085,149.921387,777.460144,1064.047485,245.583313,812.572510,1112.626831,394.663177,,,,,,,,,,,,,,,
53,779.431274,815.482239,178.027283,750.081238,705.018921,151.386642,775.169373,714.336548,153.489334,777.616638,1066.728516,245.828705,812.602661,1114.070557,394.986359,,,,,,,,,,,,,,,
54,777.780396,818.014221,181.133072,748.577148,707.317566,154.349594,772.748474,717.065552,156.135590,777.558777,1069.302002,246.196976,812.309265,1115.529541,395.609406,,,,,,,,,,,,,,,
55,776.713928,819.909729,183.716232,746.621094,709.707947,157.940353,771.263184,718.678894,158.957718,,,,811.986267,1116.952881,396.241364,,,,,,,,,,,,,,,
56,775.259766,822.382446,186.069214,745.184753,711.705444,160.888947,769.393005,721.584900,161.465668,,,,812.136108,1118.316895,396.672607,775.700684,1074.632324,249.002014,,,,,,,,,,,,
57,773.409546,825.009644,188.579590,743.289001,714.221375,164.151962,767.884033,723.621155,164.919601,,,,812.460815,1119.897583,396.889648,776.102539,1077.485107,248.921478,,,,,,,,,,,,
58,771.840820,827.480591,190.570724,741.733032,716.904236,166.967667,766.826477,725.762878,168.170029,,,,812.747864,1121.357178,396.894714,776.022888,1080.327515,249.343994,,,,,,,,,,,,
59,770.423889,830.197083,193.043060,739.899292,719.748718,169.750397,764.486572,728.433350,170.867493,,,,812.852051,1123.012695,397.557495,775.727783,1083.444336,250.113937,,,,,,,,,,,,
60,768.901855,832.572632,195.445343,738.229797,722.143799,172.277863,762.982788,730.761292,173.770996,,,,812.600159,1124.434448,398.174469,775.373352,1086.208984,250.939377,,,,,,,,,,,,
61,767.500610,835.361023,197.650223,735.804688,724.736816,175.073044,761.571350,733.666199,175.863708,,,,812.575867,1126.038574,398.622955,775.219910,1088.777466,251.720764,,,,,,,,,,,,
62,765.957886,838.481506,199.719513,734.031128,727.702942,177.683624,759.166870,736.717712,178.028488,,,,812.697021,1127.488892,398.996063,,,,,,,,,,,,,,,
63,764.071716,841.203857,202.024673,732.299316,730.398193,179.615555,757.056458,738.931580,180.975052,,,,813.058838,1129.184082,399.349579,,,,774.408386,1094.522949,253.606049,,,,,,,,,
64,762.776978,843.868103,203.480988,730.234863,733.151306,182.260269,754.734802,741.828613,183.208603,,,,813.241272,1130.718994,399.775146,,,,774.763733,1097.589966,254.193558,,,,,,,,,
65,760.858582,846.969482,205.628616,728.302795,736.025452,184.716003,752.465332,745.144226,184.914246,,,,813.008301,1132.305054,400.348755,,,,774.489258,1100.690674,254.775253,,,,,,,,,
66,758.936035,849.814392,207.627945,726.199463,739.363831,186.716705,751.313110,747.749023,186.682495,,,,812.956665,1133.831665,400.762939,,,,774.094421,1103.628174,255.235428,,,,,,,,,
67,757.361145,852.727783,208.948700,724.491272,742.574402,188.778214,749.661804,750.724487,189.097107,,,,813.059021,1135.413940,400.947021,,,,773.516541,1106.455933,256.148560,,,,,,,,,
68,755.402100,855.867676,210.306152,722.415527,745.543030,190.368332,747.283752,754.224976,190.252426,,,,813.278564,1137.145142,401.293793,,,,773.250183,1109.161499,257.373108,,,,,,,,,
69,753.780090,859.308716,211.750687,720.560913,748.498474,192.002960,745.404114,757.235962,192.295761,,,,813.660339,1138.707275,401.907043,,,,773.287109,1112.019409,258.088928,,,,,,,,,
