Präzision01165
Date:,2025/04/24
Time:,13:17:15
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,786.715332,862.982178,180.630051,818.551392,1164.768188,393.134552,789.412415,1122.248901,182.780914,767.776001,743.211670,173.724808,793.149902,757.968323,181.126923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,785.181091,866.486938,182.465683,818.846313,1166.414673,393.143433,,,,766.014160,746.387695,175.822998,791.227295,761.542297,183.841583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,783.761047,869.557373,184.021088,818.911743,1167.802368,393.491150,,,,763.911255,749.499329,177.908218,789.456421,765.244934,184.873199,788.708130,1128.743774,184.110092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,782.489380,872.965759,185.371643,818.979736,1169.236694,394.129181,,,,762.195496,752.988159,180.079819,787.633240,767.942688,186.971130,788.293457,1131.809814,184.042023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,780.873352,876.178650,186.831741,819.126709,1170.773560,394.737793,,,,760.444214,756.374390,181.464111,785.569092,770.923950,189.075333,788.144775,1134.771118,184.505356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,779.237671,879.719849,188.131424,819.284485,1172.196289,395.177643,,,,758.140808,759.675293,183.433594,783.756531,774.368958,190.253952,788.139587,1137.850586,185.481430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,777.418030,882.870605,188.903076,819.418823,1173.714478,395.668121,,,,756.060425,762.961914,184.546326,781.421875,777.746155,191.995865,787.804626,1140.887573,186.116028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,775.824158,886.035889,190.018707,819.587463,1174.937500,396.388062,,,,753.870667,766.371033,186.845306,779.621826,781.258118,193.172699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,774.151917,889.161499,191.510620,819.934204,1176.341553,397.036438,,,,751.174622,769.449707,188.529678,776.989258,784.323486,193.684921,,,,787.310791,1147.500488,187.109680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,772.629700,892.376404,192.461212,820.463928,1177.870972,397.594635,,,,749.312927,773.067627,188.838028,774.495789,787.322327,195.484497,,,,787.351501,1150.409424,187.346878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
