Präzision01165
Date:,2025/04/24
Time:,15:41:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,720.226563,966.340332,185.673676,896.733948,1193.700317,445.123901,,,,687.016235,890.342102,138.612656,,,,652.648438,880.835144,138.363205,,,,,,,,,,,,,838.383240,1210.311890,280.925903,,,,,,,,,,,,,,,,,,
80,719.968079,967.497742,185.475922,896.942017,1194.235474,445.005920,,,,686.643799,891.492676,137.809189,,,,651.955933,882.412415,137.761902,,,,,,,,,,,,,838.421448,1211.104980,281.028015,,,,,,,,,,,,,,,,,,
81,719.917603,968.453979,184.784607,897.079712,1194.633667,445.040924,,,,686.210083,892.857605,137.100571,,,,651.830383,883.524963,137.505188,,,,,,,,,,,,,838.800415,1211.677490,281.175354,,,,,,,,,,,,,,,,,,
82,719.547791,969.786438,183.712234,897.135315,1195.069580,445.099365,,,,685.798706,894.240479,136.478394,,,,651.599976,884.591797,136.258545,,,,,,,,,,,,,838.822388,1212.269165,280.959839,,,,,,,,,,,,,,,,,,
83,719.123962,971.101257,182.939850,897.349060,1195.640747,445.241913,,,,686.057251,894.998779,135.738388,,,,651.355408,885.973022,135.075043,,,,,,,,,,,,,838.932312,1212.934692,280.820984,,,,,,,,,,,,,,,,,,
84,718.970337,972.050049,182.659439,897.573303,1196.062012,445.396942,,,,686.259094,895.513184,134.976654,,,,651.235474,887.012695,134.082748,,,,,,,,,,,,,838.956421,1213.501343,280.768951,,,,,,,,,,,,,,,,,,
85,718.770386,972.629456,182.445389,897.770508,1196.475708,445.426056,,,,686.159180,896.475769,134.315140,,,,651.471252,887.807983,133.225327,,,,,,,,,,,,,839.164307,1213.973145,280.750122,,,,,,,,,,,,,,,,,,
86,718.181763,973.439148,181.363373,898.446594,1196.787354,445.280273,,,,686.194458,897.578613,133.378845,,,,651.878723,888.559937,132.391403,,,,,,,,,,,,,839.381165,1214.402954,280.517181,,,,,,,,,,,,,,,,,,
87,718.118835,974.259216,180.487411,898.948242,1197.204468,445.179718,,,,685.719849,898.436035,132.366577,,,,652.375427,889.415222,131.062241,,,,,,,,,,,,,839.561401,1214.811157,280.514099,,,,,,,,,,,,,,,,,,
88,717.863953,975.020691,179.779327,899.581970,1197.510986,444.951569,,,,686.334167,899.027710,131.658035,,,,652.303650,890.215332,130.573639,,,,,,,,,,,,,839.339661,1215.282227,280.705536,,,,,,,,,,,,,,,,,,
89,717.725281,975.602844,179.143616,899.955444,1197.843750,444.883728,,,,686.622437,899.447693,131.074188,,,,652.232239,890.687256,129.800980,,,,,,,,,,,,,839.894104,1215.365967,280.532166,,,,,,,,,,,,,,,,,,
90,717.942505,976.013672,178.634232,900.146667,1198.036499,444.865082,,,,686.228333,900.023804,130.242676,,,,652.135681,890.955627,129.060059,,,,,,,,,,,,,840.178528,1215.599854,280.389008,,,,,,,,,,,,,,,,,,
91,718.103943,976.336914,178.172806,900.315063,1198.173706,444.844543,,,,686.143250,900.516296,129.682892,,,,652.323669,891.215576,128.363785,,,,,,,,,,,,,840.560181,1215.742432,280.159912,,,,,,,,,,,,,,,,,,
92,718.386902,976.726746,177.502457,900.633728,1198.400635,444.811066,,,,686.333740,900.810425,129.232666,,,,652.493896,891.532227,127.553352,,,,,,,,,,,,,840.763550,1215.867676,279.975281,,,,,,,,,,,,,,,,,,
93,718.599365,977.167603,176.838531,900.832214,1198.537476,444.817749,,,,686.716553,901.232422,128.618881,,,,652.921692,891.760315,126.849518,,,,,,,,,,,,,841.204651,1215.890381,279.552399,,,,,,,,,,,,,,,,,,
94,718.808838,977.441040,176.355804,900.958923,1198.673706,444.724762,,,,687.257019,901.652222,127.694496,,,,653.267578,891.953552,126.230858,,,,,,,,,,,,,841.331787,1215.984619,279.308197,,,,,,,,,,,,,,,,,,
95,718.740906,977.751526,175.744186,901.145020,1198.768066,444.606293,,,,688.211670,901.638733,126.975563,,,,653.530823,892.126038,125.734192,,,,,,,,,,,,,841.347595,1216.052124,279.263245,,,,,,,,,,,,,,,,,,
96,718.792297,977.824768,175.317001,901.380554,1198.898071,444.458344,,,,688.496948,901.647400,126.454750,,,,653.787781,892.263367,125.179405,,,,,,,,,,,,,841.272095,1216.091553,279.235840,,,,,,,,,,,,,,,,,,
97,718.882080,977.839600,174.844177,901.538330,1199.067871,444.297089,,,,688.558289,901.658630,125.996803,,,,654.046509,892.374939,124.634529,,,,,,,,,,,,,841.137451,1216.052246,279.139740,,,,,,,,,,,,,,,,,,
98,719.176941,977.908630,174.177475,901.757019,1199.309692,443.944000,,,,688.518311,901.789795,125.482605,,,,654.270630,892.540222,124.202011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,719.309570,978.176575,173.214188,901.649841,1199.462280,444.007690,,,,688.635376,901.913696,124.876808,,,,654.419922,892.651550,123.794441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,719.518250,978.350281,172.375229,902.100098,1199.771973,443.346466,,,,688.872681,902.017822,124.362236,,,,654.326721,892.607422,122.775871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,719.932678,978.438782,171.743393,902.088013,1200.119263,443.177063,,,,688.495300,902.513550,123.180916,,,,654.502197,892.688538,122.455582,,,,,,,,,,,,,,,,840.950562,1215.531128,278.487885,,,,,,,,,,,,,,,
102,720.342957,978.307312,170.732330,902.396851,1200.048950,443.060669,,,,688.313904,902.688171,122.454315,,,,654.773804,892.756897,121.866127,,,,,,,,,,,,,,,,841.132629,1215.451538,278.150818,,,,,,,,,,,,,,,
103,720.346069,978.218201,170.586746,902.641418,1200.055786,442.845764,,,,688.256470,902.509033,121.700470,,,,654.925476,892.843079,121.201431,,,,,,,,,,,,,,,,841.089539,1215.295532,277.912689,,,,,,,,,,,,,,,
104,720.462463,978.000122,170.202377,902.766418,1200.100830,442.712860,,,,688.139282,902.784668,120.826096,,,,655.128174,892.750549,120.100060,,,,,,,,,,,,,,,,841.144836,1215.081177,277.604309,,,,,,,,,,,,,,,
105,720.568970,977.866211,169.730591,902.899658,1200.220825,442.594788,,,,688.276978,902.932556,120.131546,,,,655.320557,892.886292,118.965385,,,,,,,,,,,,,,,,841.177185,1214.902466,277.415955,,,,,,,,,,,,,,,
106,720.807861,977.765991,169.228745,902.958191,1200.281250,442.431000,,,,688.472046,902.880554,119.633698,,,,655.474670,892.956421,118.230621,,,,,,,,,,,,,,,,841.307373,1214.609253,277.237000,,,,,,,,,,,,,,,
107,721.007324,977.686584,168.812469,903.089539,1200.204590,442.257843,,,,688.711121,902.767944,118.869514,,,,655.562134,892.882263,117.328033,,,,,,,,,,,,,,,,841.353577,1214.428223,277.008453,,,,,,,,,,,,,,,
108,721.000549,977.687927,168.182465,903.427124,1200.108887,442.033844,,,,688.954956,902.875366,118.058395,,,,655.521545,892.730652,116.757027,,,,,,,,,,,,,,,,841.382996,1214.292603,276.814850,,,,,,,,,,,,,,,
109,721.032166,977.794922,167.104813,903.477051,1200.152832,441.778381,,,,689.312134,902.831299,116.948685,,,,655.411255,892.727905,116.321571,,,,,,,,,,,,,,,,841.472778,1214.083984,276.577148,,,,,,,,,,,,,,,
110,720.978577,977.891846,166.285370,903.472839,1200.111450,441.653778,,,,689.347229,902.959351,116.240837,,,,655.508728,892.688782,115.650284,,,,,,,,,,,,,,,,841.642517,1213.996094,276.384064,,,,,,,,,,,,,,,
111,720.854065,977.799377,165.740311,903.466187,1200.111084,441.607239,,,,689.064636,903.032288,115.379982,,,,655.570190,892.871765,114.823814,,,,,,,,,,,,,,,,841.619385,1213.894409,275.948029,,,,,,,,,,,,,,,
112,720.832886,977.697876,165.334930,903.500977,1199.999634,441.535400,,,,688.911255,903.307800,114.488464,,,,655.534546,893.101563,113.836159,,,,,,,,,,,,,,,,842.062073,1213.719849,275.673706,,,,,,,,,,,,,,,
113,720.854919,977.654480,164.930008,903.432617,1200.002686,441.369049,,,,689.031311,903.185669,113.403679,,,,655.552734,893.388123,112.758850,,,,,,,,,,,,,,,,842.326294,1213.561035,275.408295,,,,,,,,,,,,,,,
114,721.038391,977.621582,164.415726,903.403015,1199.952881,441.231079,,,,689.273743,903.303650,112.748383,,,,,,,,,,,,,,,,,,,,,,842.571899,1213.453491,275.221954,,,,,,,,,,,,,,,
115,721.106079,977.599792,164.182846,903.326599,1199.947998,441.187531,,,,689.491272,903.575623,112.247620,,,,,,,,,,,,,,,,,,,,,,842.793274,1213.376709,274.951538,,,,,,,,,,,,,,,
116,721.335449,977.664734,163.839691,903.121094,1200.081665,441.010071,,,,689.532471,903.755432,111.874916,,,,,,,,,,,,,,,,,,,,,,842.996765,1213.298096,274.762360,655.700378,893.707520,110.784012,,,,,,,,,,,,
117,721.501526,977.763733,163.492065,903.173645,1200.067383,440.937347,,,,689.576782,903.837646,111.769150,,,,,,,,,,,,,,,,,,,,,,843.213684,1213.235962,274.552490,655.642334,893.819824,110.680107,,,,,,,,,,,,
