Präzision01139
Date:,2025/04/22
Time:,17:38:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
66,804.613464,766.732544,110.868698,733.356384,948.360107,228.184570,804.821472,670.246521,64.977654,739.634766,1034.389038,341.598541,836.659119,680.655762,66.127525,,,,,,,,,,,,,,,,,,,,,,,,
67,804.594177,766.718994,110.915489,733.303528,948.448853,228.191681,804.855713,670.230835,64.915314,739.631470,1034.494019,341.692261,836.742249,680.724609,66.166687,,,,,,,,,,,,,,,,,,,,,,,,
68,804.616211,766.734497,111.057274,733.296265,948.561707,228.391937,804.848389,670.260254,64.942169,739.562805,1034.604614,341.711853,836.674438,680.805969,66.280457,,,,,,,,,,,,,,,,,,,,,,,,
69,804.556824,766.790466,111.194725,733.277649,948.639832,228.635468,804.930481,670.310974,65.043648,739.625610,1034.722046,341.803772,836.803284,681.287781,66.429276,,,,,,,,,,,,,,,,,,,,,,,,
70,804.550720,766.791016,111.284958,733.300659,948.673096,228.735443,804.932190,670.421631,65.158508,739.643677,1034.817627,341.794952,836.738159,681.028564,66.509628,,,,,,,,,,,,,,,,,,,,,,,,
71,804.551941,766.756958,111.413567,733.055237,948.801636,228.943359,804.970093,670.464294,65.067276,739.658997,1034.994263,341.858185,836.678528,680.884338,66.264656,,,,,,,,,,,,,,,,,,,,,,,,
72,804.536926,766.698669,111.571739,733.059387,948.915405,229.073914,805.072266,670.499512,64.975349,739.616516,1035.138184,341.997559,836.746582,680.965149,66.498276,,,,,,,,,,,,,,,,,,,,,,,,
73,804.406555,766.701233,111.709206,732.920593,948.986938,229.192932,805.171143,670.646545,65.018143,739.621399,1035.230469,342.095276,836.712463,681.134827,66.620804,,,,,,,,,,,,,,,,,,,,,,,,
74,804.488037,766.724548,111.932175,732.706848,949.134766,229.413422,805.289673,670.649170,65.102127,739.543701,1035.424927,342.150452,836.881470,681.209290,66.763924,,,,,,,,,,,,,,,,,,,,,,,,
75,804.522705,766.753174,112.049423,732.547729,949.260315,229.559387,805.412109,670.698547,65.104500,739.545288,1035.636597,342.165344,836.870361,681.344360,66.792198,,,,,,,,,,,,,,,,,,,,,,,,
76,804.504639,766.820679,112.053604,732.421143,949.355774,229.800735,805.460083,670.780151,64.998543,739.592346,1035.751099,342.291809,837.005554,681.606262,66.857140,,,,,,,,,,,,,,,,,,,,,,,,
77,804.527222,766.804382,112.087173,732.268677,949.399780,229.901352,805.643555,671.025757,65.137436,739.592773,1035.946777,342.269440,836.922119,682.121460,67.037003,,,,,,,,,,,,,,,,,,,,,,,,
78,804.711243,766.796326,112.267334,732.132446,949.426575,230.042175,805.794495,671.125916,65.169846,739.673035,1036.060303,342.470551,836.948547,682.434265,67.083885,,,,,,,,,,,,,,,,,,,,,,,,
79,804.727844,766.884216,112.285439,731.964417,949.544739,230.270798,805.981140,671.228882,65.187843,739.675659,1036.226318,342.472748,837.261536,682.232300,67.259560,,,,,,,,,,,,,,,,,,,,,,,,
80,804.731750,767.005615,112.407341,731.884338,949.635925,230.392883,806.051880,671.330261,65.151505,739.694885,1036.334351,342.474335,837.408325,682.263123,67.334236,,,,,,,,,,,,,,,,,,,,,,,,
81,804.746033,766.990845,112.432716,731.877014,949.757019,230.439423,806.555725,671.491760,64.638023,739.639221,1036.626343,342.622711,837.500061,682.337097,67.409142,,,,,,,,,,,,,,,,,,,,,,,,
82,804.731079,767.237183,112.486496,731.775757,949.929688,230.501740,806.412415,671.605896,64.929085,739.329346,1036.715454,342.911407,837.239136,682.932007,67.147369,,,,,,,,,,,,,,,,,,,,,,,,
83,804.802429,767.406433,112.639328,731.745972,950.065186,230.639557,806.282654,671.777466,65.402245,739.541687,1037.026855,342.941711,837.698425,682.740173,67.456352,,,,,,,,,,,,,,,,,,,,,,,,
84,804.776733,767.601257,112.664589,731.764465,950.176025,230.684692,806.287476,671.881226,65.622353,739.657654,1037.166016,343.047668,837.841248,682.680664,67.531754,,,,,,,,,,,,,,,,,,,,,,,,
85,804.796387,767.821838,112.687782,731.785339,950.174133,230.902374,805.920898,671.950745,66.130058,739.707886,1037.367920,343.211090,837.673462,682.544800,67.322739,,,,,,,,,,,,,,,,,,,,,,,,
86,804.797668,768.016479,112.753326,731.851074,950.291260,231.070236,805.820374,671.958801,66.096092,739.678467,1037.501221,343.400421,837.587769,682.619568,67.195755,,,,,,,,,,,,,,,,,,,,,,,,
87,804.786743,768.134949,112.759697,731.909851,950.406616,231.235428,805.864685,671.871399,66.007217,739.440063,1037.650757,343.625275,837.557129,682.863403,67.181343,,,,,,,,,,,,,,,,,,,,,,,,
