Präzision20
Date:,2025/04/16
Time:,10:34:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,802.168274,693.020569,79.742722,816.419861,785.101807,106.903450,809.098694,987.771729,208.683685,851.220764,1014.821167,350.421143,773.838562,688.238403,72.356888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,802.207642,692.993469,79.695641,816.425842,785.007996,106.952240,808.936829,987.652893,208.738297,851.145935,1014.799255,350.504211,773.876953,688.117371,72.361130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,802.210815,692.895325,79.702538,816.394226,784.949829,106.979820,808.707397,987.630188,208.717316,851.112061,1014.804810,350.550262,773.987366,687.975891,72.434929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,802.248901,692.879578,79.713524,816.392517,784.789734,107.088715,808.519775,987.577454,208.722595,851.054382,1014.797546,350.657166,774.056274,687.845337,72.558235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,802.314453,692.678162,79.770294,816.324280,784.677368,107.497810,808.303345,987.558655,208.687820,850.990173,1014.872314,350.713409,774.158630,687.698364,72.674202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,802.428711,692.536072,79.877281,816.278137,784.579895,107.638680,808.102478,987.518982,208.687775,850.873901,1014.888245,350.800812,774.289490,687.594482,73.031700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,802.506226,692.501770,79.855965,816.387573,784.393860,107.775780,808.004883,987.480469,208.699387,850.798279,1014.878662,350.874237,774.516602,687.422058,73.396965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,802.533508,692.456909,79.854744,816.413208,784.357849,107.874489,807.735229,987.452820,208.784073,850.697632,1014.981018,350.989960,774.661987,687.289185,73.525238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,802.624756,692.385071,79.972687,816.586365,784.177795,108.511612,807.562317,987.362244,208.810989,850.598206,1015.084534,350.973969,774.813660,687.178528,73.677002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,802.819641,692.252625,80.257736,816.699402,784.124756,108.886681,807.349304,987.434204,208.889328,850.693970,1015.159668,350.948059,774.899963,687.081116,73.950294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,802.996582,692.128845,80.644279,816.923645,784.160400,109.477020,807.105225,987.456665,208.890259,850.773499,1015.301025,351.130249,774.159851,687.326538,75.234177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,803.203979,692.150269,81.024315,817.011719,784.130981,110.001816,806.792603,987.472229,209.218460,850.661255,1015.525574,351.361053,773.711060,687.189941,76.137749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
