Präzision27
Date:,2025/04/16
Time:,10:47:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,757.329529,768.674194,184.228439,781.239014,878.830139,210.154205,833.162048,1163.155151,361.968170,772.698792,1115.026489,249.218399,788.449524,776.867249,187.616165,,,
53,754.598694,771.931580,186.185760,779.364319,882.414001,211.978653,833.618835,1165.713013,362.592834,772.349182,1118.849854,250.104706,785.619629,780.733948,189.462479,,,
54,752.078735,775.638489,187.886185,777.073669,886.255371,214.063477,834.020020,1168.552856,363.330078,771.913208,1122.618652,250.918549,782.978210,784.533569,191.574783,,,
55,749.531311,779.544189,189.461380,774.525574,889.863831,215.710251,834.405151,1171.083374,363.687958,771.770935,1126.394165,251.295593,780.610291,787.563721,193.936066,,,
56,746.658691,783.460754,191.425537,772.384705,893.591370,217.087326,834.872253,1173.666626,364.135040,771.382507,1130.068848,252.229996,777.873779,790.995850,195.322311,,,
57,743.283386,787.004395,193.170807,770.071289,897.234253,218.498123,833.791199,1176.424438,365.180145,770.928467,1133.901245,253.034882,775.050110,794.674988,196.757065,,,
58,739.847595,790.834534,195.142929,767.966064,900.813049,220.004486,834.723511,1179.146729,365.682281,771.093445,1137.397827,253.813034,771.383240,797.927124,198.586273,,,
59,737.183716,794.502075,195.923721,765.346069,904.214478,220.705460,835.567444,1181.402466,366.231476,770.754150,1141.116089,254.230896,768.440125,801.706787,199.791779,,,
60,734.239075,798.412781,197.143921,762.969421,907.730347,222.267303,836.740295,1183.918945,366.486420,770.291321,1144.629517,255.324036,765.563660,804.814392,201.127899,,,
61,730.540833,802.064758,197.776108,760.548767,911.153137,223.799210,836.787170,1186.801147,367.123505,770.391724,1147.919800,256.107910,762.207153,808.889282,202.034500,,,
62,727.463501,805.798828,199.179001,758.218262,914.680420,224.384430,837.415833,1189.408325,367.499115,769.732544,1151.805420,256.875732,759.043091,811.624939,202.969620,,,
63,723.918762,809.649292,199.846802,755.734070,918.361572,225.321030,838.267822,1191.228394,367.674225,769.385254,1155.188721,257.922333,755.620850,814.700012,204.114105,,,
64,720.601685,813.205078,200.406128,753.361450,921.458618,225.631317,838.703125,1193.737671,368.566681,769.465698,1158.768066,257.898346,752.118713,818.920715,204.600037,,,
65,717.107666,816.613037,201.482819,750.945557,924.716675,227.074539,839.159424,1195.955688,368.814758,769.312073,1162.209595,258.473694,748.924316,822.008850,204.817001,,,
66,713.228577,820.431580,202.467056,748.084900,928.161255,227.636932,839.493530,1197.897095,369.425415,769.498169,1164.631714,259.571533,745.601929,824.921265,205.992615,,,
67,709.775513,823.992004,203.171921,745.627563,931.440918,227.982330,840.228699,1200.175537,369.954071,768.969421,1167.905151,260.270416,742.290771,828.404724,206.230698,,,
68,707.194641,827.281128,202.819107,742.964050,934.367065,228.586716,840.583923,1202.113892,370.325958,769.401611,1170.671021,260.558929,738.938293,831.863403,206.571655,,,
69,704.210754,830.719238,202.383484,740.973083,937.725159,229.605606,840.976196,1203.968994,371.055267,769.763184,1173.764648,261.108978,735.264099,835.275024,207.015533,,,
70,701.001953,834.159790,203.024002,738.281433,941.224792,229.847382,841.505981,1205.768799,371.587219,769.444580,1177.252319,261.528168,732.817810,838.461609,206.958267,,,
71,697.217041,837.408447,204.230560,735.938232,943.826782,230.216644,842.578369,1207.629883,371.625854,769.705261,1179.726929,261.879059,729.371948,841.104675,207.590897,,,
72,694.808350,840.358032,203.795242,733.546265,946.457642,230.656036,842.899414,1209.085327,372.258911,769.720154,1182.043091,262.674103,726.544983,844.124390,207.287613,,,
73,692.099304,843.403137,203.129028,731.327087,949.643616,231.175125,843.717651,1210.631470,373.018005,769.988892,1184.665405,263.623169,723.700867,847.088928,207.682343,,,
74,689.285156,846.701904,203.125107,729.001221,952.190674,231.284058,844.697327,1211.925537,373.452301,770.695862,1187.124878,263.795746,721.409973,850.000305,207.658493,,,
75,686.914124,850.019348,202.637375,726.722839,954.950195,231.778015,845.178589,1213.419189,373.898834,770.690186,1189.384644,264.404785,718.507385,853.039001,207.355621,,,
76,684.135803,853.083313,202.256470,724.754822,957.865723,231.488846,845.502625,1214.829712,374.218872,771.242981,1191.695313,265.026459,715.492676,855.560608,207.044464,,,
77,681.227600,855.787537,202.064423,722.806458,960.085205,231.370285,845.894653,1216.264282,374.207581,771.598938,1193.908569,265.078766,713.105530,858.253784,206.401245,,,
78,678.525024,858.258545,201.625504,720.996460,962.721313,231.863449,846.364685,1217.814819,374.576599,771.846619,1195.692993,265.383118,710.283203,861.093567,206.107925,,,
79,676.321045,861.414429,200.828506,719.055969,965.021851,231.599579,846.942078,1218.931274,375.009369,771.810425,1198.026123,265.686249,707.895630,863.522156,205.097046,,,
80,674.052734,864.043701,199.689560,717.518616,967.229431,231.584396,847.443237,1219.946533,375.282684,771.830017,1199.950562,265.931793,705.710632,866.308533,204.620712,,,
81,671.660522,866.560059,199.039978,715.157349,969.299194,231.273651,848.065552,1221.266724,375.458435,772.086060,1201.878174,266.330353,703.329712,868.237610,204.175690,,,
82,669.175964,868.882690,198.826965,713.751526,971.494141,231.236359,848.713806,1222.385132,375.607788,772.778320,1202.894775,266.381714,700.885315,870.266968,203.473526,,,
83,666.899780,871.323059,197.802505,712.151672,973.523376,230.351990,849.075012,1223.209473,375.734741,772.930115,1204.617310,266.598755,698.778992,872.811646,202.748322,,,
84,664.869385,873.516235,196.933289,710.834229,975.239563,230.005112,849.393799,1224.058472,375.831940,772.577576,1206.176514,267.101379,696.904785,874.927307,201.534744,,,
