Präzision01159
Date:,2025/04/24
Time:,15:56:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,782.590576,655.890320,72.673553,726.028503,954.581421,172.347107,785.552673,773.198547,87.469658,727.828979,1042.661865,328.697632,806.388245,677.541199,74.055717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,782.594299,655.887268,72.613564,725.995972,954.573120,172.359375,785.616760,773.282288,87.506096,727.799438,1042.751587,328.715118,806.431946,677.483765,74.170486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,782.629517,655.885559,72.642281,726.010132,954.570129,172.336166,785.676636,773.191040,87.588081,727.834412,1042.872559,328.764130,805.851318,677.372559,74.333275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,782.666321,655.865356,72.728485,726.519714,954.498291,171.804306,785.857056,773.213684,87.784302,727.845703,1042.952637,328.761047,806.136414,677.468872,74.276215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,782.669312,655.839539,72.790619,726.322266,954.667419,171.971344,785.916138,773.193970,87.858330,727.834106,1042.961548,328.785126,806.208069,677.385132,74.564651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,782.705139,655.834167,72.837090,726.033630,954.726318,172.292816,785.792969,773.217285,88.039047,727.775513,1043.058716,328.770447,806.227295,677.366272,74.698196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,782.802002,655.916382,72.844032,725.866577,954.820923,172.440292,785.752747,773.282715,88.173584,727.808838,1043.129517,328.969910,805.903259,677.337280,74.489471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,782.540344,656.296936,73.333092,725.827515,954.813599,172.509109,785.661072,773.388245,88.296478,727.767334,1043.170044,328.943970,805.994751,677.411255,74.587639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,782.619629,656.413147,73.269226,725.776550,954.932007,172.455246,785.571228,773.520813,88.520325,727.827820,1043.260132,328.957458,806.561340,677.073364,75.840820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,782.595459,656.682251,73.918106,725.678711,955.125244,172.510620,785.463684,773.633789,88.732307,727.745056,1043.406006,329.062531,806.597290,677.188599,76.348442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,782.457520,656.946899,74.729294,725.563477,955.277771,172.530151,785.381592,773.849365,88.965721,727.643066,1043.496826,329.135254,806.439148,677.557312,76.625359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,782.512085,657.051086,76.228722,725.535706,955.587402,172.555252,785.341003,774.140442,89.217422,727.701477,1043.596558,329.123169,805.938049,677.793640,77.017395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,782.716980,657.280884,76.856041,725.399902,956.038086,172.554016,785.235718,774.378723,89.558388,727.672058,1043.791016,329.151703,806.089844,678.093506,77.904114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,782.217224,657.557678,77.540520,725.331726,956.500000,172.551056,785.080750,774.563354,90.075012,727.487366,1044.008423,329.392151,806.219910,678.334106,78.653656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,781.823730,657.821228,78.228798,725.411072,957.043640,172.606613,784.945496,774.967590,91.202896,727.393982,1044.318848,329.561890,806.077393,678.486267,79.459175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
