Präzision22
Date:,2025/04/16
Time:,10:58:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
51,789.931274,671.633240,69.286987,738.681335,1033.820435,424.811676,792.776245,772.821716,125.456245,700.939270,996.725891,270.693634,813.990356,690.523499,70.826477,,,,,,,,,
52,789.893311,671.642639,69.197334,738.644958,1033.844360,424.701691,792.762939,772.765442,125.580887,700.905029,996.729858,270.637573,813.612854,690.607666,70.344048,,,,,,,,,
53,789.907959,671.681152,69.247971,738.759583,1033.769043,424.672302,792.724976,772.749695,125.570984,700.979553,996.839844,270.569550,813.561096,690.568542,70.269470,,,,,,,,,
54,789.931641,671.726807,69.316383,738.743896,1033.753296,424.650146,792.787842,772.711304,125.636009,700.987122,996.851624,270.543793,813.698486,690.471497,70.434418,,,,,,,,,
55,789.873535,671.625732,69.309868,738.779602,1033.786255,424.582703,792.738831,772.691895,125.571312,700.977051,996.849731,270.563568,813.870728,690.329163,70.634537,,,,,,,,,
56,789.833130,671.598999,69.323242,738.900146,1033.801025,424.572113,792.746582,772.702637,125.601425,700.986938,996.807312,270.536957,814.018250,690.263184,70.820747,,,,,,,,,
57,789.862732,671.654785,69.305679,738.899902,1033.791260,424.617310,792.721191,772.678772,125.548218,700.995789,996.803284,270.542480,814.036438,690.219849,70.850922,,,,,,,,,
58,789.845825,671.631592,69.310455,738.946777,1033.800293,424.548340,792.742065,772.674683,125.581764,700.989197,996.852844,270.498840,813.980164,690.249878,70.815544,,,,,,,,,
59,789.854492,671.682434,69.287079,739.084106,1033.843872,424.441803,792.868652,772.731812,125.703979,700.994812,996.874756,270.440979,813.548950,690.399048,70.348900,,,,,,,,,
60,789.842590,671.636230,69.306046,739.104858,1033.852173,424.416626,792.738403,772.699951,125.661682,700.954407,996.850098,270.409637,812.904541,690.671509,69.858459,,,,,,,,,
61,789.842529,671.718933,69.333130,739.136597,1033.861084,424.370392,792.774780,772.759094,125.607422,700.760925,996.890625,270.288208,812.920227,690.713806,69.908943,,,,,,,,,
62,790.052917,671.925293,69.419365,739.164734,1033.874146,424.343445,792.854065,772.759949,125.621788,700.881042,996.895386,270.369415,813.282227,690.578369,70.269722,,,,,,,,,
63,789.766907,671.808655,69.309593,739.237122,1033.899048,424.293579,792.809021,772.828430,125.622925,700.841431,996.972290,270.388428,813.628784,690.429016,70.736153,,,,,,,,,
64,789.629150,671.674011,69.407722,739.217773,1033.881958,424.270691,792.829407,772.901062,125.551041,700.722717,996.969543,270.353882,813.675781,690.429199,70.859779,,,,,,,,,
65,789.631348,671.731384,69.521690,739.245850,1033.871460,424.315216,793.115601,773.046814,125.525551,700.756775,996.984009,270.420288,813.113708,690.729736,70.426956,,,,,,,,,
66,789.551758,671.724548,69.594696,739.277100,1033.792358,424.332977,792.899170,773.120605,125.640625,700.539063,997.046387,270.359741,812.812073,690.976807,70.225182,,,,,,,,,
67,789.475464,671.662781,69.743507,739.289612,1033.759277,424.335968,792.937195,773.394409,125.773514,700.402832,997.110779,270.287842,812.794983,691.176270,70.288406,,,,,,,,,
68,789.409180,671.743408,69.846169,739.368958,1033.849976,424.369843,792.885376,773.578430,125.882759,700.243591,997.257568,270.267120,812.218750,691.651550,69.815117,,,,,,,,,
69,788.919189,671.879700,69.872452,739.407104,1033.858398,424.437500,792.895691,773.787598,125.982468,700.058472,997.474976,270.253906,811.323242,692.360779,68.896873,,,,,,,,,
70,788.920715,672.161865,69.979889,739.372498,1033.819092,424.519501,792.694580,773.953064,126.226807,699.876587,997.813477,270.065582,808.588440,693.564270,66.309799,,,,,,,,,
71,789.217834,672.649902,70.150658,739.392517,1033.890625,424.556305,792.674194,774.244873,126.451691,699.706848,998.147644,269.961395,805.860840,694.740234,63.783417,,,,,,,,,
72,789.572998,673.094971,70.542610,739.437195,1033.985474,424.629272,792.666931,774.565735,126.820351,699.468506,998.507324,269.860870,804.812683,695.558289,62.961994,,,,,,,,,
73,789.644958,673.262329,71.241585,739.483521,1034.081909,424.724640,792.550049,774.773560,127.157326,699.200928,998.987976,269.850555,805.050232,695.850830,63.675175,,,,,,,,,
74,789.589844,673.397278,72.024506,739.488342,1034.267700,424.983948,792.603394,775.031738,127.362595,698.995178,999.487671,269.922302,805.602112,695.906799,64.922134,,,,,,,,,
75,789.696960,673.954468,72.939278,739.408447,1034.434937,425.062866,792.097778,775.688721,127.711418,698.606323,1000.109802,270.024231,805.937805,696.030640,66.119522,,,,,,,,,
76,789.954346,674.767395,73.781754,739.283752,1034.648560,425.049164,791.751282,776.540833,128.502640,698.402527,1000.784363,270.154175,806.594788,696.316345,67.428009,,,,,,,,,
77,790.457153,675.547913,74.838509,739.208679,1034.868652,425.058685,791.752441,777.486206,129.347885,697.934814,1001.409119,270.566559,806.789307,696.815613,68.374969,,,,,,,,,
78,790.632690,676.050842,76.020035,739.067139,1035.254883,425.029022,791.964050,778.288025,130.494965,697.458557,1002.257751,270.940704,806.113098,697.310791,69.672707,,,,,,,,,
79,790.758606,676.595459,77.315514,738.740356,1035.745728,425.066284,792.058838,778.728271,132.010040,696.668091,1003.277222,271.087769,805.748413,698.227844,70.402863,,,,,,,,,
80,790.769470,677.106018,79.171661,738.474243,1036.417114,424.963165,791.972778,779.401428,133.455429,696.103760,1004.371887,271.109009,806.409668,699.604675,72.081879,,,,,,,,,
81,790.993286,678.050842,81.288101,738.398865,1037.079224,424.677246,791.768616,780.511230,135.268845,695.530823,1005.792358,271.198242,807.004883,700.351563,74.252731,,,,,,,,,
82,790.976257,679.643799,83.111870,738.145752,1038.034668,424.368652,791.746826,781.365845,138.387177,694.878052,1007.522522,271.267029,806.713318,700.934814,76.049362,,,,,,,,,
83,791.090454,680.343323,85.220398,737.787109,1038.692505,424.286469,791.497070,781.834778,140.253372,694.164673,1009.027039,270.861481,806.870117,701.905334,78.044365,,,,,,,,,
84,791.160278,680.717529,87.462128,737.415649,1039.461670,424.413177,790.998169,783.536560,141.770752,693.472595,1010.740784,271.200409,807.223450,703.620728,80.988823,,,,,,,,,
85,790.655640,682.317444,90.211433,737.090942,1040.483887,424.735931,790.626099,785.209229,143.560379,692.330994,1012.410645,272.061371,807.129639,704.414124,83.455208,,,,,,,,,
86,790.458679,683.847412,92.547951,736.541809,1041.554199,424.832794,790.133423,786.737793,145.316666,691.187195,1014.496338,272.549377,807.299194,705.328430,86.398148,,,,,,,,,
87,790.569153,684.564941,95.362915,735.700073,1042.600098,424.838989,789.639526,788.631226,146.956406,690.474548,1016.784790,272.383392,807.029602,707.021851,88.891319,,,,,,,,,
88,789.999878,686.367249,97.916656,735.022583,1043.695190,424.683990,788.742310,790.596619,148.459854,689.673035,1019.048523,272.630432,806.638245,708.341919,91.545898,,,,,,,,,
89,789.832886,688.097778,101.331017,734.695190,1045.004272,424.610382,789.288574,792.033875,152.361603,689.096008,1021.878296,272.729156,806.399475,710.056763,94.569725,,,,,,,,,
90,789.280273,689.598938,103.894066,734.321716,1046.312988,424.719360,787.841309,794.555603,153.645309,687.597168,1023.960205,273.970154,805.680603,711.890625,97.790474,,,,,,,,,
91,788.818237,691.390015,106.243286,733.747131,1047.776001,424.827759,787.628845,795.914246,157.125641,686.755432,1026.635254,273.789948,805.209167,713.187866,100.560356,,,,,,,,,
92,788.146118,693.219727,109.765305,733.093689,1049.085205,424.954163,786.785522,797.905945,160.518967,685.587036,1029.340576,274.511353,804.338318,715.671814,103.417175,,,,,,,,,
93,787.017578,695.744019,113.176987,732.475159,1050.453735,425.265350,785.648193,800.247375,163.247910,683.896912,1032.191650,275.225037,803.319580,717.567383,107.029106,,,,,,,,,
94,786.178467,697.573120,116.239037,731.797119,1051.796997,425.547943,784.802063,802.451904,166.282532,682.941284,1035.068848,275.874420,802.196533,719.998779,110.064583,,,,,,,,,
95,784.944519,700.024170,119.532150,731.164490,1053.317017,425.783142,783.792053,804.988403,169.240860,681.561279,1038.067261,276.915039,801.574951,721.776917,113.308548,,,,,,,,,
96,784.398254,701.842896,122.348480,730.581299,1054.951538,425.819061,782.489319,807.450317,171.869095,680.026428,1041.079224,278.050262,802.128967,723.144897,118.562988,,,,,,,,,
97,782.868835,704.345154,125.729454,729.977966,1056.620117,426.133179,780.897583,810.257935,174.666473,678.525391,1044.408447,278.547577,806.490906,724.686646,126.402763,,,,,,,,,
98,781.397156,707.518250,129.361206,729.317749,1058.505127,426.909943,779.348206,812.761658,178.082306,677.791016,1047.770386,278.957123,809.032593,726.352539,133.098663,,,,,,,,,
99,780.482422,709.510437,131.967529,728.435669,1060.246704,427.198608,777.784058,815.133362,180.896484,676.321350,1050.962769,279.885193,808.545166,729.265259,136.979446,,,,,,,,,
100,779.224243,712.373718,134.989700,727.421387,1061.981201,427.294128,776.463928,818.169373,183.584656,674.747864,1054.307373,281.226654,805.700256,731.840942,138.230713,,,,,,,,,
101,777.410278,715.920593,138.140839,726.986084,1063.714844,427.425385,774.835693,821.353516,186.391617,673.005188,1057.870483,282.293732,802.557617,734.568787,140.051117,,,,,,,,,
102,775.844177,718.525513,141.020767,725.997375,1065.576538,427.966980,772.877502,824.459900,189.392029,671.660339,1061.504395,283.307922,800.513855,738.218689,142.868942,,,,,,,,,
103,774.045288,721.253479,143.896973,725.067993,1067.556763,428.556732,771.070496,826.962585,192.162750,670.496521,1065.250610,283.945587,799.492554,741.572083,147.033142,,,,,,,,,
104,772.123840,724.523743,146.471924,724.375427,1069.417114,429.263000,769.383911,830.033875,194.429916,669.198059,1068.826050,285.112396,797.830933,744.022034,150.118973,,,,,,,,,
105,770.113708,727.799438,149.205383,723.533813,1071.448975,429.620789,767.358032,833.532288,197.221863,668.071655,1072.394531,286.691833,796.455566,746.665222,152.590149,,,,,,,,,
106,768.287781,730.665771,151.806000,722.811890,1073.540527,429.938263,765.555725,836.632690,199.432007,666.558411,1076.183350,287.617676,793.801392,749.486816,154.167542,,,,,,,,,
107,765.875610,733.616333,153.863876,722.178162,1075.571899,430.438263,763.387451,839.916687,202.295334,665.254761,1080.000854,289.190430,791.063965,752.897034,156.288879,,,,,,,,,
108,763.486267,737.366577,156.115036,721.064880,1077.772339,431.135437,760.999146,843.105957,204.377869,664.071472,1083.859741,290.334869,788.249146,756.542175,158.558777,,,,,,,,,
109,761.070129,741.370972,158.946686,720.023560,1079.870361,431.788849,758.449768,846.518982,206.570114,662.460327,1087.601318,291.381226,786.049988,759.658142,161.192490,,,,,,,,,
110,758.501404,744.291260,160.795547,719.363098,1081.891235,432.404144,756.154419,850.086609,208.861206,660.825623,1091.117188,293.131836,783.950317,762.971863,163.744812,,,,,,,,,
