Präzision01162
Date:,2025/04/24
Time:,13:16:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,782.705505,794.717896,187.415070,776.491760,900.182922,179.759537,793.917847,1180.938477,390.231201,756.304688,781.282776,183.043289,,,,,,,769.087524,1155.143921,179.192154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,779.851013,798.250122,187.683121,775.120483,903.308167,180.919067,793.909180,1182.468018,390.666077,753.667053,784.643127,184.079620,,,,,,,769.682739,1158.334839,179.363647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,777.829163,801.317383,188.555298,773.719727,906.471436,181.171036,794.260986,1184.190796,390.955750,751.333801,787.877502,184.318878,,,,,,,770.366577,1161.581665,179.250107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,775.545227,804.279419,189.296707,771.960632,910.050415,181.290253,794.727356,1185.753906,390.966553,748.925415,791.522766,184.880951,,,,,,,770.819153,1164.765869,179.406906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,772.993774,807.543030,189.278778,770.454956,913.229980,182.024246,,,,746.198425,794.826233,185.814331,,,,,,,770.859924,1167.673462,180.347305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,769.993164,810.957092,189.829895,769.182373,916.524109,182.600357,,,,743.414001,798.379272,186.015656,,,,,,,771.514038,1170.975098,180.852509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,767.529968,813.962769,190.246613,767.220764,919.717041,182.303055,,,,740.817505,801.625549,185.719223,,,,,,,771.620300,1174.274658,181.186584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,764.943542,817.082397,190.200302,765.696655,922.634827,182.828781,,,,738.051208,805.016968,186.211731,,,,,,,772.178345,1177.203003,181.081863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,762.556519,820.235901,190.334869,764.140991,925.745850,182.968918,,,,734.934814,808.237854,186.570007,,,,,,,772.907166,1180.045654,181.471161,796.445190,1193.480591,393.000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,760.040833,823.581604,189.882904,762.265503,928.902222,182.824860,,,,732.409912,811.729309,186.602875,,,,,,,,,,797.217834,1194.989624,393.495483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,757.003601,826.257813,189.990738,760.966858,931.868042,183.284348,,,,730.162292,814.980652,186.071548,,,,,,,,,,797.873657,1196.360596,393.667786,773.505737,1185.809692,182.911728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,754.800232,829.167542,189.826416,759.306519,934.832825,183.029556,,,,727.600891,818.217590,185.721512,,,,,,,,,,798.340576,1197.972778,393.693481,773.956604,1188.434204,183.079697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,751.919556,832.477112,189.414932,757.592407,937.555298,183.094467,,,,724.287048,821.433777,185.710815,,,,,,,,,,798.537659,1198.967041,393.785217,774.870178,1191.124634,183.283585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,749.417480,834.972900,189.162888,755.980652,940.403320,183.000992,,,,721.357422,824.456787,185.460846,,,,,,,,,,,,,775.366943,1193.799438,183.713104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,747.250061,837.746887,188.166519,754.046326,943.427856,182.713470,,,,719.122192,827.594299,185.032440,,,,,,,,,,,,,775.374146,1196.374634,184.325912,799.380554,1201.929077,395.516022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,744.016846,840.678955,188.259598,752.753845,945.798401,182.904999,,,,716.562317,830.358521,184.663849,,,,,,,,,,,,,,,,799.880371,1203.167114,395.685883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,741.437866,843.576416,187.735168,750.845276,948.630493,182.320496,,,,713.993103,833.667358,183.658630,,,,,,,,,,,,,,,,800.181580,1204.387939,396.070465,775.674377,1201.414063,185.437500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,739.386658,846.177002,186.810104,749.197388,951.301514,182.196503,,,,711.083374,836.670471,183.218842,,,,,,,,,,,,,,,,800.685669,1205.414429,396.668549,775.667175,1203.929321,186.139282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,736.755798,848.845459,186.489288,747.591858,953.920776,181.695206,,,,708.234558,839.361206,182.651779,,,,,,,,,,,,,,,,801.141235,1206.517090,396.783051,776.728577,1205.994995,186.092422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,733.957886,851.441040,186.016495,746.145203,956.312866,181.446381,,,,706.020081,842.000854,182.190125,,,,,,,,,,,,,,,,801.559143,1208.010742,396.937103,777.511108,1208.318726,186.236328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,731.922119,854.217529,184.597610,744.587830,958.611084,180.582565,,,,703.904297,845.018005,180.886612,,,,,,,,,,,,,,,,801.738647,1209.247192,397.525787,777.635132,1210.637695,186.475815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,729.792175,856.223999,183.576492,743.212769,961.257263,180.308990,,,,701.313354,847.962097,180.201248,,,,,,,,,,,,,,,,801.662109,1210.098877,398.015381,777.723267,1212.677979,187.148041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
