Präzision40
Date:,2025/04/16
Time:,14:29:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,791.459229,686.980286,91.037224,694.124329,1115.968384,360.811554,818.613159,707.164429,89.232605,691.459045,1028.824951,203.290558,789.653870,803.866638,104.262741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,791.182983,687.293335,93.289803,694.112549,1116.819946,360.770752,818.408875,707.871704,91.353722,691.143616,1029.974976,203.445480,789.191772,804.320129,106.525627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,791.222473,687.887390,95.242477,694.054504,1117.742554,360.895477,817.910706,708.583618,93.517693,690.899597,1031.129517,203.335266,789.122986,804.936279,107.872185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,790.492981,688.631409,97.751671,694.098938,1118.752319,361.141113,817.741699,709.392395,95.469528,690.538208,1032.617310,203.253571,788.721680,806.103821,109.547569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,790.138733,689.548462,100.860313,694.071411,1119.700684,361.349335,817.359253,709.643494,98.375832,689.948181,1033.964111,203.274261,788.492981,806.663757,112.259026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,789.727295,690.450989,102.792946,693.987976,1120.757568,361.461700,817.411499,710.347351,100.555908,689.485229,1035.839722,203.267776,788.322693,807.601929,113.686981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,789.444031,691.356506,105.127213,693.818359,1121.847046,361.905975,816.657288,711.954407,103.125175,689.241943,1037.293823,203.660751,787.705322,808.810852,115.519783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,789.255005,692.116638,107.677490,693.654663,1123.078491,362.563232,816.335938,712.824463,104.983170,688.772156,1038.946533,203.882813,787.218262,809.497742,117.525208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,789.058716,693.269714,110.489204,693.500671,1124.321167,362.815796,816.037354,713.572693,108.313408,688.167847,1040.711304,203.812576,786.798035,810.578918,119.799606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,788.667542,694.378235,113.386948,693.549866,1125.656616,362.917328,815.814087,714.767639,110.968597,687.566833,1042.225708,204.040817,786.725830,811.981628,122.067398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,788.551331,695.674316,116.322983,693.426147,1126.939453,362.903503,815.539307,716.007568,114.141098,687.161560,1044.026733,204.299744,786.053406,813.256042,123.907562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,787.860901,696.903687,119.101585,693.277405,1128.394897,363.046722,814.906921,717.520264,117.309967,686.643250,1046.109009,204.583038,785.588928,814.380615,126.438278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,787.670471,698.250183,122.576157,693.071350,1129.992432,363.276459,814.891418,718.518127,120.621399,685.897888,1047.905151,204.340271,785.224487,815.917603,129.042404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,787.562317,699.414978,125.024864,692.853271,1131.592651,363.541473,814.559448,720.067932,123.582298,685.197571,1050.027100,204.749802,784.764771,817.108398,131.031830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,787.036316,700.867676,128.321350,692.794373,1133.116455,364.236420,814.356201,721.521545,126.411873,684.453857,1051.840454,205.185486,784.011902,818.915771,133.758820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,786.595215,702.831787,131.505081,692.575195,1134.716797,364.939087,814.020569,722.976868,129.813705,683.853638,1053.897705,205.845047,783.651611,820.215881,136.090591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,786.422913,704.103943,134.398026,692.427063,1136.395630,365.449677,813.215759,724.916504,132.763641,682.923279,1055.970581,206.291260,783.334595,822.017456,138.613861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,785.760193,705.998169,137.903076,692.003357,1137.968506,365.842499,812.891479,726.128784,135.224014,682.666931,1058.236816,206.550507,782.716248,823.604065,141.150085,,,,2330.419189,-556.080322,-152.617096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,785.351990,707.479187,140.677139,691.930969,1139.612427,366.125793,812.155945,728.173035,138.367493,681.640503,1060.655273,206.893417,781.917847,825.469299,143.656052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,784.876221,709.633240,144.073837,691.902893,1141.350220,366.648315,812.109558,729.536011,141.445602,680.442810,1062.803711,207.377274,781.413452,827.513489,146.257767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,784.322083,711.416809,147.145645,691.733887,1143.116211,367.218292,811.395874,731.611145,144.549377,680.107727,1064.973022,207.982834,780.745972,829.057007,148.653641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,783.791443,713.223755,149.870468,691.588196,1144.828491,367.826263,810.689392,733.434082,147.374496,679.161743,1067.453125,208.648834,780.012207,831.181030,151.073517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,783.097412,715.095154,153.095520,691.117432,1146.616943,368.478210,810.276794,735.418030,150.158997,678.301453,1069.841919,208.696136,779.172424,832.801147,153.484848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,782.421936,717.475098,156.051666,691.029846,1148.370117,369.140747,809.430542,737.452637,153.086914,677.866272,1072.255737,208.993515,778.609802,835.184509,156.087006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,782.145386,719.541992,159.115265,690.876831,1150.244507,369.459137,808.677795,739.680054,156.499924,676.974304,1074.874878,209.341660,777.987549,836.997681,158.654922,,,,,,,2330.394775,-556.134033,-152.813980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,781.104614,721.550598,162.276810,690.908508,1152.048462,370.011688,808.092285,741.702576,159.313324,676.068054,1077.226929,209.968491,776.798279,839.313477,161.541748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,780.402771,723.622314,164.659698,690.684143,1153.970825,370.998260,807.243835,743.959961,162.111969,675.097656,1079.595703,210.920029,775.981384,841.520264,163.385910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,779.713684,725.956787,167.560272,690.194458,1155.932861,371.530609,806.716125,746.299500,165.285873,673.794983,1082.316040,211.453613,775.106873,843.551208,165.366028,,,,,,,,,,2330.403809,-556.128784,-152.779709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,778.841614,727.920105,170.628342,689.986023,1157.735352,371.816101,805.912903,748.527344,167.677139,673.180420,1084.984741,211.706970,774.608398,845.875122,168.180161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,777.760132,730.402344,173.390305,689.695068,1159.635742,372.192627,804.738220,750.449829,170.136353,672.263367,1087.459229,211.928146,773.647400,848.175110,170.549286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,777.001404,732.788818,175.866592,689.457214,1161.659302,372.996399,804.131104,753.437927,172.830719,671.391602,1090.096558,212.549637,772.500061,850.526428,172.725082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,776.196350,735.076355,178.758835,689.439819,1163.527344,374.257538,803.226563,755.461121,174.901154,670.454224,1092.586304,213.616486,771.378662,852.953796,174.677444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,775.232910,737.882996,181.323578,689.327026,1165.493042,374.822540,801.880798,757.538635,177.832489,669.384521,1095.433350,214.147141,770.143127,855.510864,177.048492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,774.361084,739.920776,183.257278,689.168274,1167.429810,375.199554,801.136292,760.406921,179.870163,668.761536,1098.188843,214.833786,769.347717,857.858154,178.967758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,773.006592,742.480286,185.896866,689.113159,1169.352905,375.875458,799.855103,762.683594,182.316788,667.261597,1100.938232,215.266083,768.503784,860.084290,181.267975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,771.992432,745.020691,188.136292,689.035645,1171.280151,377.049927,798.591431,765.264832,185.142548,666.429138,1103.455811,216.111374,767.377625,862.731201,183.516449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,770.940796,747.457397,190.479004,689.090027,1173.245361,378.069366,798.149719,767.638611,187.114960,665.450378,1106.323975,217.309402,766.337097,865.121216,185.608307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,769.415710,749.980042,193.004227,689.156250,1175.111206,378.872620,796.666382,769.953552,188.984573,664.247131,1109.266357,218.048309,765.057495,867.742065,187.598190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,768.672363,752.382751,195.074234,689.172546,1177.178955,379.699097,795.346008,772.856262,190.988464,663.601074,1112.316040,218.294617,763.802673,870.019470,189.622620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,767.230591,755.127319,197.119598,689.115540,1179.165771,380.148651,793.984253,775.278259,193.413589,662.879333,1115.251831,218.720444,762.499207,872.738831,191.254318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,765.721191,757.891235,198.995453,688.729553,1181.132080,381.195862,792.323303,777.981445,195.416916,662.244446,1118.002808,219.687302,761.056213,875.491516,193.132843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,764.107605,759.901611,200.930557,688.664734,1183.155640,381.982971,791.235657,780.522034,196.528824,661.281799,1120.847046,220.641373,759.678223,877.767395,194.841202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,762.318909,762.648438,203.126434,689.036743,1185.098511,382.741699,789.278687,782.625061,198.042191,660.548889,1123.820190,221.107010,758.188354,880.348511,196.499054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,760.988647,765.293701,204.295914,689.284546,1187.056274,383.279022,787.544922,785.676270,199.579147,659.925415,1126.990356,221.980057,756.603455,882.870483,197.825851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,758.859375,767.691406,206.224564,689.236206,1189.133911,383.911987,785.901245,787.838196,201.309128,658.803528,1130.027954,222.307327,755.180969,885.641785,199.545319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,756.880615,770.431030,207.677917,689.058716,1191.078369,385.128662,784.281433,790.045837,203.254807,657.977722,1133.047363,222.812241,753.394775,888.153931,200.664352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,755.243652,772.910522,209.095139,689.073181,1193.000366,386.090881,782.459839,792.540710,204.245987,656.823792,1136.030151,224.326904,751.816101,890.735901,201.817444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,753.235657,775.648743,210.780548,689.424133,1194.823120,386.797638,780.229431,795.071350,206.296753,655.826233,1138.974609,225.449768,750.355835,893.419067,203.261826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
