Präzision24
Date:,2025/04/16
Time:,10:47:31
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,828.225647,1090.125366,349.013885,794.911743,800.889709,143.506287,803.850891,700.377686,116.100533,774.742493,692.129700,111.486679,783.685791,1022.785889,230.288300
31,827.864136,1091.810181,350.102478,794.241394,802.542969,146.572861,803.409790,701.607788,119.469063,774.454895,692.994446,114.577209,783.653687,1024.799194,230.702347
32,827.989075,1093.697510,350.726685,793.925964,803.925171,148.771835,803.080627,702.487366,123.216576,774.096680,694.222961,117.681740,783.893311,1027.215454,231.151810
33,828.232910,1095.688599,350.711151,793.536987,805.702209,152.151291,802.829529,704.002930,126.590492,773.075378,695.941528,122.263985,783.612305,1029.657471,232.122375
34,828.406616,1097.635376,351.617676,792.756836,807.160889,154.768616,801.888672,705.666992,129.966217,772.590027,697.279663,124.915085,783.322144,1031.936401,232.796265
35,828.266357,1099.520630,352.352112,792.335449,809.247925,157.485733,801.632629,706.933594,133.616302,772.312378,698.836548,127.743782,782.885254,1034.393066,233.121704
36,828.252625,1101.283203,352.876068,791.840271,810.691711,160.591843,801.129761,708.444946,136.728760,770.817810,700.593384,131.738586,782.243469,1036.780762,234.174438
37,828.542908,1103.383423,353.291809,791.011719,812.894531,163.309494,800.289551,710.337097,139.904312,769.785706,702.396362,135.189651,781.815002,1039.265137,235.126694
38,828.396240,1105.254272,353.861816,790.383545,814.822998,166.044250,799.119812,712.979065,143.437714,769.401489,704.142700,138.693558,781.523193,1042.156494,235.775589
39,828.555908,1107.338989,355.087616,789.279785,816.709290,168.982498,798.432800,714.259705,146.937897,768.671265,706.145142,141.003784,781.557678,1045.216919,235.940460
40,828.760620,1109.274048,355.675446,788.631714,819.198059,171.828354,797.195007,716.279846,149.752060,767.515564,708.432007,144.339600,781.405396,1048.190186,236.467819
41,829.481689,1111.285767,355.667999,787.865784,821.352600,174.322189,796.806091,718.474060,152.886078,767.401001,710.011292,147.924728,780.922302,1050.705933,237.051880
42,829.880188,1113.717285,356.223724,787.120483,823.389038,177.044556,795.555115,720.376709,156.128677,766.080627,712.572998,150.917572,780.257263,1053.144287,238.194397
43,829.644836,1115.554321,356.640289,786.181885,826.059387,180.012238,794.432800,722.997009,159.736816,765.097107,714.684692,153.840881,779.678589,1056.093018,239.607010
