Präzision01162
Date:,2025/04/24
Time:,14:08:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,727.078979,887.593628,209.324844,708.540161,783.402893,163.713715,736.453857,796.233459,167.979172,,,,750.497986,1152.037231,474.458527,,,,710.813477,1155.984253,275.417145,,,,,,,,,,,,
42,724.378479,890.872559,209.912338,705.413391,786.660767,163.813889,733.435303,799.232788,168.413391,,,,750.398926,1153.780884,474.945984,,,,710.972595,1159.502563,275.615540,,,,,,,,,,,,
43,722.330872,893.725403,210.375427,702.663330,789.748169,163.319778,730.845642,802.559937,168.345001,,,,750.295715,1155.488403,475.678955,,,,710.308655,1162.559937,276.656006,,,,,,,,,,,,
44,719.731201,896.854309,210.751328,699.870361,793.193909,163.231369,727.866272,805.903198,168.244522,,,,750.450012,1157.204956,476.302856,,,,709.782837,1165.691772,277.644897,,,,,,,,,,,,
45,717.142029,899.852417,210.996796,697.739319,796.800110,162.330414,725.887390,808.911682,168.375946,,,,750.726440,1158.980347,476.941132,,,,710.053528,1168.412231,278.832916,,,,,,,,,,,,
46,714.696167,902.757996,211.545822,694.827515,800.185852,161.819000,723.104187,811.927307,167.777374,,,,751.127930,1160.653564,477.604431,,,,709.254089,1171.551270,279.940735,,,,,,,,,,,,
47,712.061646,905.575439,211.213989,691.996216,803.178284,161.811615,720.143677,815.287048,167.711990,,,,751.306580,1162.219971,478.250244,,,,709.103210,1174.555908,280.577454,,,,,,,,,,,,
48,709.910217,908.461548,211.411224,690.156738,806.163391,160.550507,717.634644,818.396545,166.802399,,,,751.419006,1163.781494,478.889771,,,,709.086853,1177.338867,281.357697,,,,,,,,,,,,
49,707.212769,911.339539,211.255753,687.447815,809.312683,159.839569,715.784058,820.967224,166.378922,,,,751.618469,1165.389160,479.446350,,,,708.602112,1179.997437,282.305603,,,,,,,,,,,,
50,704.951416,914.098267,211.461044,684.764282,812.694946,159.727570,712.956726,824.466431,166.162323,,,,751.919739,1166.961182,479.769470,,,,708.292175,1182.971924,282.775879,,,,,,,,,,,,
51,702.791199,917.212769,211.980896,682.439270,815.734863,159.649780,710.492004,828.222107,165.566498,,,,752.102173,1168.448486,480.236359,,,,708.621643,1185.760498,283.615082,,,,,,,,,,,,
52,700.664185,919.888611,211.406052,680.056641,818.953613,158.494293,708.362549,830.223694,164.975006,,,,752.239014,1169.895508,480.949585,,,,708.385315,1188.391113,284.423553,,,,,,,,,,,,
53,698.501831,922.674316,211.282822,678.020691,822.207397,158.062866,705.556091,833.325134,165.090683,,,,752.336914,1171.283081,481.750092,,,,707.909668,1190.841064,285.276001,,,,,,,,,,,,
54,696.662781,925.508850,211.352966,675.234131,825.069092,158.185577,703.568604,836.306946,164.689011,,,,752.490845,1172.657593,482.444489,,,,707.656128,1193.292358,286.312683,,,,,,,,,,,,
55,694.512085,928.189209,210.756790,673.125916,827.927246,156.901718,701.363525,838.952637,164.029602,,,,752.893616,1174.191772,482.943146,,,,707.654785,1195.936768,287.169708,,,,,,,,,,,,
56,692.561096,930.922302,211.049286,670.901733,830.891052,156.642853,698.632019,842.048340,163.779160,,,,753.579102,1175.427856,483.190460,,,,707.663757,1198.224487,287.741150,,,,,,,,,,,,
57,690.775635,933.537781,210.984161,668.100220,833.912170,157.218643,696.767822,844.692200,163.660660,,,,753.643738,1176.805664,483.632996,,,,707.815002,1200.409180,288.548187,,,,,,,,,,,,
58,689.181213,936.248352,210.414398,665.853394,836.906067,156.455627,694.703796,847.365540,162.846558,,,,753.679626,1178.007202,484.316589,,,,707.342468,1202.803467,289.460968,,,,,,,,,,,,
59,687.528687,938.654419,210.224670,664.475464,839.780334,155.707947,692.840576,850.337585,162.699509,,,,753.781616,1179.200439,485.044830,,,,707.383850,1204.976318,290.154297,,,,,,,,,,,,
60,686.222839,941.013977,210.380035,662.951172,842.460205,154.660385,690.924194,852.410400,162.814575,,,,754.070740,1180.529419,485.703674,,,,707.814941,1206.968628,290.584106,,,,,,,,,,,,
61,684.801880,943.891602,210.391052,661.136780,845.332520,154.165070,689.131470,855.280029,162.447571,,,,754.504639,1181.695068,486.064178,,,,708.072388,1209.233398,291.157227,,,,,,,,,,,,
62,683.036133,945.923523,210.298172,658.782532,847.882385,154.249100,687.584167,857.881042,161.547226,,,,754.854126,1182.692627,486.393982,,,,707.627258,1211.228149,292.176361,,,,,,,,,,,,
63,681.790955,948.482727,210.127304,657.474609,850.189819,153.213501,685.989563,860.171997,160.844101,,,,755.078674,1183.866455,487.133057,,,,707.356689,1213.357422,292.802795,,,,,,,,,,,,
64,679.915527,950.630920,209.485916,656.071960,852.733704,152.487381,684.315430,862.652954,160.493103,,,,755.337341,1184.890381,487.670654,,,,707.676025,1215.187378,293.362000,,,,,,,,,,,,
65,678.772034,952.674561,209.969421,655.005554,855.315308,151.817902,682.786987,864.843750,160.257172,,,,755.335449,1186.134399,487.909607,,,,707.850098,1216.994507,294.019165,,,,,,,,,,,,
66,677.399963,954.727722,209.704468,653.619324,857.387024,151.232483,681.521973,867.125488,159.701218,,,,755.607910,1187.283325,488.345520,,,,708.038635,1218.764526,294.694275,,,,,,,,,,,,
67,675.820618,956.887878,209.237244,652.889221,859.845459,150.521530,680.332031,869.395264,159.342529,,,,756.041321,1188.138306,488.650238,,,,708.207092,1220.241455,295.386963,,,,,,,,,,,,
68,674.689392,958.725830,208.940857,651.590149,861.845276,149.830780,679.515320,871.356384,159.227158,,,,,,,,,,708.538818,1221.912964,295.731445,,,,,,,,,,,,
69,673.479431,960.517761,208.711945,650.825439,864.175110,149.003326,677.976379,873.636169,158.465042,,,,,,,,,,708.615417,1223.713989,296.360870,755.998596,1190.165894,489.889832,,,,,,,,,
70,672.404114,962.495605,208.500580,649.799255,866.222778,148.338486,677.088196,875.338440,157.861328,,,,,,,,,,708.516418,1225.241577,296.967102,756.526245,1191.034180,490.398743,,,,,,,,,
71,671.598022,964.019897,208.083206,648.701782,868.176392,147.694473,676.706543,877.165466,157.277496,,,,,,,,,,708.411377,1226.571655,297.403900,756.734375,1191.761597,490.865967,,,,,,,,,
