Präzision01164
Date:,2025/04/23
Time:,11:22:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,800.403748,775.325378,100.473740,711.575562,1067.627441,453.697845,818.019897,696.057617,40.333958,,,,789.007751,676.749695,38.079491,,,,,,,,,,,,,,,,,,,,,
50,800.285034,775.407532,100.772255,711.580811,1068.019653,453.923553,817.911804,696.297546,40.608509,,,,787.651062,665.743225,46.269875,,,,,,,,,,,,,,,,,,,,,
51,800.330017,775.611328,101.085541,711.325867,1068.505981,454.345795,817.743164,696.485046,40.998264,,,,789.286804,665.134460,47.942902,,,,,,,,,,,,,,,,,,,,,
52,800.172058,775.644409,101.588531,711.232361,1069.089355,454.681305,817.635071,696.719482,41.433800,,,,788.488281,675.181641,42.087624,,,,,,,,,,,,,,,,,,,,,
53,800.057678,775.791687,102.259567,711.209839,1069.614014,455.218567,817.674683,697.003052,42.139660,,,,788.672241,678.625183,39.727924,,,,,,,,,,,,,,,,,,,,,
54,799.943115,776.139832,102.775070,711.198975,1070.278198,455.627197,817.398315,697.325073,42.740623,,,,788.735107,678.264832,40.463612,,,,,,,,,,,,,,,,,,,,,
55,800.138489,776.772461,103.122025,711.238586,1070.883057,456.055145,817.133667,697.773621,43.476753,,,,788.641968,677.583862,41.836327,,,,,,,729.869995,1038.917603,301.194183,,,,,,,,,,,,
56,799.832642,777.278992,103.870033,711.147644,1071.472778,456.283417,818.337280,697.308411,45.937328,,,,788.800293,677.768677,43.516773,,,,,,,729.179626,1039.724365,301.516083,,,,,,,,,,,,
57,799.490662,777.866760,104.680504,711.053040,1072.234863,456.566498,820.227722,696.521667,48.784111,,,,788.754089,678.212036,44.675240,,,,,,,728.617920,1040.676270,301.869415,,,,,,,,,,,,
58,799.205383,778.622925,105.462738,710.938110,1073.072388,456.961395,820.430542,696.405090,50.220142,,,,788.619385,678.698181,45.550652,,,,,,,727.974854,1041.529419,301.941162,,,,,,,,,,,,
59,799.453003,778.955872,106.931206,710.824036,1073.793335,457.555237,819.119629,696.959595,50.108059,,,,788.367554,678.983215,46.336899,,,,,,,,,,,,,,,,,,,,,
60,799.208130,779.417908,108.255386,710.676880,1074.723389,458.126770,818.412354,698.148315,51.199139,,,,788.449463,679.680847,47.958473,,,,,,,,,,726.994995,1043.854614,302.497742,,,,,,,,,
61,798.945496,780.102783,109.561195,710.501160,1075.700928,458.705383,818.408569,699.139404,52.570141,,,,787.985413,680.198792,50.455372,,,,,,,,,,726.361328,1045.083984,302.821960,,,,,,,,,
62,798.729553,781.026184,110.552429,710.293030,1076.678101,459.491699,818.857239,699.380981,54.912144,,,,787.681763,680.550476,51.911926,,,,,,,,,,725.737244,1046.590942,303.046173,,,,,,,,,
63,798.379211,782.367493,112.312546,710.056213,1077.905762,460.143433,818.487061,700.169434,56.905239,,,,788.063171,681.386658,53.516499,,,,,,,,,,724.761536,1048.175781,303.563599,,,,,,,,,
64,798.290344,783.263123,114.096954,709.876831,1078.944214,460.577118,818.824402,700.716980,59.492222,,,,788.439209,682.276001,55.369980,,,,,,,,,,724.436768,1049.843628,303.480865,,,,,,,,,
65,798.063354,783.832397,116.100563,709.477783,1080.248657,461.127869,818.361755,701.694214,61.300419,,,,788.324829,682.893616,57.663769,,,,,,,,,,723.896240,1051.884766,303.572205,,,,,,,,,
66,797.585388,785.189636,117.936905,709.055908,1081.510498,461.546387,817.615601,702.662048,63.190327,,,,787.803528,683.575806,59.843426,,,,,,,,,,,,,,,,,,,,,
67,797.310242,786.524902,119.734673,708.568054,1082.975464,462.298309,817.757385,703.085327,65.658089,,,,787.524780,684.448425,63.041939,,,,,,,,,,,,,721.841492,1055.880493,304.450775,,,,,,
68,797.091003,787.569458,121.767204,707.904602,1084.515381,463.342957,817.730408,704.598328,68.679382,,,,787.210266,685.513123,65.169281,,,,,,,,,,,,,720.476624,1058.064209,305.136200,,,,,,
69,796.951172,789.084961,124.115181,707.378113,1086.033325,463.828705,817.732971,705.883911,70.890579,,,,787.115845,687.141174,67.850510,,,,,,,,,,,,,,,,,,,,,
70,796.415894,790.668213,126.211044,706.796814,1087.709717,464.224243,817.577576,706.521729,74.048401,,,,786.646423,687.756409,71.098106,,,,,,,,,,,,,,,,718.842651,1062.917603,305.643188,,,
71,795.970398,792.377075,128.244980,706.268860,1089.622070,464.784058,817.133423,708.119934,76.578796,,,,786.200500,689.005676,73.752098,,,,,,,,,,,,,,,,717.493408,1065.446655,305.491821,,,
72,795.717468,794.079773,130.893219,705.668640,1091.583130,465.772034,816.271240,710.030212,78.648422,,,,786.276367,690.358398,76.698997,,,,,,,,,,,,,,,,716.466187,1067.933105,306.122742,,,
73,795.174438,795.667358,133.134354,705.077637,1093.520142,466.460236,816.541016,711.087891,81.878899,,,,786.148193,691.821411,79.313049,,,,,,,,,,,,,,,,,,,,,
74,794.465454,797.711060,135.630692,704.390076,1095.547241,466.914734,816.638184,712.786438,84.991676,,,,785.688049,693.623169,81.740486,,,,,,,,,,,,,,,,,,,714.031433,1073.432983,307.247437
75,793.880615,799.590881,138.120560,703.835571,1097.822388,467.812592,815.400574,714.910767,87.310867,,,,785.498413,695.145325,84.731354,,,,,,,,,,,,,,,,,,,712.451233,1076.335449,307.248779
76,793.443909,801.720764,140.682541,703.134949,1100.004761,468.460083,815.104431,716.700195,90.381424,,,,784.635986,697.441528,88.426979,,,,,,,,,,,,,,,,,,,711.328796,1079.189575,307.797424
77,792.790649,803.697449,142.912201,702.441711,1102.245972,468.899750,815.746216,717.898865,94.040115,,,,784.642883,699.025757,90.802444,,,,,,,,,,,,,,,,,,,709.637512,1082.124878,308.633942
78,791.548828,806.371399,145.431137,701.741211,1104.537231,469.992615,816.748962,720.241455,97.810661,,,,783.882996,701.096191,94.016708,,,,,,,,,,,,,,,,,,,708.226563,1085.375854,309.873077
79,791.352356,808.181641,148.205078,700.857178,1106.849609,470.921936,815.818054,722.206604,100.804268,,,,784.026123,703.363525,96.676086,,,,,,,,,,,,,,,,,,,706.422485,1088.699463,309.889404
80,790.548523,810.758362,150.680008,700.190674,1109.230713,471.556061,815.495117,724.639709,103.506821,,,,783.577637,705.484985,99.942345,,,,,,,,,,,,,,,,,,,705.257874,1091.837891,310.428864
81,789.416870,813.525574,153.294067,699.411804,1111.566162,472.634125,815.056641,727.117432,106.532776,,,,782.667664,707.886108,102.946770,,,,,,,,,,,,,,,,,,,703.851440,1095.081543,311.156860
82,788.526306,816.207764,155.504959,698.551697,1113.991455,473.828247,814.048279,729.800842,109.177711,,,,782.401184,710.473816,105.270454,,,,,,,,,,,,,,,,,,,702.187988,1098.549194,311.854248
83,787.534546,818.796265,158.115005,697.818787,1116.307617,474.716339,813.550415,731.856628,111.738274,,,,781.799011,712.951050,108.395485,,,,,,,,,,,,,,,,,,,700.884583,1102.133057,312.215973
84,786.672485,821.549133,160.614685,697.256042,1118.750244,475.598083,813.116211,734.562866,115.215996,,,,781.119080,715.617188,111.325500,,,,,,,,,,,,,,,,,,,698.930237,1105.639648,313.305115
85,785.715759,824.356201,163.464523,696.410400,1121.401001,476.781158,812.626831,738.496643,118.469223,,,,780.035095,718.410095,113.984749,,,,,,,,,,,,,,,,,,,697.288452,1109.029907,314.961639
86,784.806519,827.459717,165.838501,695.725586,1123.856201,477.775635,811.416382,740.861694,120.180992,,,,778.875427,720.950989,117.203438,,,,,,,,,,,,,,,,,,,696.065735,1112.669312,315.285919
87,783.341675,830.673157,167.723618,695.255676,1126.497437,478.430481,810.156555,743.182861,122.610062,,,,778.458496,723.975037,119.749832,,,,,,,,,,,,,,,,,,,694.752319,1116.481567,315.553345
88,782.009705,833.852783,170.070374,694.547791,1128.983276,479.554199,809.667908,746.366943,125.359077,,,,777.360352,726.953491,121.913841,,,,,,,,,,,,,,,,,,,693.380371,1120.115601,317.034821
89,780.617737,836.724182,172.255325,693.814819,1131.551880,480.703979,808.604980,750.126099,127.910622,,,,775.772705,730.148132,125.108429,,,,,,,,,,,,,,,,,,,691.378601,1123.743774,318.473114
90,779.544006,840.064453,174.568604,693.359070,1134.240112,481.631561,807.107971,753.580200,130.610687,,,,774.376221,733.286255,127.633072,,,,,,,,,,,,,,,,,,,689.910889,1127.561279,319.713898
91,778.436646,843.407043,176.979065,692.715576,1136.841797,482.638824,806.207581,756.239319,132.565033,,,,773.617126,736.491516,129.681152,,,,,,,,,,,,,,,,,,,688.823242,1131.392334,319.882416
92,776.867920,846.897339,179.141708,692.020203,1139.512939,483.955017,804.577637,759.479614,134.791672,,,,772.958252,739.954163,132.096695,,,,,,,,,,,,,,,,,,,687.627441,1135.233521,320.678711
93,775.521423,850.116638,181.027542,691.482422,1141.928467,485.504486,803.541504,762.731079,136.930481,,,,771.562317,743.214172,133.749741,,,,,,,,,,,,,,,,,,,686.304443,1138.944702,322.485992
94,773.767944,853.573425,183.278519,691.120972,1144.551758,486.409546,801.966797,766.476440,139.144577,,,,769.742859,746.655090,136.611511,,,,,,,,,,,,,,,,,,,684.704651,1142.710815,323.631592
95,772.358093,856.738098,184.964569,690.634766,1147.280029,487.298798,799.870972,769.809387,141.136017,,,,767.871460,750.020386,139.079559,,,,,,,,,,,,,,,,,,,683.437256,1146.558472,325.220367
96,770.709839,860.443359,186.910126,690.208130,1149.932007,488.729858,798.350281,772.915710,143.102951,,,,765.704590,753.347839,141.116455,,,,,,,,,,,,,,,,,,,682.036865,1150.554199,326.167938
97,768.950012,864.070007,188.828522,689.726685,1152.332642,489.730499,796.950623,776.558533,145.298080,,,,764.255676,756.774963,142.898697,,,,,,,,,,,,,,,,,,,680.806335,1154.450439,327.433502
98,767.251160,867.710938,190.421280,689.127625,1154.775879,491.126404,794.701233,779.931274,147.257263,,,,762.392212,760.201782,144.420517,,,,,,,,,,,,,,,,,,,679.656738,1158.195801,328.613861
99,765.483154,871.358826,192.145935,688.783813,1157.301514,492.661377,792.195374,783.192383,148.717422,,,,760.507935,763.945435,145.926590,,,,,,,,,,,,,,,,,,,678.419128,1161.874146,330.103485
100,763.567139,875.037354,193.848450,688.522522,1159.738159,493.660736,790.326233,786.731018,149.508316,,,,758.111206,767.553650,147.773056,,,,,,,,,,,,,,,,,,,677.368286,1165.685059,331.893433
101,761.664001,878.357605,194.821457,688.283936,1162.247803,494.354828,787.328247,790.578125,151.154266,,,,755.558655,771.109192,149.579391,,,,,,,,,,,,,,,,,,,676.311768,1169.903809,332.871216
102,759.503418,881.817871,196.658417,687.913391,1164.776001,495.686493,784.245728,793.671387,152.746750,,,,753.036377,774.679138,150.849838,,,,,,,,,,,,,,,,,,,675.725586,1173.524170,334.393829
103,757.449280,885.341187,198.415482,687.713196,1167.080078,496.569733,781.910583,796.709778,153.990295,,,,750.545532,778.249756,152.331238,,,,,,,,,,,,,,,,,,,674.598755,1177.227417,335.889954
104,755.460510,888.932312,199.747421,687.177429,1169.410767,498.161835,778.700256,800.491455,154.922455,,,,748.273743,781.708435,152.730972,,,,,,,,,,,,,,,,,,,673.711182,1181.250000,337.160522
