Präzision55
Date:,2025/04/22
Time:,15:47:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,706.368896,886.580627,183.849350,729.560120,983.734009,201.459045,,,,797.386902,1263.392944,376.413025,,,,,,,,,,,,,,,,,,,,,,,,,672.796997,886.383545,170.773529,,,,787.878967,1234.114136,220.148468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,704.084290,888.793091,182.007599,727.653748,985.870789,200.573456,,,,797.810059,1264.806030,376.796692,,,,,,,,,,,,,,,,,,,,,,,,,670.744751,888.845886,168.389893,,,,788.227722,1235.882324,220.228561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,701.589783,891.055298,180.255157,725.816223,987.835938,199.451813,,,,798.248108,1265.774536,377.339478,,,,,,,,,,,,,,,,,,,,,,,,,668.562561,891.185425,166.764908,,,,787.942017,1237.296509,220.402710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,699.280273,893.385498,178.687576,723.948120,989.389832,198.588776,,,,798.468323,1266.896851,377.760071,,,,,,,,,,,,,,,,,,,,,,,,,666.046570,893.693970,165.071106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,697.096008,895.158875,176.994720,722.391663,991.533569,197.313492,,,,798.767029,1267.837646,378.087006,,,,,,,,,,,,,,,,,,,,,,,,,664.248962,895.827942,163.312851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,694.733826,897.156738,175.219452,720.612915,992.978149,196.279465,,,,799.045044,1268.789673,378.642731,,,,,,,,,,,,,,,,,,,,,,,,,662.144043,898.119568,161.514099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,693.094727,899.009766,173.156937,719.097412,994.418640,194.889923,,,,799.576050,1269.622559,379.141479,,,,,,,,,,,,,,,,,,,,,,,,,660.058960,900.210876,159.187561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,691.225342,900.788269,171.670517,717.710083,996.116943,193.630020,,,,799.999756,1270.442505,379.500092,,,,,,,,,,,,,,,,,,,,,,,,,658.684387,902.139282,157.462692,,,,,,,787.639343,1243.449951,222.133347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,689.591125,902.348450,169.827042,716.525574,997.343933,192.846344,,,,800.266907,1271.361572,379.779449,,,,,,,,,,,,,,,,,,,,,,,,,660.601929,905.647827,152.232193,,,,,,,787.787842,1244.444702,222.134506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,688.348145,903.749390,168.299316,715.251160,998.292542,191.800568,,,,800.447815,1272.176758,379.927094,,,,,,,,,,,,,,,,,,,,,,,,,660.367737,908.547974,148.314117,,,,,,,787.819519,1245.527222,222.231796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
