Präzision01160
Date:,2025/04/24
Time:,13:16:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,795.796082,810.985046,146.666870,810.292542,706.567017,141.429550,785.187378,691.866333,134.980255,779.119080,1069.660156,164.608887,,,,788.144592,1140.535400,371.875122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,795.343933,813.305664,149.112488,809.983032,709.075867,144.584747,785.254333,694.209045,137.329544,778.996826,1072.213623,164.947540,,,,787.997803,1141.744141,371.995148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,794.790161,815.836609,152.457596,809.344910,711.351746,147.906265,784.582336,696.630127,140.917831,778.593933,1074.937988,164.824280,,,,787.826538,1143.008545,372.165558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,794.083496,818.211121,154.427094,808.303772,713.604797,151.446915,784.076538,698.852356,144.193710,778.262268,1077.322388,164.547195,,,,787.694214,1144.321289,372.310638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,793.401001,820.620789,156.147644,807.649292,716.470459,154.447372,782.927795,701.548218,147.778763,777.898865,1079.807739,164.631622,,,,787.884766,1145.508911,372.498413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,792.538696,823.437622,158.337692,806.988647,718.865173,157.363998,783.004822,704.407043,150.788330,777.471130,1082.495361,165.000336,,,,788.027954,1147.064819,372.645813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,792.065613,826.004761,160.866257,806.056396,721.279846,160.798035,782.239136,706.713501,153.753418,776.576233,1085.024170,165.154449,,,,788.266541,1148.346680,372.743317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,791.011780,828.325989,163.550873,805.338501,724.072205,163.884796,780.829773,709.204529,157.082199,776.006104,1087.544556,165.474869,,,,788.519165,1149.824829,372.718567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,790.366333,831.257324,165.731934,804.508179,726.562317,166.478806,780.298706,711.927612,160.109589,775.802612,1090.257202,165.811295,,,,788.656372,1151.291992,372.929840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,789.261047,833.873474,167.790939,803.421631,729.061829,169.591858,779.508301,714.623169,162.709869,775.568054,1092.828369,165.820435,,,,788.514709,1152.609497,373.245361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
