Präzision01162
Date:,2025/04/23
Time:,11:22:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
63,765.344421,813.302063,170.759369,673.156067,1115.763428,467.588196,,,,,,,799.469055,729.922852,131.763809,,,,775.447327,705.274841,128.571289,,,,,,,,,,,,,668.937195,1102.992310,307.475494,,,,,,,,,
64,764.075989,815.784180,173.117401,672.616455,1117.789063,468.741089,,,,,,,798.057800,732.084167,134.294571,,,,773.782837,707.561096,131.420242,,,,,,,,,,,,,667.492920,1105.699219,308.400208,,,,,,,,,
65,762.853455,818.040466,175.174103,672.062561,1119.654541,469.755707,,,,,,,796.564087,734.784180,136.163330,,,,772.662781,709.875793,133.334473,,,,,,,,,,,,,665.943298,1108.503052,309.287567,,,,,,,,,
66,761.408264,820.397339,177.368835,671.509399,1121.607788,470.937622,,,,,,,795.258606,736.699646,138.846817,,,,770.781189,712.044617,135.855499,,,,,,,,,,,,,664.558167,1111.289307,310.801971,,,,,,,,,
67,759.976135,823.155273,179.101715,671.159180,1123.502930,471.703186,,,,,,,793.802979,739.252747,140.979111,,,,769.762878,714.294189,137.590607,,,,,,,,,,,,,662.864014,1114.122803,311.879364,,,,,,,,,
68,758.097900,825.602722,181.204346,670.839417,1125.391968,472.704773,,,,,,,792.044800,741.666626,142.654297,,,,768.110962,716.817017,139.644348,,,,,,,,,,,,,661.871216,1116.981567,312.811157,,,,,,,,,
69,756.667053,827.927368,182.779373,670.432251,1127.382080,474.066589,,,,,,,790.370544,744.028992,144.540848,,,,766.228149,719.137024,142.015961,,,,,,,,,,,,,660.041016,1120.118774,314.035797,,,,,,,,,
70,754.776794,830.541870,184.498749,669.982239,1129.378662,475.208679,,,,,,,788.376953,746.682800,146.753082,,,,764.556458,721.764954,143.603516,,,,,,,,,,,,,658.803162,1123.022949,314.980133,,,,,,,,,
71,753.039795,833.075317,186.209991,669.635864,1131.178833,475.780457,,,,,,,786.838684,748.822266,148.428253,,,,762.797485,724.261414,145.821640,,,,,,,,,,,,,657.624023,1125.820068,315.868896,,,,,,,,,
72,751.516357,835.987610,187.949356,669.496704,1133.140381,476.701294,,,,,,,785.429077,751.561584,150.553650,,,,761.548279,726.771729,147.177963,,,,,,,,,,,,,656.511292,1128.841553,316.936737,,,,,,,,,
73,749.904175,838.516235,189.532791,669.082031,1135.167847,478.055939,,,,,,,783.786316,754.094727,152.304428,,,,759.675476,729.643677,149.005692,,,,,,,,,,,,,654.901733,1131.691040,318.313934,,,,,,,,,
74,,,,668.785400,1136.961060,479.099426,,,,,,,782.173157,756.759949,153.832840,,,,757.717651,732.359741,150.954239,,,,,,,,,,,,,653.733765,1134.471191,319.760529,,,,,,,,,
75,,,,668.336060,1138.834839,479.945129,,,,,,,780.209229,759.871826,155.000336,,,,756.306152,735.116760,152.173752,,,,,,,,,,,,,652.057556,1137.401489,321.212128,746.450256,844.175964,192.431702,,,,,,
76,,,,667.962952,1140.741943,481.134369,,,,,,,778.407593,762.642456,156.010193,,,,754.077881,737.833313,153.701080,,,,,,,,,,,,,651.441589,1140.439209,322.314209,744.581665,846.669189,193.660431,,,,,,
77,,,,667.515564,1142.596802,482.315582,,,,,,,776.424805,765.156921,157.528000,,,,751.764893,740.317871,155.082779,,,,,,,,,,,,,650.279846,1143.471924,323.181366,742.721619,849.721252,195.135727,,,,,,
78,,,,667.116943,1144.517212,483.302917,,,,,,,774.479553,768.404419,158.162292,,,,750.021301,743.522400,156.400772,,,,,,,,,,,,,649.552490,1146.502686,324.084442,741.288147,852.610474,196.120804,,,,,,
79,,,,666.955566,1146.415039,484.461182,,,,,,,772.556763,771.088989,159.414047,,,,747.963562,746.318787,157.575394,,,,,,,,,,,,,648.200073,1149.727051,325.662567,739.521179,855.486206,197.271759,,,,,,
80,,,,666.863831,1148.197388,485.449463,,,,,,,770.498535,773.513733,160.325256,,,,746.089905,748.895203,158.296280,,,,,,,,,,,,,647.498413,1152.553955,326.723083,737.607605,858.325867,198.121643,,,,,,
81,,,,666.541504,1150.271362,486.609802,,,,,,,768.518005,776.519348,162.001205,,,,744.290283,751.887756,159.350204,,,,,,,,,,,,,646.336670,1156.040649,327.838226,735.577698,861.472595,198.851822,,,,,,
82,,,,666.424133,1152.086060,487.918243,,,,,,,766.869263,779.287720,163.162720,,,,742.294067,754.953003,160.083374,,,,,,,,,,,,,645.419800,1158.861816,328.792603,734.023254,864.317017,200.345139,,,,,,
83,,,,666.243591,1154.013550,488.451874,,,,,,,764.870300,782.138794,163.966827,,,,739.588806,757.895447,161.193298,,,,,,,,,,,,,644.769104,1161.741577,330.153778,732.389709,867.110474,201.319443,,,,,,
84,,,,666.041321,1155.995361,489.138550,,,,,,,762.660461,785.426270,164.166916,,,,737.838684,761.019409,161.922562,,,,,,,,,,,,,643.693359,1164.879883,331.430298,730.339783,870.052063,202.048737,,,,,,
85,,,,665.702148,1157.752563,490.195526,,,,,,,760.495544,787.888672,165.071091,,,,735.429749,763.696167,162.592667,,,,,,,,,,,,,643.025879,1167.778076,332.711090,728.353760,873.024475,202.549530,,,,,,
86,,,,665.565979,1159.647095,491.446716,,,,,,,758.749268,790.529419,165.406372,,,,732.953430,766.475342,162.728180,,,,,,,,,,,,,641.987854,1170.875366,334.314514,726.480896,875.692383,203.264587,,,,,,
87,,,,665.763550,1161.607056,492.354645,,,,,,,756.220825,793.680237,165.910843,,,,731.124451,769.560181,163.683456,,,,,,,,,,,,,641.138000,1173.451172,335.984924,724.530212,878.795227,204.144348,,,,,,
88,,,,665.797180,1163.484741,493.362915,,,,,,,754.313782,796.765991,166.295700,,,,728.693237,772.682251,163.999542,,,,,,,,,,,,,640.777588,1176.451904,336.955505,722.751099,881.709290,204.666656,,,,,,
89,,,,665.348877,1165.386475,494.471924,,,,,,,751.880188,799.269165,167.070801,,,,726.192871,775.654480,164.518387,,,,,,,,,,,,,640.423828,1179.213745,338.364288,,,,,,,,,
90,,,,664.986877,1167.184204,495.412872,,,,,,,749.981384,802.249634,167.504166,,,,724.181641,778.405823,164.243805,,,,,,,,,,,,,639.579285,1182.361206,339.519073,,,,719.070251,887.829102,205.639420,,,
91,,,,665.233765,1168.741943,496.104279,,,,,,,747.545227,805.195068,167.989197,,,,721.883423,781.359009,164.737366,,,,,,,,,,,,,639.336609,1185.082275,340.855499,,,,717.636353,890.471191,206.126862,,,
92,,,,665.302429,1170.645630,497.238129,,,,,,,745.516357,807.773132,167.961060,,,,719.329407,784.565857,165.063614,,,,,,,,,,,,,638.830566,1188.003052,341.676270,,,,715.558777,893.237549,206.668533,,,
93,,,,665.172852,1172.802246,497.975250,,,,,,,743.370972,810.999268,167.914291,,,,717.327271,787.311096,165.182739,,,,,,,,,,,,,637.984985,1190.704590,343.221954,,,,713.532959,896.449646,206.654510,,,
94,,,,665.235718,1174.586548,498.820831,,,,,,,741.241211,813.741394,168.466797,,,,714.659058,790.279541,165.191422,,,,,,,,,,,,,637.704529,1193.569458,344.159454,,,,711.968750,899.131104,207.177734,,,
95,,,,665.127502,1176.315308,499.787048,,,,,,,739.380371,816.352051,168.052124,,,,712.290833,793.112549,165.593994,,,,,,,,,,,,,637.489624,1196.224976,345.305145,,,,709.897705,901.895203,207.596283,,,
96,,,,665.380127,1177.848755,500.531891,,,,,,,737.346008,819.556763,167.926956,,,,710.565918,796.066406,164.654037,,,,,,,,,,,,,637.169556,1199.251343,346.266266,,,,708.372803,904.898743,207.558807,,,
97,,,,665.324280,1179.573486,501.443176,,,,,,,734.882263,821.976257,168.197510,,,,708.300842,799.328430,164.496658,,,,,,,,,,,,,637.130127,1201.680054,347.456604,,,,706.582092,907.714905,207.257309,,,
98,,,,665.099976,1181.371338,502.415375,,,,,,,733.260742,824.749573,168.423492,,,,705.786133,802.262756,164.393921,,,,,,,,,,,,,636.852417,1204.423096,348.099976,,,,705.046753,910.338440,207.561508,,,
99,,,,665.258606,1182.975220,503.410339,,,,,,,730.810852,827.806702,168.206741,,,,704.097229,804.896790,163.842499,,,,,,,,,,,,,636.459839,1206.894287,349.719421,,,,703.253601,913.274658,207.658249,,,
100,,,,665.469238,1184.799805,503.967377,,,,,,,728.689331,830.187195,167.876755,,,,702.113647,807.740417,163.869904,,,,,,,,,,,,,636.160889,1209.649292,350.604462,,,,701.574463,915.975098,207.333618,,,
101,,,,665.706604,1186.245605,504.829773,,,,,,,726.564941,832.704041,167.459412,,,,698.975891,810.762634,164.456863,,,,,,,,,,,,,636.192200,1212.228027,351.711578,,,,700.242188,918.552612,207.651154,,,
102,,,,665.828735,1187.671875,505.715454,,,,,,,725.095215,835.951416,167.124756,,,,697.493835,813.405579,163.972412,,,,,,,,,,,,,635.981812,1214.541504,353.266205,,,,698.246277,921.695251,207.401154,,,
103,,,,665.700012,1189.242798,506.909851,,,,,,,722.699036,838.015503,167.318832,,,,695.505005,816.139282,162.884491,,,,,,,,,,,,,636.035522,1216.930176,353.836334,,,,696.845581,924.160217,207.672379,,,
104,,,,665.961914,1190.692871,507.623566,,,,,,,720.797729,840.888367,166.986832,,,,693.152222,818.991150,162.947891,,,,,,,,,,,,,635.827209,1219.268555,354.844971,,,,695.206970,926.662781,207.877487,,,
105,,,,666.330933,1192.311646,507.890900,,,,,,,719.142639,843.385315,166.445984,,,,691.477661,822.044556,162.300278,,,,,,,,,,,,,635.722961,1221.826416,355.906128,,,,693.466675,929.464294,207.027100,,,
106,,,,666.395386,1193.862305,508.239563,,,,,,,717.540649,846.237793,166.006653,,,,689.680725,824.695374,162.002548,,,,,,,,,,,,,635.971863,1224.183105,356.820892,,,,692.365417,931.816528,207.224030,,,
107,,,,666.390076,1195.317383,509.196136,,,,,,,715.577637,848.736145,166.050034,,,,687.690186,827.030029,161.556091,,,,,,,,,,,,,635.929749,1226.232666,358.039093,,,,690.851929,934.243469,207.273209,,,
108,,,,666.407776,1196.594238,510.265289,,,,,,,712.663269,850.640991,165.895325,,,,685.741699,829.834717,161.145126,,,,,,,,,,,,,635.910461,1228.369629,358.854706,,,,689.523315,936.959778,206.898041,,,
109,,,,666.772217,1198.086914,510.866913,,,,,,,711.799438,853.544312,165.226440,,,,683.885132,832.688416,160.689575,,,,,,,,,,,,,636.015808,1230.633667,359.503876,,,,688.251221,939.524292,206.917664,,,
110,,,,667.139771,1199.363403,511.157654,,,,,,,709.797607,855.694763,164.469986,,,,682.793884,835.073242,159.736389,,,,,,,,,,,,,636.082703,1232.693970,360.557892,,,,686.962036,941.426453,206.818268,,,
111,,,,667.581909,1200.769897,511.726654,,,,,,,708.067444,858.088318,163.812073,,,,681.150085,837.516968,159.074875,,,,,,,,,,,,,636.079407,1234.665771,361.555817,,,,685.871155,944.109558,206.441101,,,
112,,,,667.423157,1202.225586,512.428223,,,,,,,707.826355,860.383911,163.192963,,,,679.920532,840.101013,158.169632,,,,,,,,,,,,,636.344910,1236.542603,362.130585,,,,684.775879,946.285828,206.269455,,,
113,,,,667.411194,1203.441162,513.088440,,,,,,,706.099609,862.839233,162.900528,,,,678.300964,842.433716,157.666382,,,,,,,,,,,,,636.895142,1238.568359,362.896393,,,,683.625671,948.598755,205.816788,,,
114,,,,667.720642,1204.641724,513.598877,,,,,,,704.017029,864.908142,162.846527,,,,677.191895,844.712708,157.031601,,,,,,,,,,,,,636.772400,1240.497803,364.137085,,,,682.778931,950.739014,205.477921,,,
115,,,,668.112427,1205.731934,513.924133,,,,,,,702.926086,867.395752,162.067429,,,,675.186951,847.229553,156.909561,,,,,,,,,,,,,636.779968,1242.217041,364.745087,,,,681.917542,952.941711,205.189178,,,
116,,,,668.405762,1206.982178,514.516846,,,,,,,701.891968,869.489990,161.490814,,,,674.293152,849.143372,156.297729,,,,,,,,,,,,,637.041077,1244.036743,365.003723,,,,680.796570,954.994202,204.917282,,,
117,,,,668.481140,1208.195068,515.069580,,,,,,,700.387207,871.731934,160.628845,,,,672.742249,851.781677,155.711975,,,,,,,,,,,,,637.070923,1245.567261,365.787201,,,,680.039185,957.227478,204.710007,,,
118,,,,668.546021,1209.279663,515.469299,,,,,,,699.353638,873.616089,160.009354,,,,672.083984,853.743591,154.963867,,,,,,,,,,,,,636.996521,1247.287964,366.567078,,,,679.168518,959.082397,204.385345,,,
119,,,,668.673340,1210.299438,516.114441,,,,,,,699.501770,876.104736,159.784729,,,,670.817261,855.976135,154.563751,,,,,,,,,,,,,637.137817,1248.898926,367.244965,,,,678.386475,961.288513,203.978973,,,
120,,,,668.756897,1211.340454,516.595154,,,,,,,697.706543,877.692261,159.066147,,,,670.068237,858.097778,153.510483,,,,,,,,,,,,,637.387695,1250.397705,367.894897,,,,677.627747,962.924316,203.719894,,,
121,,,,668.984009,1212.329468,516.834412,,,,,,,696.477539,879.827454,158.166824,,,,669.156616,860.021423,153.184448,,,,,,,,,,,,,637.774841,1251.784180,368.431305,,,,676.930237,965.109436,202.961990,,,
122,,,,669.238464,1213.312744,517.169128,,,,,,,695.566711,881.386536,157.728073,,,,668.200989,862.075439,152.386658,,,,,,,,,,,,,638.072937,1253.270386,368.917969,,,,676.581116,966.712830,202.790833,,,
123,,,,669.526123,1214.290039,517.565247,,,,,,,694.832275,883.391907,156.837341,,,,667.190857,863.892029,151.646790,,,,,,,,,,,,,638.387146,1254.486084,369.469879,,,,675.778992,968.252075,202.475632,,,
