Präzision25
Date:,2025/04/16
Time:,10:59:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,803.416382,1056.638306,126.424706,816.748535,788.020386,86.998329,835.496582,693.945496,46.275272,890.275391,1030.592529,236.460129,806.177979,680.927429,43.991093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,803.362122,1056.561890,126.327942,816.802917,787.959900,86.880684,835.445557,693.961731,46.398773,890.243408,1030.595215,236.378647,806.133484,680.946167,43.955364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,803.281738,1056.534424,126.350121,816.851074,788.004883,86.919487,835.432800,693.837463,46.172787,890.295166,1030.576294,236.371704,806.139282,680.924438,44.008621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,803.110596,1056.540283,126.307114,816.809143,788.013123,86.912079,835.402649,693.882080,46.201126,890.322815,1030.502197,236.414505,806.165405,680.922913,44.014015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,802.817932,1056.532593,126.291542,816.764282,787.997131,86.920982,835.454163,693.969788,46.401947,890.327881,1030.474976,236.392212,806.177612,680.929443,43.999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,802.663208,1056.470093,126.447762,816.734558,787.988220,86.941238,835.376831,693.920349,46.327362,890.324219,1030.449707,236.397430,806.125977,680.949829,44.015614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,802.264954,1056.366211,126.547539,816.718262,788.084351,86.962555,835.384033,693.972229,46.508564,890.277466,1030.428223,236.467361,806.104309,680.921753,44.046612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,801.918762,1056.273682,126.754158,816.712708,788.109619,86.969246,835.329712,694.002319,46.513584,890.296814,1030.419434,236.544846,806.049988,680.926208,44.069019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,801.414978,1056.135742,126.902237,816.703796,788.194031,86.982071,835.354126,693.977600,46.817352,890.386230,1030.398438,236.547943,805.944092,680.924316,44.099979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,800.931396,1056.059937,126.979759,816.697754,788.212219,86.988396,835.269897,694.010620,47.064297,890.495239,1030.361206,236.674179,805.919983,681.003784,44.216011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,800.450928,1055.976440,127.259758,816.686646,788.296509,87.003593,835.152954,694.053223,47.191685,890.556763,1030.342896,236.709976,805.836243,680.985229,44.323307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,799.268860,1056.069458,127.822411,816.651489,788.409973,87.104584,834.965759,694.163025,47.283955,890.540161,1030.284790,236.904922,805.675964,680.972168,44.504238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,799.000000,1055.852661,128.286758,816.660828,788.543274,87.264885,834.842712,694.290649,47.466740,890.522827,1030.232544,237.165131,805.561279,681.035156,44.703373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,798.151123,1056.158447,129.074356,816.556335,788.747559,87.293785,834.780823,694.331421,47.773243,890.429565,1030.299561,237.459122,805.498169,681.128113,44.857838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,797.668884,1056.319336,129.726089,816.614441,788.997131,87.435410,834.763184,694.450684,48.125572,890.153992,1030.364990,237.747025,805.477722,681.260620,45.306087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,797.119934,1056.704102,130.046692,816.511902,789.290161,87.592445,834.640442,694.644226,48.537659,890.129456,1030.344238,238.094101,805.339417,681.395325,45.894772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,796.941528,1056.720581,130.223221,816.376770,789.707458,87.733383,834.395203,694.834229,49.147091,890.662170,1030.421021,237.876770,805.161316,681.588013,46.365944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,796.769409,1056.689575,130.380508,816.213440,790.019226,87.843758,833.913513,694.956848,50.042633,890.321533,1030.590210,238.387360,804.644104,681.768433,47.786846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,796.614746,1056.870239,130.951584,815.686890,790.395935,88.503685,833.287964,695.145020,51.264038,889.971802,1030.747681,239.168869,804.121765,682.050049,49.197800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,796.299133,1057.035156,131.149399,815.299683,790.810181,88.999130,832.799622,695.119751,52.165405,889.746948,1031.051025,240.004074,803.845642,682.509094,50.166389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
