Präzision01158
Date:,2025/04/24
Time:,16:13:32
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,703.131958,840.166382,222.302811,676.164429,836.474609,221.520020,832.869080,1169.189575,399.740601,729.517700,939.649536,207.720566,,,,801.637024,1168.069946,251.788254,,,,,,,,,
53,700.728516,843.016907,221.931808,674.240295,839.294983,220.553452,833.222351,1170.462158,400.375946,727.717651,942.397461,207.696762,,,,801.974670,1170.270020,251.824539,,,,,,,,,
54,698.673767,845.879028,221.301880,672.423157,842.027588,220.229004,833.471558,1171.744751,400.385529,725.884155,944.766785,208.017609,,,,801.957703,1172.666260,252.012863,,,,,,,,,
55,697.090515,848.527222,220.520355,670.101868,844.804504,219.629791,833.625610,1172.828613,400.396851,723.837219,947.561157,207.717850,,,,801.563599,1174.747559,252.341278,,,,,,,,,
56,694.677979,851.195313,220.265869,668.125610,847.276978,218.867554,833.682007,1174.039063,400.531982,722.252991,950.219482,207.195007,,,,801.644775,1176.861938,253.236206,,,,,,,,,
57,692.642029,853.797485,219.848450,666.216614,850.097717,218.467682,833.656189,1175.236206,400.982056,720.305054,952.931824,206.879150,,,,,,,,,,,,,,,
58,691.134277,856.321899,219.097488,664.387085,852.492554,217.839508,833.578613,1176.520020,401.484131,718.892883,955.337891,206.607498,,,,,,,801.276245,1180.787109,254.017838,,,,,,
59,689.528381,858.854797,218.473389,662.994629,855.158569,216.572678,833.589478,1177.683838,401.962891,716.860229,958.241455,206.326340,,,,,,,800.679749,1182.738159,254.672592,,,,,,
60,687.939575,861.197876,217.303162,661.015808,857.711548,216.152786,833.769653,1178.721924,402.203461,715.334412,960.526123,205.964218,,,,,,,800.627930,1184.380859,255.167694,,,,,,
61,686.009583,864.165466,216.233963,659.205688,860.273315,214.772247,834.152893,1179.642334,402.205475,713.564331,962.913696,205.444855,,,,,,,801.079163,1186.082153,255.579361,,,,,,
62,684.434021,866.235168,215.655777,657.700562,862.481018,214.100876,834.365417,1180.675903,402.285889,712.215942,965.426697,204.907211,,,,,,,800.580505,1188.022339,255.988510,,,,,,
63,682.784180,868.756042,214.438065,655.880371,865.244507,212.697540,,,,710.705872,967.625000,203.998245,,,,,,,800.126648,1190.151123,256.165375,,,,,,
64,681.223938,870.843994,213.257584,654.758667,867.263733,211.390869,,,,709.452881,969.613220,203.458344,,,,,,,800.399780,1191.624146,256.243927,834.518372,1182.467285,402.728699,,,
65,679.479431,873.225464,212.388123,652.832275,869.522095,210.671402,,,,707.570129,972.223328,202.503189,,,,,,,800.640747,1192.921143,256.115814,833.951965,1183.536499,403.385406,,,
66,678.228210,875.013489,211.534210,651.464783,871.386169,209.387390,,,,706.524719,973.904907,201.942505,,,,,,,800.255798,1194.840454,256.147827,833.597351,1184.562378,403.935028,,,
67,676.931152,877.214233,209.966599,650.339844,873.623840,208.035385,,,,705.008667,976.466187,200.920486,,,,,,,799.824097,1196.124878,256.569489,833.942078,1185.745117,403.964569,,,
68,675.941406,879.010437,208.116013,649.044189,875.495789,206.773911,,,,703.745056,978.277832,200.081940,,,,,,,800.021484,1197.454102,257.180695,834.295593,1186.689697,403.847229,,,
69,674.963623,881.249878,206.309982,648.040344,877.327881,205.075043,,,,702.125427,980.486023,199.066483,,,,,,,799.879517,1198.644653,257.579010,834.194702,1187.524902,404.066193,,,
70,673.800537,883.024536,204.899307,647.317810,878.944519,202.778809,,,,701.252258,982.202698,198.171692,,,,,,,799.685669,1199.813843,257.791016,834.263245,1188.359741,404.250336,,,
71,673.007568,884.531494,203.441391,646.376343,880.629883,200.980377,,,,699.697510,984.233521,197.074356,,,,,,,799.773438,1201.418823,257.728943,834.307922,1189.103271,404.399597,,,
72,671.552063,886.271240,202.192581,645.101501,882.071228,199.612335,,,,698.420105,985.958130,196.320023,,,,,,,799.840515,1202.682983,257.691559,834.664612,1189.502319,404.539612,,,
73,670.833740,888.017151,200.640671,644.294250,883.715332,198.199631,,,,697.103088,987.791504,195.113983,,,,,,,799.626465,1203.952515,257.972626,834.744934,1190.183472,404.471252,,,
74,670.131531,889.295166,199.447601,643.390991,885.147583,196.602448,,,,695.904785,989.375000,194.209274,,,,,,,799.373718,1205.347656,258.072083,834.704468,1190.996704,404.586945,,,
75,669.841858,891.189514,197.808167,643.597961,886.112671,194.363495,,,,694.312317,991.061035,193.385742,,,,,,,799.435425,1206.222534,257.908051,834.764038,1191.805542,404.956879,,,
76,669.209961,892.407837,196.039108,643.140076,887.523621,192.875854,,,,693.230774,992.810425,192.260834,,,,,,,799.190002,1207.407837,257.973480,835.005310,1192.369263,405.212585,,,
77,668.695923,893.674011,194.963913,642.456909,888.996643,191.623245,,,,692.102295,994.215881,191.363266,,,,,,,799.221802,1208.578613,258.336700,835.158081,1192.990234,405.330505,,,
78,668.247925,895.278992,193.568619,641.501587,890.061890,190.390717,,,,691.234192,995.935547,190.401535,,,,,,,799.157532,1209.720093,258.600525,835.110657,1193.598145,405.444885,,,
79,667.382324,896.670532,192.575272,640.708557,891.584961,189.234238,,,,690.561462,997.339722,189.165955,,,,,,,799.393982,1210.363037,258.461914,835.433960,1194.223145,405.475616,,,
80,666.655579,898.204224,191.272827,640.322754,892.895630,188.250549,,,,689.443298,998.805359,188.276001,,,,,,,799.343201,1211.200806,258.418091,835.492310,1194.829956,405.643433,,,
81,665.836487,899.539917,190.640640,640.113159,894.093811,186.527771,,,,688.907043,1000.348694,187.545441,,,,,,,799.371765,1212.306763,258.319092,835.397095,1195.440796,405.854767,,,
82,665.419128,900.704163,189.803452,640.100159,895.294800,185.019714,,,,688.374939,1001.497803,186.563797,,,,,,,799.224609,1213.329956,258.440552,835.490051,1196.102417,405.480591,,,
83,665.315063,902.107910,188.462891,639.832764,896.384155,183.806793,,,,687.764832,1002.540771,185.869019,,,,,,,799.136902,1214.022095,258.377258,835.645752,1196.675537,405.409271,,,
84,665.236633,903.165100,187.442474,639.087341,897.661865,182.970779,,,,687.216187,1003.952698,185.285995,,,,,,,798.941162,1214.877075,258.170258,835.568542,1197.163452,405.445068,,,
85,665.131653,904.239990,186.511032,638.571045,898.734741,182.178070,,,,686.999084,1005.038574,184.424545,,,,,,,798.880554,1215.903687,258.138672,835.203369,1197.746704,405.727905,,,
86,664.868347,905.426880,185.154602,638.902039,899.752991,180.667130,,,,686.402466,1006.058044,183.631012,,,,,,,798.815735,1216.796875,257.995483,835.080322,1198.301270,405.957916,,,
87,664.793030,906.413147,184.584442,639.112488,900.786255,179.615555,,,,685.626770,1007.039490,183.008667,,,,,,,798.787842,1217.512695,258.041199,835.111206,1198.884766,406.030762,,,
88,664.576965,907.285889,184.207214,639.347046,901.553223,178.626495,,,,685.209473,1007.979065,182.528458,,,,,,,798.359009,1218.044556,258.869232,835.363098,1199.374878,406.159088,,,
89,664.617126,907.963074,183.874084,639.343689,902.020447,177.800644,,,,684.959717,1008.966248,181.830292,,,,,,,798.765259,1218.693848,258.557953,835.327637,1199.891357,405.885681,,,
90,664.700500,908.911438,182.969681,639.210999,902.446472,177.737946,,,,684.570190,1009.761780,181.288879,,,,,,,799.448364,1219.248901,258.362305,835.390076,1200.333862,405.757782,,,
91,664.921997,909.776367,181.746033,639.320068,903.264404,176.503098,,,,684.515503,1010.607727,180.552612,,,,,,,799.696594,1219.807861,258.320679,835.467346,1200.770752,405.683960,,,
92,665.268188,910.265015,180.799149,639.502686,903.726135,175.930237,,,,684.325073,1011.387512,179.852798,,,,,,,799.732117,1220.399658,258.293427,835.598389,1201.271973,405.360626,,,
93,665.387512,910.737183,180.379654,640.076111,903.996948,174.898788,,,,684.279541,1012.074890,179.237228,,,,,,,799.770020,1220.984741,258.165985,835.777039,1201.677368,405.312042,,,
94,665.511047,911.245483,179.832809,640.579041,904.647034,174.178177,,,,684.164612,1012.716003,178.522903,,,,,,,800.258362,1221.368408,258.266388,836.115112,1201.981567,405.324066,,,
95,665.838623,911.648743,179.422577,640.889832,905.280640,172.955414,,,,684.350952,1012.931152,178.080673,,,,,,,800.452271,1221.598755,258.198334,836.275391,1202.417725,405.306122,,,
96,665.929443,912.229675,178.371750,641.403259,905.772461,171.823273,,,,684.295532,1013.441528,177.574585,,,,,,,800.175964,1221.916870,257.971008,836.226501,1202.821411,405.451813,,,
97,666.515015,912.730164,177.397537,641.453674,906.168945,171.576935,,,,684.310852,1013.903442,176.885315,,,,,,,800.097900,1222.273682,257.875763,836.253357,1203.120239,405.439819,,,
98,667.153870,913.092651,176.246475,641.696228,906.511719,170.932098,,,,684.479431,1014.236023,175.988586,,,,,,,800.198608,1222.574829,257.757690,836.365356,1203.431519,405.429810,,,
99,667.486206,913.344482,175.684448,641.705078,906.446777,170.496094,,,,684.289124,1014.661438,175.566864,,,,,,,800.337585,1222.847900,257.576202,836.326782,1203.848999,405.061249,,,
100,667.621704,913.488403,175.444778,642.394714,906.246521,169.678894,,,,684.051941,1015.063232,174.989410,,,,,,,800.385254,1223.093994,257.456177,836.502686,1203.849976,405.163483,,,
101,667.986206,913.667297,175.294785,642.814453,906.439209,169.162582,,,,684.227783,1015.375793,174.403503,,,,,,,800.534363,1223.463379,257.119263,836.510071,1203.973755,405.180206,,,
102,668.216553,913.902954,174.838089,642.965820,906.503174,168.927902,,,,684.453064,1015.671326,173.780457,,,,,,,800.497070,1223.733521,256.682281,836.610718,1204.147339,405.146179,,,
103,668.640320,914.287170,173.912491,643.021118,906.916382,168.061600,,,,684.757080,1015.938904,173.201401,,,,,,,800.925110,1223.859009,256.179657,836.790588,1204.411865,405.019897,,,
