Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z
104;606.603088;743.697876;180.374405;892.155212;837.498901;456.306732;563.744629;653.94989;149.472809;490.733795;700.415588;159.961594
105;602.945068;743.744995;179.782486;890.139709;836.320862;455.786194;559.652344;654.385193;148.490479;486.795502;701.251099;158.921555
106;599.775574;743.997681;178.576065;887.374756;835.072388;455.530548;555.660583;654.694153;147.908035;482.982483;702.362488;157.641891
107;596.351685;743.999634;177.481277;885.278198;833.853027;455.396057;552.375427;655.526672;146.167999;479.465851;703.054382;156.411087
108;592.808167;744.334595;176.587189;883.143616;832.416809;454.974915;548.330444;655.620605;145.242935;476.184631;703.761047;155.309174
109;589.628723;744.457764;175.711945;881.866943;830.581055;454.787994;545.175293;656.195984;143.830627;472.765381;704.619019;153.841278
110;586.413391;744.572021;174.725113;879.773499;829.463684;454.166351;541.296387;656.451477;143.352966;469.660034;705.188965;152.893494
111;583.260315;744.866089;173.749527;877.580017;828.315491;454.281952;537.975037;656.69165;142.173279;466.17511;705.981567;151.566254
112;580.787354;744.942688;172.90976;875.888123;827.08667;453.613892;534.498779;657.056641;141.223389;463.316589;706.707153;150.614258
113;577.742676;744.909302;172.148575;874.488831;825.942688;452.882446;531.223267;657.663452;139.749557;460.385712;707.510071;148.758057
114;575.056641;745.304199;170.879105;872.655823;824.630798;452.822845;528.136108;657.697327;138.568085;457.446106;708.317322;147.742676
115;572.636108;745.013367;169.962204;871.296814;823.351746;452.458191;525.317566;658.37085;136.585297;454.635498;709.158081;146.410416
116;569.585144;745.256409;168.990463;868.801758;822.578552;452.302979;522.657532;658.608215;135.082779;452.223907;709.709534;144.925415
117;567.657288;745.341003;167.766846;867.516479;821.423645;452.206329;519.803955;659.439697;133.791519;449.66922;710.434143;143.44725
118;565.468018;745.474915;166.498657;865.723572;820.237488;451.995544;517.142456;659.604187;133.115417;447.36496;710.824951;142.597321
119;562.648743;745.511047;165.633316;864.593323;819.307068;451.646027;514.963684;659.809631;131.470673;444.809601;711.389832;140.80098
120;561.210022;745.387817;164.514053;863.082153;818.319092;451.599579;512.191406;660.216309;130.297424;442.646149;712.025391;139.550903
121;558.927063;745.724121;163.638687;861.817078;817.013184;451.058624;510.413239;660.454224;128.677139;440.358337;712.484314;138.151611
122;556.617371;745.615112;162.670654;860.832886;816.217529;450.353485;508.379791;660.682495;126.911324;438.757538;712.961304;136.355087
123;555.277405;745.579773;161.651779;859.672058;815.139221;450.3078;506.211823;661.047119;125.961205;436.862518;713.433838;135.328384
124;553.311462;745.615417;160.515228;857.862915;814.240906;450.304138;504.089508;661.656799;124.451584;434.871948;713.90863;133.739212
125;551.266663;745.591919;159.855515;856.41333;813.564209;449.919312;502.464203;661.965271;122.892227;433.155334;714.254395;132.061981
126;549.697998;745.568359;158.827682;855.005188;812.759277;449.963226;500.471924;662.407959;121.664375;431.265411;714.74469;130.893311
127;548.410889;745.701721;157.667374;853.79541;811.695862;449.719391;498.741791;662.380981;119.888176;429.925171;714.972046;129.426117
128;546.696228;745.838135;156.713043;852.786011;810.892334;449.13623;497.674561;662.210144;118.721741;428.666901;715.115295;128.163071
129;544.984375;745.927673;155.57608;852.026428;809.729492;449.095886;496.209991;662.457581;117.429291;426.970764;715.605164;126.433517
130;543.47998;746.004272;154.972153;850.986206;808.855469;448.945648;494.97879;662.475342;116.279594;425.879791;715.782166;125.140495
131;543.250854;745.559448;153.578171;850.341553;807.952026;448.647247;493.229279;662.425598;115.155434;424.679443;715.949768;123.876457
132;542.204529;745.518494;152.265579;849.457947;807.128479;448.275635;492.051605;663.010376;113.318657;423.775757;716.198181;122.46315
133;541.039124;745.606018;151.282104;848.375732;806.328857;447.960236;491.193787;663.669861;111.335632;422.518036;716.337646;121.183701
134;539.736816;745.639221;150.667282;847.404175;805.725342;447.719116;490.3125;663.81842;110.338531;421.462036;716.501526;119.963547
135;538.862915;745.664795;149.579269;846.399292;805.033936;447.485565;489.243164;664.135864;109.221634;420.722107;716.803467;118.120171
136;537.938721;745.610352;148.931992;845.849792;804.221924;447.258575;488.901611;663.931091;107.814507;420.295715;716.843506;116.766319
137;537.440735;745.359741;147.853073;844.930237;803.528076;447.265045;488.59021;663.413513;106.037239;419.516937;716.953369;114.940475
138;536.884399;745.04718;146.571442;843.894592;803.04657;447.024475;487.981842;663.098389;105.421295;418.961914;716.849304;113.845245
139;536.51001;745.140015;145.291458;843.136047;802.540771;446.716431;487.120697;662.94397;104.673882;418.350189;716.937439;113.116768
140;535.937683;745.186523;144.413223;842.79248;801.762512;446.047211;486.186676;663.249939;102.997993;417.430969;716.965393;112.236412
141;535.255066;745.110107;143.585373;842.394531;801.125671;445.645538;485.713837;663.800354;101.649689;417.021637;716.793579;110.924103
142;534.513062;745.0755;143.197357;841.813904;800.587341;445.478027;485.675751;663.940918;100.476654;416.932678;716.806885;109.289383
143;533.947937;744.87207;142.347717;841.124207;800.021057;445.385651;485.241058;663.534912;98.834991;416.417694;716.721619;107.833565
144;533.612732;744.946777;141.148102;840.460938;799.626221;445.265869;485.235382;663.145935;97.974159;416.24588;716.502258;106.689476
145;533.534607;744.917542;140.087143;839.940491;799.086304;444.99884;485.16153;662.867004;97.32386;415.989136;716.298218;105.674812
146;533.297974;744.809875;139.163162;839.531921;798.542419;444.537048;485.474396;662.74408;96.373016;416.009369;716.121765;104.398575
147;533.073792;744.511108;138.37854;839.059326;798.181274;444.326294;485.158997;662.994751;94.454124;416.030762;715.868958;102.729973
148;532.790039;744.269958;137.614716;838.740173;797.688721;444.031921;484.99472;663.033508;93.018234;415.945404;715.615479;101.690163
149;532.687317;744.061523;136.665436;838.341187;797.341125;443.94104;484.933044;663.268311;91.928574;415.841309;715.361389;100.927299
150;532.701599;743.934082;135.810211;837.705017;796.97406;443.799164;484.995056;663.210144;91.381073;415.725433;715.269836;99.792
151;532.715332;743.919189;134.824722;837.513489;796.503479;443.402252;485.783295;665.432312;89.601158;415.919373;715.132324;98.570419
152;532.813599;743.767517;133.866028;837.298523;796.07019;443.063965;485.606476;668.240723;86.883598;416.34079;714.849854;97.377449
153;533.080627;743.54071;133.010086;836.975525;795.767151;442.734344;485.78067;669.966675;84.604782;416.528229;714.654602;96.247681
154;533.131287;743.300781;132.272812;836.354187;795.374268;442.534454;486.15329;670.125366;83.467415;416.42926;714.596069;95.420174
155;533.205994;743.240479;131.330231;836.682373;794.859436;441.998962;485.976135;669.504822;83.613419;416.433594;714.93335;95.171814
156;533.281738;743.557983;130.934921;836.673767;794.66394;441.596863;485.905121;664.564087;85.92321;416.512543;715.220215;94.988609
157;533.535034;743.949036;130.406738;836.620422;794.447327;441.331451;485.403839;662.088257;87.407822;416.439545;715.606689;94.385956
158;533.567078;743.980713;129.689423;836.494324;794.265564;441.037659;485.116333;662.045715;87.523514;416.515045;715.926697;93.793808
159;533.603943;743.980896;129.343475;836.23468;794.102234;440.629272;485.069458;662.495361;87.139587;416.558014;716.116699;93.097351
160;533.911194;743.942566;128.947876;835.602356;793.761169;440.766907;485.312286;662.434387;86.976166;416.703644;716.107361;92.930382
161;534.371094;743.812439;128.63353;836.16272;793.682129;439.901489;485.659119;661.890686;86.93615;416.812988;715.991211;93.031563
162;534.59137;743.632202;128.397064;836.470459;793.543457;439.390625;485.610748;661.539185;86.766617;416.83252;715.911743;93.391342
163;534.748108;743.408875;128.370529;836.494751;793.418091;439.181;485.595459;661.283081;86.80146;416.964844;715.784485;93.611282
164;534.779663;743.27948;128.313187;836.410522;793.455872;439.00592;485.596741;661.084473;86.75589;416.796295;715.543091;93.839821
165;534.920044;743.074707;128.206879;836.371155;793.541931;438.805023;485.553436;661.002502;86.7286;417.006653;715.546814;93.779556
166;535.009277;742.882996;128.129562;836.421021;793.598633;438.565094;485.476837;660.76825;86.803276;416.883301;715.429688;93.77018
167;535.052185;742.840515;128.032654;836.51178;793.530212;438.312225;485.491852;660.55426;86.800262;416.885956;715.39386;93.810287
168;535.083252;742.761536;128.023376;836.594116;793.663269;438.104218;485.273926;660.799255;86.562141;416.891266;715.406128;93.853226
169;535.211243;742.632202;127.90078;836.663452;793.701172;437.905182;485.2341;660.937439;86.330986;417.050262;715.368591;93.694237
170;535.308655;742.592529;127.782188;836.764832;793.678284;437.794769;485.218933;661.008179;86.197807;417.189423;715.369446;93.567123
