Weight21
Date:,2025/04/01
Time:,14:17:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,409.941132,684.713257,273.835602,128.815018,712.854431,321.658752,99.716301,821.677673,523.910767,,,,,,,,,,,,,,,,,,,503.442719,667.714600,205.323807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,405.523651,682.572266,273.936951,125.522652,714.298584,321.656891,98.529335,823.261536,524.321289,,,,,,,,,,,,,,,,,,,498.472626,664.786682,204.482681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,401.719330,680.696655,273.612610,121.677628,715.864014,322.358337,97.185081,825.108582,524.657166,,,,,,,,,,,,,,,,,,,494.270447,660.824341,204.844696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,397.240936,678.474670,273.605072,118.373215,717.344238,322.016937,96.020378,826.683960,524.679199,,,,,,,,,,,,,,,,,,,490.260162,656.859924,205.480667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,392.986176,676.247864,273.401642,114.560753,718.869446,322.537872,94.747093,828.540710,524.913147,,,,,,,,,,,,,,,,,,,486.003265,653.261658,205.753403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,388.187653,673.810547,273.169525,111.030876,720.331177,322.533142,93.335228,830.275085,525.105103,,,,,,,,,,,,,,,,,,,479.731140,650.285950,205.091202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,383.682861,671.796814,273.110443,107.243607,722.089417,322.833313,91.823227,831.753174,525.679871,,,,,,,,,,,,,,,,,,,475.371124,647.016479,204.474976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,379.306793,669.571289,272.885742,103.475250,723.638611,322.997284,90.345116,833.640015,526.023682,,,,,,,,,,,,,,,,,,,469.043884,644.006042,203.441147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,374.542603,667.326660,273.057220,99.252113,725.206604,323.874115,89.007980,835.205139,526.098572,,,,,,,,,,,,,,,,,,,464.023315,639.666626,203.885422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,369.684021,665.032593,272.603058,95.579689,726.903320,323.967255,87.591171,836.804077,526.065796,,,,,,,,,,,,,,,,,,,460.196320,635.028442,204.612961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,364.639465,662.786133,272.480286,91.918083,728.670166,324.076477,86.278412,838.734680,526.374634,,,,,,,,,,,,,,,,,,,455.822144,631.277588,204.716248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,359.707855,660.726807,271.883850,88.169456,730.236755,324.185516,84.722389,840.339050,526.777283,,,,,,,,,,,,,,,,,,,450.896729,627.120422,204.940979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,355.047058,658.531189,271.729950,84.320541,731.999451,324.344849,83.279480,841.879089,527.118652,,,,,,,,,,,,,,,,,,,444.247559,624.092773,203.482132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,349.927673,656.577698,270.983063,80.428436,733.708496,325.029724,81.659348,843.668823,527.726624,,,,,,,,,,,,,,,,,,,436.790924,622.023376,201.368378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,344.928619,654.291748,270.460388,76.636330,735.503662,325.176086,80.310692,845.117004,527.851807,,,,,,,,,,,,,,,,,,,430.599762,618.328247,200.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,339.689087,652.038940,270.244568,72.762337,737.157043,325.496002,78.846680,846.886780,527.852966,,,,,,,,,,,,,,,,,,,425.685822,613.955505,200.935760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,334.540588,649.869263,269.473358,68.900177,738.945374,326.047333,77.634087,848.434143,527.698181,,,,,,,,,,,,,,,,,,,420.059570,610.477295,200.009338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,329.262451,647.927856,269.222321,65.312218,740.656982,326.202576,76.312782,849.790955,527.898132,,,,,,,,,,,,,,,,,,,415.038391,606.730713,199.860840,411.493561,642.656616,207.306961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,324.170319,645.940918,268.596191,61.583382,742.483459,326.594299,74.801102,851.515991,528.038025,,,,,,,,,,,,,,,,,,,409.651154,603.317627,198.870651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,318.796814,643.826904,267.877441,57.990921,744.301819,326.873810,73.582329,852.841309,528.346619,,,,,,,,,,,,,,,,,,,403.374268,600.508118,197.689850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,313.685425,641.872253,267.190918,54.377728,746.073303,327.124329,72.150932,854.516724,528.225708,,,,,,,,,,,,,,,,,,,397.111847,596.652466,197.587601,,,,394.735321,633.313293,204.306519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,308.137146,639.858765,266.287537,50.818207,748.019592,327.539764,71.039772,855.829468,528.646240,,,,,,,,,,,,,,,,,,,391.045685,593.503601,196.751633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,302.888763,638.152527,265.898285,47.191368,749.761108,327.943542,69.712219,857.338013,528.454590,,,,,,,,,,,,,,,,,,,384.494232,590.441650,195.352875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,297.460907,636.162231,265.206909,43.844002,751.672546,327.902771,68.431847,858.666931,529.057129,,,,,,,,,,,,,,,,,,,377.493744,586.916809,194.514587,,,,,,,377.445496,623.409546,200.756821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,292.264923,634.366211,264.436432,40.539333,753.544067,328.077759,67.169609,859.953247,529.535522,,,,,,,,,,,,,,,,,,,371.109039,583.857056,194.049347,,,,,,,372.916718,620.429565,200.995956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,286.844940,632.334900,263.422485,36.977970,755.344604,328.700592,66.015106,861.242859,529.357483,,,,,,,,,,,,,,,,,,,364.718506,581.218323,192.112381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,281.442719,630.747559,262.786987,33.489315,757.237244,329.051727,65.347237,862.558289,529.280029,,,,,,,,,,,,,,,,,,,358.590942,577.629333,191.522415,,,,,,,,,,359.514587,614.328186,197.684174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,276.135590,628.931580,261.979584,30.545456,759.060364,329.332794,64.407272,863.627258,529.133850,,,,,,,,,,,,,,,,,,,351.538971,574.362427,190.889374,,,,,,,,,,356.154572,611.272095,198.405792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,270.722534,627.052429,261.290802,27.585884,760.963623,329.136414,63.259483,864.928894,529.064697,,,,,,,,,,,,,,,,,,,345.185364,571.831970,189.441132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,265.408783,625.325745,259.827393,24.412819,762.725708,329.803619,62.399715,865.756775,529.381348,,,,,,,,,,,,,,,,,,,337.833069,569.771423,187.844040,,,,,,,,,,,,,341.994934,604.203125,193.407913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,259.911957,623.645081,259.578857,21.001631,764.532776,330.800079,61.414524,866.840881,529.598328,,,,,,,,,,,,,,,,,,,331.572327,565.591553,187.487656,,,,,,,,,,,,,336.966949,602.187866,194.201904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,254.492325,621.956543,258.894562,18.110779,766.336182,330.875244,60.378197,867.841553,529.626648,,,,,,,,,,,,,,,,,,,324.693146,563.336914,185.744797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
