Weight37
Date:,2025/04/22
Time:,16:54:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,812.182739,741.675903,161.567383,706.967163,682.527039,125.506508,1011.692932,887.097534,473.303467,788.223938,647.559021,126.767769,,,,,,,,,,,,
89,809.802002,741.845276,162.067596,704.475891,682.381348,126.742584,1010.458008,886.585449,473.471436,785.471436,647.779968,127.683395,,,,,,,,,,,,
90,806.842407,741.767456,163.075989,701.641174,682.856018,127.012268,1009.558044,885.903015,473.248901,782.848572,649.217468,126.872917,,,,,,,,,,,,
91,804.296753,741.874390,163.735489,698.753113,682.654785,128.352158,1008.639893,885.404236,473.017395,779.671448,649.935913,127.297874,,,,,,,,,,,,
92,801.553467,741.731445,164.340576,696.052551,682.928040,129.006134,1006.286804,885.167603,473.403259,776.625549,649.272095,128.707428,,,,,,,,,,,,
93,798.635559,741.673279,164.962784,692.894714,683.201355,129.482727,1004.729370,884.614624,473.271759,773.640259,648.127808,129.921265,,,,,,,,,,,,
94,795.797791,741.713928,165.316757,689.945374,683.123413,130.801849,1003.623596,883.973877,473.172699,770.188354,647.349670,131.153641,,,,,,,,,,,,
95,792.790833,741.569397,165.847626,687.230103,683.316467,130.751419,1001.757141,883.449341,473.192047,767.353577,646.920044,132.047226,,,,,,,,,,,,
96,790.054688,741.671387,166.553680,683.518372,683.500427,132.020645,1000.268433,882.997925,472.852203,764.212158,647.087463,132.558868,,,,,,,,,,,,
97,786.602600,741.594177,167.264206,680.354431,683.433594,133.113541,998.869507,882.388733,473.100616,760.571777,647.524231,133.387833,,,,,,,,,,,,
98,783.296875,741.606079,168.392593,677.209595,683.785889,133.076157,997.262146,881.548645,472.949554,757.728821,648.649231,133.063049,,,,,,,,,,,,
99,780.098328,741.470642,168.470627,673.612976,683.824402,134.191315,996.003784,880.907898,472.584351,754.094360,648.877747,133.289658,,,,,,,,,,,,
