Weight60
Date:,2025/04/24
Time:,13:53:01
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,873.074341,725.089722,101.669067,759.511169,667.496643,105.698509,1034.432251,864.252014,134.219589,,,,,,,,,,,,,1064.287354,837.391602,295.869934,838.224060,628.788757,91.588058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,872.685913,725.021667,101.721016,759.813660,667.340698,105.580330,1033.870117,864.351746,134.043060,,,,,,,,,,,,,1063.355103,837.288696,296.014923,837.854248,628.665833,91.598892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,872.205750,724.953552,101.765923,759.986206,667.307922,105.615433,1033.303101,864.450378,133.978577,,,,,,,,,,,,,1062.367798,837.230652,296.278992,837.490662,628.753052,92.012291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,871.717468,724.942627,101.703773,759.954224,667.199951,105.816093,1032.249878,864.781250,134.529221,,,,,,,,,,,,,1061.704956,837.212158,296.170197,837.181824,628.743042,92.308510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,871.147705,724.924683,101.825645,759.743042,667.180481,106.024200,1031.197266,864.777832,134.884766,,,,,,,,,,,,,,,,836.819397,628.662659,92.465691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,870.895447,724.562500,102.165298,759.349915,667.092224,106.139122,1030.386353,865.006958,135.231430,,,,,,,,,,,,,,,,836.264771,629.580627,92.076477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,870.530701,724.332764,102.416473,758.884216,666.921936,106.224060,1029.557251,865.390503,135.098709,,,,,,,,,,,,,,,,835.866089,630.258301,92.130318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,870.033813,724.363770,102.687576,758.439331,666.798828,106.333015,1028.932617,865.649231,135.013489,,,,,,,,,,,,,,,,835.246704,630.909424,92.301208,1060.483765,837.239441,295.566162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,869.506653,724.387573,102.914139,757.996582,666.611633,106.519661,1028.109741,866.142273,135.478302,,,,,,,,,,,,,,,,,,,1059.813354,837.452820,295.659302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,869.168945,724.414795,102.990204,757.525269,666.491211,106.778885,1027.143799,866.257568,136.043045,,,,,,,,,,,,,,,,,,,1059.220947,837.528870,295.577118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,868.714539,724.517395,103.191681,757.093079,666.345154,107.241516,1026.281616,866.611206,136.166077,,,,,,,,,,,,,,,,,,,1058.408325,837.544556,295.510803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,868.472656,724.682617,103.702950,756.667969,666.263916,108.184258,1025.688354,866.849915,136.138199,,,,,,,,,,,,,,,,,,,1057.370483,837.616272,295.655090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,867.621643,724.995789,104.400192,756.036682,666.185608,109.670174,1024.508545,866.799805,136.581345,,,,,,,,,,,,,,,,,,,1056.272705,837.656128,295.907349,833.710999,629.386169,95.869171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,866.423035,725.174500,105.366348,755.440796,666.117981,110.870735,1023.192261,867.220093,137.033157,,,,,,,,,,,,,,,,,,,,,,833.072266,628.686890,96.557968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
