Weight34
Date:,2025/04/22
Time:,16:07:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,896.833008,722.677246,138.349625,849.086975,634.779236,114.420563,,,,1076.157959,843.779968,523.359314,1055.324829,804.427673,323.493866,764.743225,710.415283,115.986649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,896.651428,722.305847,138.109375,848.798340,634.558105,114.535042,,,,1075.945435,843.774109,523.322144,1055.000610,804.242554,323.451691,764.468872,710.066345,116.223427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,896.497925,722.015625,138.027908,848.538757,634.327271,114.571419,,,,1076.261353,843.666016,523.022583,1054.694946,804.068420,323.364777,764.139465,709.547668,116.703606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,896.173218,721.741943,137.769806,848.144592,634.042053,114.580231,,,,1075.884033,843.688782,522.742737,1054.457764,803.900085,323.346680,763.903259,709.178833,116.911072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,896.137451,721.449402,137.695892,847.949341,634.200745,114.794113,,,,1076.167603,843.478333,522.656860,1054.322144,803.730530,323.164429,763.620361,708.867249,116.863853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,895.995728,721.263306,137.775986,847.551392,633.681763,114.686432,,,,1075.943359,843.447021,522.665100,1054.164551,803.582642,322.991028,763.532410,708.395691,117.010956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,896.088623,721.304932,137.823364,847.281799,633.290344,114.523705,,,,1075.531128,843.379028,522.493591,1053.843750,803.442993,322.652069,763.404358,707.928589,116.950798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,895.975464,721.023682,137.706940,847.166321,633.108948,114.420074,,,,1074.790283,843.386414,522.473145,1053.579346,803.108887,322.167267,763.596375,707.563782,116.552414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,895.824402,720.647949,137.685455,847.053589,632.899170,114.222435,,,,1074.420166,843.263184,522.424866,1053.424316,802.865173,321.885284,762.970337,707.428467,116.585884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,895.584412,720.324036,137.792526,846.882385,632.633423,114.107613,,,,1074.013184,843.178345,522.355713,1053.335571,802.658386,321.813965,762.273376,707.097839,116.716431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
