Weight61
Date:,2025/04/24
Time:,14:49:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,1046.116821,716.111633,282.206238,881.976257,661.374634,129.052063,,,,790.949951,615.282776,112.332603,,,,,,,,,,1050.051758,702.091125,458.233246,,,,763.891174,698.633057,120.855766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1045.596558,717.312073,282.740173,880.254578,661.721863,130.186249,,,,789.418091,615.453613,113.903137,,,,,,,,,,1050.105835,701.998474,458.375122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1044.526489,718.371338,283.338562,878.618103,661.657410,131.347565,,,,787.623291,615.609375,115.369774,,,,,,,,,,1049.561035,702.170227,458.383301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1043.665283,718.734375,283.715424,877.012695,661.526550,132.490479,,,,786.041382,615.763367,116.859619,,,,,,,,,,1048.434814,702.539917,458.660034,,,,,,,758.879822,699.049866,126.102684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1043.036743,718.885620,283.688751,875.275330,662.053589,133.933105,,,,784.428162,616.009766,118.250694,,,,,,,,,,1047.466064,702.800964,458.845276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1042.623413,718.483521,283.893188,873.720215,662.262878,135.162903,,,,782.711304,616.487488,119.923325,,,,,,,,,,1046.542358,702.872253,458.813812,,,,,,,,,,755.765015,699.215149,128.612823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1040.871826,719.021301,284.388397,871.386780,662.237366,136.706589,,,,780.580017,616.540161,121.805695,,,,,,,,,,1045.726929,702.841064,458.914276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1039.575562,719.226501,284.672638,869.052124,662.508484,137.488998,,,,778.394958,616.753784,123.558212,,,,,,,,,,1045.007690,702.998413,458.829315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1038.275269,718.875305,284.822266,867.263123,662.385071,138.614517,,,,776.483398,616.876404,124.592537,,,,,,,,,,1044.255859,703.206055,458.824982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1036.280396,719.369324,285.213593,864.781860,663.026917,140.320648,,,,773.760315,616.997925,125.893982,,,,,,,,,,1043.260132,703.437805,458.999908,,,,,,,,,,,,,746.825928,699.731201,134.674118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
