Weight47
Date:,2025/04/22
Time:,17:36:27
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
56,871.813477,714.937134,94.036438,836.308044,620.260315,71.660233,990.126831,851.405579,225.100311,758.877380,675.155640,81.680183,1065.609497,862.243225,348.680359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,871.868225,714.948364,94.056496,836.317383,620.353455,71.594978,990.229797,851.550537,225.047852,758.811768,675.073792,81.831604,1065.591675,862.242676,348.607605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,871.799683,715.055420,94.092094,836.335144,620.370178,71.598465,990.309937,851.655823,225.017120,758.694336,675.164124,81.838882,1065.552002,862.323486,348.480713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,871.871948,715.147522,94.154213,836.334656,620.284790,71.634140,990.285461,851.770447,224.899292,758.596863,675.168091,81.966743,1065.525879,862.374207,348.431061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,871.911011,715.176208,94.170815,836.413574,620.258728,71.676659,990.380859,851.883911,224.831436,758.476807,675.205750,82.013458,1065.448486,862.385803,348.369141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,871.961060,715.170593,94.269226,836.523926,620.244263,71.711128,990.424316,851.985413,224.807312,758.368286,675.203918,82.198708,1065.396240,862.492920,348.355652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,871.934509,715.246704,94.282448,836.600403,620.293030,71.695160,990.332886,852.193970,224.790024,758.201355,675.308594,82.280266,1065.237549,862.642395,348.287964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,871.999573,715.266541,94.313774,836.656128,620.200806,71.650955,990.380249,852.319092,224.768051,757.879883,675.386963,82.364975,1065.160400,862.664856,348.242157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,872.000122,715.355164,94.270180,836.724426,620.203796,71.692703,990.398804,852.422668,224.630356,757.595215,675.510681,82.583122,1065.042236,862.765503,348.231995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,871.994141,715.375305,94.401329,836.809387,620.170898,72.030525,990.367188,852.539612,224.609268,757.390625,675.536377,82.812729,1064.981689,862.812256,348.229126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
