Weight61
Date:,2025/04/24
Time:,15:39:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
40,812.408142,727.107239,156.589981,702.343811,669.550842,145.206894,1049.321167,855.708923,446.594696,,,,779.442383,632.311096,134.892761,,,,,,,,,,,,,1002.749084,890.903992,266.265472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,808.441833,727.343079,158.101547,698.253357,670.000549,147.064163,1047.416382,855.737549,446.654480,,,,775.805786,632.542847,136.560242,,,,,,,,,,,,,1000.528076,890.680420,266.856506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,805.258850,727.508972,159.297394,694.719849,670.334900,148.496811,1045.548218,855.707153,446.438660,,,,771.968445,632.597961,137.658127,,,,,,,,,,,,,997.400513,890.776672,267.383636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,802.153503,727.374451,160.657425,690.566040,670.486877,150.709213,1044.212158,855.522278,446.410706,,,,767.829224,632.659485,138.802094,,,,,,,,,,,,,995.161682,890.721680,267.562012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,797.774841,727.565125,162.192551,686.432617,670.728149,152.522202,1042.174194,855.679993,446.324524,,,,763.794495,633.122925,140.245056,,,,,,,,,,,,,991.899414,890.866516,267.582123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,793.338745,727.879578,163.784409,682.383545,671.268616,153.871857,1040.200684,855.547302,446.116699,,,,759.624023,633.023926,141.924561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,789.775330,727.777161,164.813751,678.367310,672.171936,154.980621,1038.773438,855.408081,445.861786,,,,754.994751,633.462830,142.552612,,,,,,,,,,,,,,,,985.757813,890.553528,268.468842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,785.766357,727.983093,165.989868,673.937256,672.782654,156.361588,1036.697144,855.453613,446.024963,,,,750.729980,633.641968,143.675873,,,,,,,,,,,,,,,,983.400818,889.839966,268.749908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,781.464172,728.244080,167.602829,669.224609,673.060730,158.421906,1034.659912,855.366516,445.776154,,,,746.263550,633.621460,145.216232,,,,,,,,,,,,,,,,979.922791,890.139465,268.668182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,777.276489,728.383362,168.669434,664.641907,673.600403,160.042358,1032.909058,855.300415,445.718506,,,,741.523315,633.427612,147.091736,,,,,,,,,,,,,,,,976.325562,889.796753,269.376678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,773.010620,728.209106,169.634171,660.244141,674.363403,161.500992,1030.670532,855.195190,445.622711,,,,736.566895,633.127319,148.291824,,,,,,,,,,,,,,,,972.823303,889.641663,269.303741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,768.600708,728.496399,170.804001,655.860352,674.965393,162.573532,1028.624512,855.061768,445.281677,,,,731.686218,633.137024,149.051178,,,,,,,,,,,,,,,,969.698914,889.277588,269.213531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,764.232849,728.788269,171.047318,651.254028,675.703247,163.430359,1026.841553,854.974243,445.106537,,,,726.782837,633.001709,150.139740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,760.158936,728.559082,171.225479,646.788940,676.715027,163.983307,1024.445679,854.910278,445.034943,,,,721.916199,633.149109,151.670639,,,,,,,,,,,,,,,,,,,962.336182,888.844727,269.437317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,756.300720,728.572510,171.648926,642.357544,677.589478,164.806488,1022.780457,854.632996,444.965515,,,,716.800537,633.673645,151.972061,,,,,,,,,,,,,,,,,,,958.805481,888.266296,269.784973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,751.658325,728.874207,173.076050,637.642822,678.368591,165.899338,1020.472717,854.542480,444.501862,,,,711.562439,633.707703,152.952850,,,,,,,,,,,,,,,,,,,955.900879,887.768860,269.694855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,746.918640,729.020325,174.169739,632.679749,679.087952,166.940277,1018.299988,854.329407,444.532288,,,,706.389526,633.894775,153.787323,,,,,,,,,,,,,,,,,,,951.731934,887.791809,269.666718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,742.090088,728.936829,174.185974,627.445923,679.676758,168.352234,1016.131653,854.044067,444.247986,,,,701.529602,634.540283,153.807617,,,,,,,,,,,,,,,,,,,947.922241,887.226624,270.494293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,737.836060,728.659851,174.755630,622.241455,680.456787,169.749069,1013.607971,853.902466,443.866730,,,,696.121765,635.070435,154.274750,,,,,,,,,,,,,,,,,,,944.052795,886.653015,270.402191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,733.247986,728.891357,175.469421,617.420166,681.064270,170.533035,1011.488159,853.611633,444.112671,,,,690.851074,634.933716,155.623047,,,,,,,,,,,,,,,,,,,940.065796,886.400269,269.963715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,729.037964,729.407593,175.905869,612.744690,681.767578,171.309738,1008.995850,853.361328,443.442230,,,,685.397827,634.930481,156.417725,,,,,,,,,,,,,,,,,,,936.893250,885.474609,270.129456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,724.148499,729.885742,176.035767,608.003601,682.493652,171.747116,1006.557434,853.152527,443.587402,,,,680.208862,635.242310,156.474030,,,,,,,,,,,,,,,,,,,933.197632,884.820984,270.078766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,719.715454,729.776001,176.343597,603.138428,683.402893,171.812332,1004.256775,852.887939,442.855316,,,,675.428955,635.828735,155.912109,,,,,,,,,,,,,,,,,,,928.828186,884.443542,270.086975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,715.451416,729.677002,176.430099,598.349121,684.091492,172.272141,1001.812012,852.535400,442.806702,,,,670.260864,636.301392,155.971542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,710.841125,729.572510,176.218094,593.423828,684.776733,173.311584,999.438354,852.224487,442.777618,,,,664.916504,636.708984,156.417694,,,,,,,,,,,,,,,,,,,,,,920.856201,882.878967,271.040955,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,705.858521,730.022461,176.183090,588.452637,685.608704,173.055313,997.132996,851.717896,442.362579,,,,659.814697,637.021118,156.633957,,,,,,,,,,,,,,,,,,,,,,917.182556,882.089233,270.775146,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,701.067200,730.621155,176.527298,583.758911,686.352234,172.981049,994.482544,851.461243,442.334045,,,,654.799988,637.272461,156.249283,,,,,,,,,,,,,,,,,,,,,,913.289368,881.183594,270.624084,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,696.658691,730.542480,176.404877,578.983215,687.213257,172.779404,991.927551,851.036377,441.827362,,,,649.831055,637.637573,155.773972,,,,,,,,,,,,,,,,,,,,,,909.403931,880.531372,270.888824,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,692.192383,730.312378,175.745850,573.958252,687.881226,173.024353,989.594604,850.540710,441.612122,,,,644.747803,638.225220,155.302277,,,,,,,,,,,,,,,,,,,,,,905.971680,879.818604,270.634918,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,687.805786,730.485413,175.182816,569.237671,688.700806,172.919495,986.646484,850.314941,441.272217,,,,639.625183,639.150146,154.530792,,,,,,,,,,,,,,,,,,,,,,901.412476,879.440125,270.631958,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,682.845154,730.893372,175.531784,564.414673,689.502563,173.178329,984.221863,849.820129,440.990448,,,,634.699829,639.707581,153.846085,,,,,,,,,,,,,,,,,,,,,,897.438354,878.390930,271.089020,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,678.450378,730.862244,175.170929,559.761780,690.361816,173.286224,981.551270,849.437134,440.948090,,,,629.694153,640.147217,153.628082,,,,,,,,,,,,,,,,,,,,,,893.897827,877.280945,271.145569,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,674.374451,731.013611,174.198685,555.389526,691.297180,172.672989,979.198608,848.773560,440.520691,,,,624.492615,640.422058,153.107407,,,,,,,,,,,,,,,,,,,,,,889.487427,876.831421,271.253784,,,,,,,,,,,,,,,,,,,,,,,,,,,
