Weight59
Date:,2025/04/24
Time:,13:52:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,865.614441,716.881653,126.119331,751.523926,666.548767,133.080154,,,,,,,,,,,,,1051.427002,827.458679,304.748749,,,,,,,1024.020020,857.888916,146.500534,825.622253,623.970520,129.440933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,864.063110,716.828857,127.242058,749.994751,666.686707,134.926147,,,,,,,,,,,,,,,,,,,,,,1022.360046,858.021118,147.010559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,862.776917,717.169800,127.715073,748.128784,666.938904,136.880432,,,,,,,,,,,,,,,,,,,,,,1020.710022,858.921570,147.773468,,,,1049.296753,827.565247,304.772614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,860.098511,717.792786,129.908249,746.471313,666.740723,138.759933,,,,,,,,,,,,,,,,,,,,,,1018.793213,859.059814,147.796494,,,,1047.462402,827.532654,304.842346,820.532349,624.740112,136.036041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,857.922668,717.843262,131.588898,744.263550,666.819336,140.453384,,,,,,,,,,,,,,,,,,,,,,1017.140869,858.903381,147.667435,,,,1045.831299,827.688232,304.836060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,855.329285,718.656494,132.706146,742.188232,666.881897,142.505020,,,,,,,,,,,,,,,,,,,,,,1015.261963,859.174377,148.174469,,,,1044.557617,827.792725,304.697693,,,,817.125732,624.349426,140.330612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,854.044556,718.344177,134.205490,739.545227,666.785034,144.425323,,,,,,,,,,,,,,,,,,,,,,1013.185059,859.397278,148.666946,,,,1043.144897,827.667969,304.835724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,851.230164,719.153381,135.615128,737.365417,666.703003,146.091003,,,,,,,,,,,,,,,,,,,,,,1010.845642,860.171204,148.871689,,,,1041.182007,827.707214,304.832153,,,,,,,812.096191,624.975708,143.667297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,847.812622,719.345032,138.002335,734.624268,666.703613,147.668076,,,,,,,,,,,,,,,,,,,,,,1008.845520,860.036621,149.016220,,,,1039.543213,827.818542,304.837158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,845.493958,719.761780,138.758865,732.252991,666.899353,149.553741,,,,,,,,,,,,,,,,,,,,,,1006.155273,860.449036,149.449295,,,,1037.977417,827.823425,305.156433,,,,,,,,,,807.131470,625.427795,147.259888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,842.271301,720.012207,140.430450,729.264221,667.004883,151.156097,,,,,,,,,,,,,,,,,,,,,,1003.433533,860.778137,150.234894,,,,1036.044556,827.637085,305.095490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,839.712158,720.215149,142.052551,726.507385,667.162354,152.617477,,,,,,,,,,,,,,,,,,,,,,1000.451477,860.769165,151.018585,,,,1034.187622,827.877136,305.160156,,,,,,,,,,,,,801.007935,626.065796,150.591171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,836.462585,720.242493,143.407242,723.570313,667.276062,153.917984,,,,,,,,,,,,,,,,,,,,,,997.898682,861.009155,151.245987,,,,1032.878540,827.919067,305.146515,,,,,,,,,,,,,798.777344,626.650085,151.623688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,833.794495,720.311035,144.296524,720.448120,667.521057,155.412704,,,,,,,,,,,,,,,,,,,,,,994.732483,861.157959,151.903473,,,,1031.235596,827.855408,305.305481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,830.941345,720.437927,146.074265,717.118774,667.727905,157.458282,,,,,,,,,,,,,,,,,,,,,,992.008606,861.272095,151.966843,,,,1028.811279,828.054138,305.507111,,,,,,,,,,,,,,,,791.912720,627.260010,154.844803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,827.210632,720.548096,147.423096,713.885376,668.002747,159.461700,,,,,,,,,,,,,,,,,,,,,,988.894714,861.282349,152.482971,,,,1026.776001,827.898865,306.151855,,,,,,,,,,,,,,,,788.952576,626.049744,157.903107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,824.530396,720.635742,148.221970,710.405334,668.442444,160.814972,,,,,,,,,,,,,,,,,,,,,,985.253967,861.305054,153.256180,,,,1024.994263,828.169922,306.534576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,820.789795,720.900024,149.482224,706.902466,668.847107,162.529373,,,,,,,,,,,,,,,,,,,,,,982.592834,861.354553,153.339890,,,,1022.965332,828.157898,306.692322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,817.219299,720.631226,150.818771,703.197021,669.157898,163.700409,,,,,,,,,,,,,,,,,,,,,,979.109863,861.429443,153.596390,,,,1020.851746,828.228882,306.561188,,,,,,,,,,,,,,,,,,,777.767639,627.718506,161.238556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,813.987976,720.982483,151.268784,699.854980,669.357300,164.805817,,,,,,,,,,,,,,,,,,,,,,975.755310,861.553162,154.164658,,,,1018.938049,828.546997,307.321411,,,,,,,,,,,,,,,,,,,774.226074,627.148132,162.869370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,810.197327,721.426025,152.329117,696.296753,669.823486,166.086380,,,,,,,,,,,,,,,,,,,,,,972.619690,861.598572,153.976364,,,,1016.846680,828.384155,307.612854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,805.508301,721.653564,154.058868,692.236145,670.007019,167.435669,,,,,,,,,,,,,,,,,,,,,,969.055725,861.485596,154.561295,,,,1014.721863,828.510681,307.558228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,801.681091,721.988953,154.644470,688.078247,670.217529,168.772903,,,,,,,,,,,,,,,,,,,,,,964.877441,861.477356,155.321381,,,,1012.788391,828.545715,308.049225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,798.257690,722.141907,155.797729,683.932800,670.548096,169.952087,,,,,,,,,,,,,,,,,,,,,,961.677185,861.627014,155.605713,,,,1010.621460,828.559448,308.327118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,793.746033,722.660767,156.504669,679.980652,670.810974,170.903625,,,,,,,,,,,,,,,,,,,,,,958.348267,861.390808,155.764877,,,,1008.282104,828.773987,308.398071,,,,,,,,,,,,,,,,,,,,,,754.744873,629.982361,168.690598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,789.190063,723.141846,157.239578,676.038757,670.868591,171.905579,,,,,,,,,,,,,,,,,,,,,,954.146606,861.336914,156.414383,,,,1006.066528,828.587402,309.034149,,,,,,,,,,,,,,,,,,,,,,751.022949,629.031494,169.973389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,785.453857,723.306213,157.700256,671.791321,671.094116,172.701019,,,,,,,,,,,,,,,,,,,,,,950.031433,861.138306,157.258316,,,,1003.752625,828.746277,309.284821,,,,,,,,,,,,,,,,,,,,,,746.944397,628.446411,171.661499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,781.113342,723.656311,158.511810,667.381775,671.362854,173.513779,,,,,,,,,,,,,,,,,,,,,,946.303894,861.453308,157.458679,,,,1001.201843,828.676514,309.486053,,,,,,,,,,,,,,,,,,,,,,742.648926,628.259155,172.712112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,776.503662,723.943298,158.927017,662.891785,671.626099,174.282486,,,,,,,,,,,,,,,,,,,,,,942.722168,861.343201,157.254456,,,,999.305481,828.692078,309.921600,,,,,,,,,,,,,,,,,,,,,,738.317749,628.787903,173.218704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,772.119995,724.041260,159.279526,658.351929,672.068176,174.638702,,,,,,,,,,,,,,,,,,,,,,939.136963,860.994080,157.635345,,,,997.016052,829.033325,309.484406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,768.087646,724.139221,159.501663,654.470703,672.238281,175.069656,,,,,,,,,,,,,,,,,,,,,,934.648193,860.749023,157.901459,,,,994.592651,828.818787,309.911591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,763.964783,724.183533,159.703308,650.142761,672.648071,175.301483,,,,,,,,,,,,,,,,,,,,,,929.346741,860.288208,158.973831,,,,991.996826,828.877441,310.702850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,759.295105,724.428406,160.536896,645.613098,672.958313,175.723068,,,,,,,,,,,,,,,,,,,,,,925.097595,859.842102,160.053024,,,,989.294006,828.878174,310.852356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,754.098877,724.661743,160.766617,640.793762,673.256531,176.398651,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.022400,829.035095,311.280243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,749.456909,724.670959,160.716461,636.051636,673.551697,176.971512,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.621216,829.072388,311.518158,,,,,,,,,,,,,,,,,,,,,,,,,916.677368,859.445801,161.029190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,745.440063,724.609314,161.204773,631.280029,673.948059,177.630814,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.953674,829.089417,311.873810,,,,,,,,,,,,,,,,,,,,,,,,,912.679810,859.017883,161.462967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
