Weight63
Date:,2025/04/23
Time:,12:59:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,763.587402,681.619690,111.727608,876.305054,700.619324,95.965424,825.301514,621.640991,110.181572,1079.706421,808.030579,211.170578,1094.646606,792.007202,303.745483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,763.558533,681.658630,111.784531,876.276489,700.640015,95.918747,825.439636,621.204529,109.693237,1079.708984,807.982117,211.163376,1094.715576,792.000610,303.715912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,763.613098,681.664795,111.796089,876.289490,700.557373,95.949379,825.500366,620.795349,109.675072,1079.826904,807.961243,211.162506,1094.666016,791.964111,303.734924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,763.586548,681.677002,111.852829,876.270752,700.536255,95.917854,825.331726,621.050232,110.289894,1079.920166,807.952576,211.236572,1094.644043,791.906799,303.736389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,763.559692,681.629395,111.714417,876.300720,700.553772,95.931770,825.419556,620.749146,110.057602,1079.901001,807.960693,211.209885,1094.699097,791.841553,303.803040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,763.562988,681.659851,111.769981,876.310364,700.562927,95.940086,825.328430,621.013062,110.281441,1079.883911,807.963440,211.193771,1094.665649,791.846558,303.743866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,763.617981,681.670776,111.907837,876.310608,700.546387,95.906944,825.262695,621.318604,110.306168,1079.878906,808.014709,211.200684,1094.623047,791.844666,303.723022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,763.595398,681.661743,111.890480,876.173645,700.536926,96.078392,825.247009,621.552795,110.235245,1079.918823,808.042114,211.244965,1094.679443,791.838684,303.668396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,763.615051,681.666443,111.916138,876.275879,700.461792,96.035522,825.231750,621.614319,110.126450,1079.949951,808.099670,211.279129,1094.633545,791.789063,303.710266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,763.632690,681.669128,111.916573,876.253601,700.489014,96.232140,825.246948,621.636597,110.142906,1079.932129,808.133118,211.266006,1094.616577,791.783142,303.724945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,763.637146,681.669373,111.910797,876.308594,700.456909,96.185608,825.257202,621.600952,110.183983,1079.919312,808.184448,211.381302,1094.624512,791.778809,303.749573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
