Weight63
Date:,2025/04/28
Time:,14:04:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
77,865.671753,678.133606,181.324387,1076.654907,774.575256,429.905273,1042.216675,852.606079,259.094025,,,,,,,744.941162,638.820618,149.595535,803.584534,613.524231,124.628944
78,863.545227,678.543396,182.915726,1075.603149,774.697876,429.742889,1040.641724,852.916260,259.512756,,,,,,,742.805725,639.651672,150.829788,801.184814,614.086243,126.546051
79,861.174133,679.009827,184.287750,1074.455078,774.869446,429.657806,1039.365845,853.118408,259.677643,,,,,,,740.352295,640.326904,152.510483,798.671936,614.645752,128.383286
80,858.686401,679.501343,185.756470,1073.027222,774.905396,429.579834,1037.086426,853.298218,260.317932,,,,,,,737.754456,641.226685,154.183365,796.094849,615.097900,130.056870
81,855.751831,680.261414,187.076614,1071.689209,774.913391,429.505829,1035.234741,853.766113,260.438660,,,,,,,734.959839,641.909790,155.699860,793.187500,615.664917,132.179077
82,852.999878,680.866638,188.324341,1071.089355,774.914429,429.492645,1032.750488,854.020264,260.933533,,,,,,,732.042664,642.491150,157.225388,790.034912,616.335083,133.967804
83,850.037842,681.629456,190.155792,1069.699585,775.146240,429.419739,1030.928833,854.137939,261.200562,,,,,,,728.593750,643.102234,159.796753,786.656006,616.675537,136.054779
84,846.666321,682.159790,191.631454,1068.150024,775.137451,429.549591,1027.917114,854.447144,261.641754,,,,,,,725.007568,643.782532,162.051743,783.407593,617.213013,137.684677
85,843.433838,682.643555,192.815552,1066.638184,775.015930,429.493225,1025.825439,854.706848,261.880310,,,,,,,721.595032,644.459595,163.827545,779.590942,617.786011,139.450485
86,839.934875,682.957092,193.949844,1065.704102,774.962708,429.504089,1022.584534,854.699890,262.239624,,,,,,,718.016541,644.990479,165.523453,775.487183,618.300232,141.668106
87,836.186340,683.132813,196.408493,1063.760254,775.240479,429.606201,1019.876282,855.157104,262.637238,,,,,,,714.218201,645.570862,167.582794,771.377625,618.607300,143.495865
