;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;892.182495;681.858093;106.827644;1048.201660;774.170105;200.306015;1082.163940;746.289795;364.011322;817.997742;612.951538;104.443695;769.877502;688.706055;119.112793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;892.145630;681.874817;106.893112;1048.062988;774.195557;200.360443;1082.141846;746.303650;364.024078;817.894714;612.880920;104.443542;769.919434;688.700989;119.113892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;892.246765;681.737488;106.764572;1047.821045;774.349548;200.283508;1082.049316;746.404053;363.974518;817.844604;612.889038;104.419495;769.987000;688.671326;119.024078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;892.173218;681.757629;106.789703;1047.612793;774.484619;200.247589;1081.903076;746.440002;363.940857;817.840759;612.924927;104.335060;769.978943;688.689392;119.048195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;892.109253;681.784363;106.849098;1047.498169;774.541687;200.185501;1081.961060;746.417419;363.999084;817.813782;613.050476;104.316208;769.993408;688.672058;119.013550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;892.060547;681.784119;106.867668;1047.181396;774.665161;200.126282;1081.838745;746.477173;363.888550;817.791504;613.169067;104.283501;769.965454;688.691650;119.062904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;892.160095;681.715576;106.926888;1046.865356;774.786072;199.965469;1081.733398;746.475830;363.855255;817.779480;613.245056;104.245041;769.911377;688.698547;119.181992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;892.234497;681.651367;106.946098;1046.839355;774.813599;199.914597;1081.656128;746.527893;363.917603;817.773499;613.298706;104.275955;769.953857;688.698853;119.208786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;892.205566;681.689270;106.920891;1046.823120;774.897888;199.915771;1081.382935;746.632446;363.891327;817.749329;613.331360;104.286377;770.037354;688.634155;119.255157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;892.326965;681.506470;107.152374;1046.752686;775.011475;199.906937;1081.171997;746.666443;363.912476;817.621826;613.437012;104.298294;770.045776;688.628113;119.284233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;892.302856;681.529907;107.310791;1046.671509;775.158752;199.926895;1080.975464;746.677490;363.844147;817.739502;613.797058;103.972076;770.027649;688.636047;119.294746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;892.370667;681.387329;107.493561;1046.581909;775.377808;199.909775;1080.773315;746.832336;363.537964;817.566956;614.095032;104.033112;770.104736;688.621460;119.325401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;892.434387;681.317383;107.527107;1046.490967;775.588379;199.953293;1080.568970;746.926025;363.510986;817.498596;614.114868;104.118301;770.156128;688.637573;119.300461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;892.654175;681.266907;107.433182;1046.281128;775.888123;199.912460;1080.397583;746.954834;363.525757;817.516968;613.979126;104.305878;770.653931;688.541443;119.428955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;892.794861;681.275452;107.646385;1046.094360;776.147034;199.793518;1080.278076;747.095947;363.544067;817.516968;613.819153;104.444565;770.573120;688.585754;119.402275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;893.508179;681.580139;107.223389;1046.040039;776.391357;199.693268;1080.128174;747.219482;363.552002;817.527100;613.716614;104.565353;770.539490;688.575806;119.436829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;893.288879;681.291504;107.387268;1046.067261;776.672363;199.762360;1079.935181;747.347046;363.550171;817.508118;613.738647;104.697289;770.567200;688.551025;119.558510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;893.103821;681.182800;107.866501;1045.131958;777.030334;199.999664;1079.741211;747.452759;363.502411;817.476196;613.791260;104.749413;770.625305;688.540466;119.603867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;893.050720;681.172058;108.178734;1045.599365;776.852112;199.510590;1079.595947;747.570862;363.498535;817.418213;614.003845;104.830406;770.679993;688.519958;119.690216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;893.153748;681.141846;108.315956;1045.925537;776.899048;198.969833;1079.310913;747.818176;363.524597;817.651367;614.043945;105.289856;770.732422;688.371765;119.641602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;893.336670;681.122742;108.456009;1046.427124;776.669800;198.696609;1079.139771;748.115295;363.472412;817.902283;613.734009;105.733704;770.866089;688.327026;119.632195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;893.540222;681.079956;108.569412;1046.683594;776.806213;198.293701;1078.797974;748.195190;363.478912;817.944092;613.453674;106.130371;770.791748;688.308350;119.835258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
