Weight64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:15:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;878.847473;719.970886;123.425224;832.822937;627.330933;101.070999;1076.828125;873.038696;199.488968;;;;758.517761;677.191345;103.097496;;;;1107.548096;840.728516;411.169739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;878.865906;720.041260;123.760384;832.863220;627.216064;101.216789;1076.741333;873.392761;199.529144;;;;758.554382;677.196594;103.142372;;;;1106.892212;840.812317;411.147003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;878.936035;720.064514;123.955917;832.837463;627.078552;101.239105;1076.672974;873.773315;199.636948;;;;758.620239;677.320557;103.403915;;;;1106.597046;840.873718;411.174927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;879.112305;720.009827;124.150146;832.940613;627.033569;101.210457;1076.719727;874.169434;199.715210;;;;758.788513;677.476196;103.880089;;;;1106.392944;840.902649;411.213470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;879.287842;719.982544;124.254028;832.963501;627.124390;101.335289;1076.415161;874.825989;200.184525;;;;758.790344;677.570190;104.179161;;;;1106.163574;840.913940;411.166382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;879.458740;719.959473;124.577614;833.044373;627.253357;101.333694;1076.431641;875.053955;200.557678;;;;758.958069;677.664734;104.546715;;;;1105.709717;840.998352;411.172272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;879.626282;719.950012;124.933365;833.060852;627.418823;101.412018;1076.472168;875.346497;200.787735;;;;759.051086;677.759033;104.813629;;;;1105.350586;841.009338;411.144623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;879.688965;719.958679;125.145592;833.104614;627.512756;101.498817;1076.476563;874.784851;200.929688;;;;759.215332;677.956543;105.230614;;;;1105.140747;841.013123;411.145508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;879.880371;719.989807;125.290825;833.129272;627.552856;101.685753;1076.868774;874.050598;200.434402;;;;759.409119;678.145142;105.782211;;;;1104.947510;840.999390;411.155121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;880.147949;719.982849;125.521736;833.034302;627.702881;101.901421;1077.215454;874.117126;200.084030;;;;759.503418;678.348877;106.280251;;;;1104.600342;841.054504;411.081024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
