;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
48;839.564819;743.999878;139.231689;741.079651;676.553284;113.198639;;;;;;;957.740234;927.967285;257.955078;;;;825.576477;644.576660;114.224388;1010.656738;916.971313;446.580231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;837.873108;744.246338;140.040909;739.239746;676.875366;114.627518;;;;;;;956.538452;928.103516;258.551147;;;;823.385559;645.540039;115.886147;1010.085449;916.766296;446.605682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;835.706360;744.539429;141.423019;737.618164;677.213745;116.338036;;;;;;;955.108093;928.407898;259.088348;;;;821.491882;645.989197;116.935730;1009.206177;916.547974;446.620941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;833.967590;745.035095;142.320801;735.835754;677.848450;117.402168;;;;;;;954.112427;928.648254;259.474426;;;;819.083069;646.150330;118.016411;1008.432129;916.290222;446.679718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;831.829529;745.195740;143.439835;733.440430;678.484375;119.161148;;;;;;;953.291321;928.984253;259.585785;;;;816.832336;646.653076;120.179344;1007.992981;916.129883;446.562012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;829.544922;745.514587;144.905563;731.112183;678.937073;120.756042;;;;;;;952.207336;929.267395;259.741974;;;;814.244507;646.705200;122.101532;1007.330566;916.135742;446.438721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;827.601868;745.684753;145.950287;728.401306;679.341431;122.233429;;;;;;;950.435059;929.258484;259.994751;;;;811.933777;646.579529;123.280670;1006.164307;916.239441;446.893402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;825.011353;745.727356;147.053925;725.863403;679.819519;124.006935;;;;;;;948.846008;929.309387;260.817993;;;;;;;1004.963196;916.045898;447.346893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;822.480225;746.169556;148.535339;723.509827;680.113220;126.234810;;;;;;;948.052429;929.291077;261.425354;;;;;;;1003.714600;915.816284;447.419708;806.241943;647.901428;125.513756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;819.760620;746.343323;150.426514;720.243408;680.404724;127.970032;;;;;;;946.382507;929.424255;261.654114;;;;;;;1002.810547;915.607483;447.362915;803.499146;647.471191;127.945305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
