Weight63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:11:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43;794.517273;707.720947;149.618118;678.287109;679.613159;174.488892;736.844238;622.480042;155.966721;;;;999.869141;881.177612;410.422760;;;;;;;946.657715;876.137878;246.977356;;;;;;;;;;;;;;;;;;
44;788.881165;708.118652;150.463531;672.959473;680.105530;175.336548;731.139587;622.956177;157.138550;;;;998.196838;881.077942;410.132507;;;;;;;942.587524;875.616150;246.831146;;;;;;;;;;;;;;;;;;
45;783.637207;708.302490;151.265671;667.581360;680.734497;175.992172;725.234192;623.420898;158.002777;;;;996.041687;880.700928;410.035522;;;;;;;937.869873;875.434998;247.425797;;;;;;;;;;;;;;;;;;
46;777.906799;708.806030;151.913940;661.936523;681.587769;176.350449;719.446533;623.845703;158.824600;;;;994.107910;880.336670;409.910797;;;;;;;933.915771;874.867798;247.605072;;;;;;;;;;;;;;;;;;
47;772.543945;708.712158;152.245773;655.900635;682.632202;176.951981;713.690979;624.292053;159.370575;;;;991.801514;880.074829;409.313232;;;;;;;929.892761;874.161438;247.389359;;;;;;;;;;;;;;;;;;
48;766.649170;708.897888;152.605072;650.230286;683.353760;177.396042;707.758179;624.779785;159.827896;;;;989.965210;879.663147;408.498932;;;;;;;925.555725;873.769775;247.147751;;;;;;;;;;;;;;;;;;
49;760.260986;709.670593;152.307877;644.456177;684.147888;177.096436;701.776245;625.474731;159.902527;;;;986.891418;879.372131;408.653778;;;;;;;919.842957;873.436890;247.764221;;;;;;;;;;;;;;;;;;
50;754.585083;709.748718;152.264420;638.539185;684.913818;177.254425;695.673157;625.934021;160.301590;;;;984.325500;878.953979;408.527893;;;;;;;915.207764;872.214294;248.330795;;;;;;;;;;;;;;;;;;
51;749.307251;709.810852;152.169479;632.539185;685.547852;177.458466;689.494751;626.478516;160.622482;;;;981.551758;878.187988;408.517303;;;;;;;911.573547;870.952087;248.289520;;;;;;;;;;;;;;;;;;
52;744.168640;710.026123;151.320679;626.726563;686.282227;177.413589;683.375061;627.032410;160.477951;;;;979.039246;877.743408;408.284271;;;;;;;906.921875;870.511169;248.230789;;;;;;;;;;;;;;;;;;
53;738.543457;710.244080;151.199661;620.691467;686.928589;177.281235;677.498230;627.480591;159.613159;;;;976.580261;876.976624;408.154816;;;;;;;902.183105;869.533691;248.327728;;;;;;;;;;;;;;;;;;
54;731.882141;710.795959;151.051544;614.774963;687.424133;177.054504;671.347839;628.010864;159.218735;;;;973.639587;876.563171;407.974823;;;;;;;897.474731;868.400208;248.358643;;;;;;;;;;;;;;;;;;
55;725.840149;711.041626;150.933105;608.863281;688.059570;176.465729;665.093201;628.503296;158.630325;;;;971.490723;875.840393;407.477539;;;;;;;892.776428;867.291687;248.662796;;;;;;;;;;;;;;;;;;
56;719.838318;711.164307;151.004730;602.774109;688.647461;176.075546;659.092285;628.916809;157.683884;;;;968.240967;875.502441;407.243408;;;;;;;887.691467;866.836975;248.877396;;;;;;;;;;;;;;;;;;
57;713.496948;711.784607;149.750916;596.792297;689.176086;175.407623;652.881409;629.451599;157.023132;;;;965.170776;874.620789;406.948242;;;;;;;882.788147;865.735168;249.205566;;;;;;;;;;;;;;;;;;
58;707.580139;712.018433;149.425125;590.851746;689.643982;175.018402;646.737427;629.820679;155.821259;;;;962.639954;873.907959;406.905823;;;;;;;878.617798;864.299438;249.184082;;;;;;;;;;;;;;;;;;
59;702.050842;712.407654;148.742615;585.096436;690.157104;173.995514;640.844421;630.278259;154.819794;;;;959.456543;873.239319;406.551270;;;;;;;874.138123;863.249756;249.328812;;;;;;;;;;;;;;;;;;
60;696.560791;712.678528;147.661697;578.834473;690.713989;173.309555;634.657776;630.663757;153.509247;;;;956.568909;872.530762;406.670563;;;;;;;868.727051;862.594360;250.075851;;;;;;;;;;;;;;;;;;
61;690.365601;713.194397;147.203308;573.007141;691.261292;172.026642;628.439636;631.241272;152.478806;;;;953.298401;871.893005;406.175354;;;;;;;863.483093;861.859314;250.725723;;;;;;;;;;;;;;;;;;
62;684.114502;713.501526;146.683960;567.230713;691.882629;170.980103;622.560913;631.628174;151.356323;;;;950.191895;870.909119;406.219940;;;;;;;858.592712;860.565186;251.451935;;;;;;;;;;;;;;;;;;
63;678.208923;713.870300;146.243698;561.179138;692.587219;169.732925;616.547729;632.306702;150.499222;;;;947.225525;870.260681;406.117798;;;;;;;854.444275;859.567383;251.579132;;;;;;;;;;;;;;;;;;
64;673.055908;714.125549;145.356659;555.201111;693.273132;168.576126;610.587830;632.841370;149.383286;;;;944.848816;869.585693;405.420319;;;;;;;849.531494;859.071411;251.619705;;;;;;;;;;;;;;;;;;
