;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25;857.704773;738.701843;123.427444;969.484436;921.089478;257.321075;758.051270;671.218323;96.755424;1032.337280;917.055786;450.000885;845.898438;642.263245;85.959686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;857.718567;738.569824;123.776169;969.248657;921.202393;257.360016;758.104431;671.317200;96.764359;1031.795898;917.148315;450.053680;845.669739;642.314514;86.200768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;857.677307;738.540161;124.227798;969.014404;921.281982;257.452026;758.153259;671.338989;96.841270;1031.437012;917.068359;450.089630;845.393433;642.329834;86.466576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;857.679138;738.352051;124.816765;968.783936;921.471680;257.461182;758.151733;671.424011;96.886864;1031.103271;916.977783;449.964508;845.107178;642.358276;86.752304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;857.600586;738.244263;125.419250;968.529419;921.610657;257.499878;758.200378;671.449951;97.004677;1030.747192;916.852051;449.907928;844.698242;642.505249;87.106644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;857.363037;738.101074;125.975189;968.353455;921.790344;257.632233;758.037903;671.412415;97.570633;1030.249390;916.758301;449.767548;844.337463;642.770508;87.633026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;857.257874;737.980286;126.433823;968.210754;921.931458;257.677612;757.939209;671.394165;97.803497;1029.697510;916.614929;449.717072;843.874023;643.012817;88.215919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;857.046448;737.955505;126.786392;968.048279;922.112366;257.753571;757.901184;671.400146;97.848663;1029.757324;916.419922;448.962097;843.479492;643.023560;88.684441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;857.011536;737.872986;127.081291;967.826416;922.237061;257.839233;757.909241;671.511475;97.798805;1029.521240;916.130554;448.749786;843.303345;642.969666;89.408058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;856.900696;737.928955;127.531944;967.476013;922.513428;257.972778;757.858032;671.561218;97.839127;;;;843.068359;642.784119;90.390594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;856.442505;737.924438;128.337357;967.120178;922.768677;258.213409;757.792725;671.546631;97.902931;;;;842.768860;642.551208;91.478699;1028.294922;915.964172;448.535400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;855.783203;737.957458;128.975113;966.991150;922.891724;258.514771;757.377563;671.580933;98.263924;;;;842.285095;642.280334;92.270790;1027.621094;916.273682;448.177521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;855.202209;738.191040;129.599564;966.874329;923.175720;258.642029;756.930847;671.680298;98.816269;;;;841.756287;642.283386;93.064484;1026.553223;916.307861;448.591461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;854.536072;738.339722;130.307709;966.681030;923.436096;258.677032;756.315735;671.819397;99.373543;;;;841.095215;642.448181;94.096390;1025.617676;916.310974;448.595978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;853.522156;738.696716;130.753754;966.372253;923.755981;258.672607;755.814392;671.943787;99.909225;;;;840.434448;642.604309;94.776169;1025.080200;916.157959;448.431946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;853.171387;738.871887;131.125809;965.994690;924.128906;258.694275;755.249939;672.136414;100.796028;;;;840.181885;642.602051;95.857307;1024.420410;916.164124;448.356354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;852.854065;739.041443;131.555115;965.226135;924.524658;258.784149;754.559937;672.322021;101.868469;;;;839.839966;642.568237;97.134109;1023.712036;915.911682;448.281555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;852.393433;739.317261;132.185486;965.110718;924.710876;258.869385;753.816406;672.478088;102.695770;;;;839.167114;642.601440;98.952614;1023.091919;915.781189;448.208252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;851.636902;739.642273;132.915237;964.840942;924.938904;258.897705;752.834839;672.526611;103.935623;;;;837.898865;642.922424;100.209351;1023.005493;915.341187;448.098358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;850.682129;739.914856;133.877380;964.269653;925.293274;258.782532;751.906189;673.148926;104.522552;;;;836.508423;642.914978;100.861588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;849.761963;740.052124;134.557602;963.891663;925.554321;259.092285;750.956909;673.791748;105.325226;;;;835.446228;642.944641;102.990860;;;;1023.339355;915.047668;447.562012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;848.805969;740.131775;135.689407;963.402588;925.704895;259.435791;750.123352;674.336548;106.692436;;;;834.622925;642.891663;105.064400;;;;1022.318115;915.223450;448.128998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;847.727051;740.442566;136.626297;962.896606;925.839294;259.828094;748.968811;674.451111;108.353859;;;;832.986938;642.951233;107.014870;;;;1021.628662;915.418640;448.206970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;846.602051;740.929382;137.524261;962.210327;925.893311;260.047821;747.097290;674.842896;109.916519;;;;831.487549;642.810608;108.528778;;;;1021.289795;915.472900;448.292511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;845.462280;741.195007;138.489639;961.684448;926.021179;260.357971;745.814270;675.286926;111.289490;;;;829.990479;642.791443;110.141838;;;;1020.917358;915.500366;448.430298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
