Weight15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;11:10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;869.784668;738.039307;112.023834;;;;760.318909;679.766418;96.762489;1046.374023;884.910217;359.314240;997.186157;907.357361;171.968491;844.168701;641.063171;87.130165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;869.641907;737.700073;112.159622;;;;760.369202;679.982422;96.772850;1046.175293;884.851990;359.093109;996.791260;907.132751;171.871292;843.101746;641.883240;86.461983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;869.621521;737.395996;112.251976;;;;760.508179;679.904297;96.760704;1045.936279;884.829468;358.833374;996.566528;906.867249;171.714996;842.725586;642.229370;86.353355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;869.317627;736.939819;112.048050;;;;760.734619;679.759338;96.806511;1045.477783;884.910767;358.396942;996.304382;906.723877;171.531006;842.591980;641.929504;86.510612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;869.006470;736.614807;112.209641;;;;760.822021;679.614258;96.806618;1045.020874;884.966370;357.887299;996.124573;906.575928;171.319565;842.319946;641.255127;86.925468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;868.562256;736.709717;113.216423;;;;760.861450;679.489319;96.880386;1044.863037;884.959229;357.626373;995.985046;906.419250;171.138840;841.863037;640.544434;87.403442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;868.108826;736.566040;113.737358;;;;760.866699;679.379883;97.018578;1044.611816;884.958191;357.399658;996.083862;906.094788;171.004410;841.378052;640.032837;87.897324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;868.149841;736.068726;114.179230;;;;760.898438;679.232422;97.161896;1044.358032;884.895874;357.291138;995.886963;906.115601;170.854431;841.067444;639.849426;88.089699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;868.063354;735.799866;114.469749;;;;760.887146;679.020203;97.376488;1044.192993;884.826904;357.202301;995.376465;906.299744;170.882446;840.926147;639.925781;88.149338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;867.939636;735.528320;114.760590;;;;760.814819;678.876404;97.572311;1044.048584;884.735229;357.130829;994.074707;906.895020;171.474152;840.614136;640.243042;88.159920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;867.766541;735.260681;115.184044;;;;761.045349;678.935852;97.672508;1043.769653;884.664551;357.044220;993.231628;907.197449;171.722458;840.410217;640.650818;88.227386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;867.552368;735.226868;115.670105;;;;760.710754;678.636353;98.397964;1043.501953;884.608093;356.917816;992.652344;907.209534;171.978561;840.077698;641.052612;88.501534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;867.122314;735.363647;116.478279;;;;760.302246;678.401672;98.993225;1042.968384;884.597412;356.675720;992.118225;907.309570;172.210571;839.678284;641.488770;89.070496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;866.658813;735.460449;117.133018;;;;759.969971;678.372925;99.559174;1042.736084;884.451111;356.673767;991.599182;907.414795;172.479492;839.331482;641.731506;89.481705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;865.847290;735.906372;117.687904;;;;759.580383;678.304382;100.095589;1042.611206;884.425476;356.810608;991.110046;907.493713;172.703903;839.057495;641.750793;90.560234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;865.191284;736.204285;118.327873;;;;759.057190;678.304993;100.711296;1042.121216;884.576477;356.825958;990.902039;907.247009;173.172318;838.701416;641.404785;91.919243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;864.885925;736.240295;119.076332;;;;758.453369;678.382019;101.492012;1041.484375;884.765503;356.864960;990.474426;907.399231;173.388474;838.212646;640.775879;93.703072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;864.602966;736.036438;120.033920;;;;758.019043;678.463501;102.201538;1040.548950;885.105286;356.575134;989.847900;907.965332;173.608414;837.775879;640.252930;95.218124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;863.679077;736.179016;120.857391;;;;757.537659;678.642883;103.162506;1039.923340;885.346008;356.459991;989.047058;908.458130;173.651398;836.989014;639.758972;97.088692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;862.312256;736.490051;121.822411;;;;756.972412;678.595520;104.355370;1039.517212;885.524353;356.618011;988.460144;908.796570;173.836761;836.287903;639.559448;99.635193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;861.913757;736.190674;123.461525;;;;756.338196;678.244873;105.816628;1039.068359;885.678345;356.767914;987.765442;909.211853;174.058029;835.601501;639.806580;101.790787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;861.247314;736.316956;124.315392;;;;755.360168;678.137939;107.204712;1038.685425;885.689575;356.945496;987.125732;909.260864;174.488129;834.943176;640.350342;103.102486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;859.746704;736.897217;125.613869;;;;754.029114;678.450623;108.876907;1038.390869;885.846313;357.076752;986.089294;909.563354;175.071350;833.908020;640.972717;105.009750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;858.216858;737.181641;127.120781;;;;752.760437;678.653015;110.028473;1037.667969;885.993286;356.793060;983.893494;910.512512;175.747055;832.720764;641.085388;107.327316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;857.365234;737.046814;128.750168;;;;751.800781;678.451416;111.919930;1036.955811;886.225403;356.680969;982.684326;910.888184;176.613678;831.501099;640.520691;109.668541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;856.606567;737.087891;130.419281;;;;750.478882;678.405762;114.080803;1036.263794;886.401550;356.702393;982.409241;910.776733;177.226227;830.067261;640.868286;111.877594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;854.791443;737.792480;132.076950;;;;748.778259;678.767273;116.260498;1035.612915;886.507080;356.855408;981.979614;911.012451;177.512527;828.931335;640.554504;114.798798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;852.640137;738.178162;133.893250;;;;747.541443;678.622070;118.402435;1034.968872;886.729736;356.905396;980.613281;911.435608;178.201370;827.313477;639.443054;117.066460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;852.105164;738.347961;135.829636;;;;745.969849;678.631592;121.183266;1034.345581;886.848450;356.983429;978.673462;911.960205;179.183334;825.333252;639.500366;120.043938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;850.287415;738.449524;137.572922;;;;743.928162;678.858459;123.332344;1033.875488;886.801514;356.896790;977.737915;911.999268;180.323685;823.845642;639.869568;121.962151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
