;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
49;863.116760;714.846558;101.765343;830.756775;621.001160;77.805664;982.543091;866.231323;210.522568;758.301453;662.838379;90.507568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;863.082336;714.849426;101.783226;830.771667;620.986633;77.794403;982.455200;866.237915;210.498199;758.544678;662.869995;90.203537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;863.098206;714.844543;101.779449;830.776062;620.985046;77.783058;982.422058;866.253845;210.497345;758.471558;662.869629;90.258041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;863.124268;714.840027;101.762741;830.773071;621.065796;77.791946;982.400757;866.172913;210.228424;758.391052;662.863281;90.376022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;863.143677;714.822937;101.717720;830.809814;621.083496;77.754814;982.266418;866.259338;210.442612;758.334351;662.837769;90.478943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;863.144714;714.831848;101.734154;830.782837;621.107910;77.837990;982.192993;866.242432;210.587494;758.292358;662.841492;90.387047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;863.081421;714.826355;101.781448;830.746826;621.095642;77.740608;982.113892;866.241028;210.622513;758.315063;662.850159;90.322174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;863.011841;714.830566;101.827965;830.983887;620.875183;77.374931;982.047852;866.348450;210.644852;758.338501;662.854614;90.301033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;863.016296;714.833679;101.835403;830.870361;621.049194;77.632141;981.995056;866.360291;210.670807;758.369568;662.844910;90.421150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;863.047668;714.830322;101.814201;830.780579;621.095703;77.766335;981.905457;866.357361;210.648514;758.572632;662.874390;90.190926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;863.115906;714.839233;101.769783;830.769958;621.079834;77.775162;981.899780;866.344482;210.682999;758.497559;662.875305;90.181740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;863.107361;714.931885;101.750397;830.811157;621.067566;77.719246;981.875000;866.359253;210.665054;758.647217;662.910706;90.061974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;863.121399;714.867676;101.757637;830.800049;621.079529;77.733986;981.836243;866.364502;210.670746;758.451782;662.989075;90.081848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;863.130371;714.833862;101.757568;830.788574;621.080444;77.748741;981.867432;866.379883;210.658356;758.367188;663.005676;90.217979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;863.122681;714.833435;101.758919;830.733093;621.053162;77.781319;981.857300;866.356934;210.702591;758.327759;662.976318;90.323692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;863.116638;714.839111;101.762741;830.726746;621.087402;77.764572;981.662903;866.416626;210.798523;758.277161;662.959961;90.271713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;863.125000;714.753113;101.747765;830.689575;621.121216;77.728851;981.721985;866.390320;210.720108;758.343506;662.984741;90.255806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;863.169556;714.808044;101.779648;830.692505;621.156738;77.751320;981.798096;866.437439;210.733856;758.346375;663.091248;90.119286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;863.149658;714.754639;101.746109;830.554993;621.100098;77.767563;981.772888;866.477844;210.657516;758.415466;663.137939;90.094391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;863.145935;714.730042;101.728798;830.632568;621.116028;77.822403;981.800354;866.395264;210.607544;758.388367;663.119934;90.059761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;863.096863;714.717712;101.754814;830.579102;621.116699;77.818771;981.747437;866.462280;210.638062;758.373718;663.119995;90.029945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;863.132324;714.718140;101.716255;830.497314;621.068420;77.839752;981.783752;866.396484;210.627304;758.784485;663.123474;89.791641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;863.167236;714.715088;101.680382;830.441650;621.067261;77.861076;981.744141;866.388062;210.601105;758.849182;663.129272;89.645248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;863.188049;714.624695;101.651947;830.525818;621.088867;77.877930;981.799255;866.478882;210.577866;758.719849;663.155457;89.560738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;863.203186;714.596924;101.640503;830.320862;621.110840;77.935287;981.753784;866.416931;210.581207;758.651428;663.254517;89.593575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;863.143250;714.589783;101.672180;830.416321;621.185974;77.970123;981.773560;866.406311;210.574783;758.859802;663.308899;89.473175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;863.127136;714.508728;101.683456;830.513916;621.213074;77.996597;981.751404;866.435486;210.542892;758.836060;663.403992;89.440971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;863.234619;714.390503;101.607185;830.372192;621.258606;78.113548;981.724854;866.528137;210.483215;758.796387;663.404175;89.426590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;863.246338;714.333130;101.475555;830.311462;621.228943;78.160927;981.731628;866.463074;210.457993;758.781067;663.389648;89.438606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;863.223145;714.349487;101.402885;830.304871;621.232788;78.225632;981.560608;866.502563;210.540863;758.989685;663.499878;89.260391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;863.224609;714.388611;101.296577;830.344910;621.262024;78.246506;981.636475;866.471924;210.411530;758.919922;663.540649;89.149796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;863.194946;714.283569;101.214600;830.308899;621.287231;78.366959;981.571594;866.528870;210.400650;758.897156;663.614441;89.100174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;863.247742;714.256470;101.173492;830.169128;621.313843;78.479668;981.638855;866.485168;210.375244;758.904175;663.628967;89.095612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;863.371704;714.188843;100.984604;830.108459;621.309387;78.606812;981.653259;866.445129;210.290283;758.934448;663.716858;89.075401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;863.471497;714.066345;100.850143;830.116516;621.338501;78.688614;981.673767;866.437622;210.268906;758.955566;663.741455;89.052414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;863.503540;714.032227;100.815170;830.075378;621.319153;78.826645;981.697876;866.485413;210.177078;758.925964;663.738464;89.020599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;863.598511;713.940247;100.907043;829.990906;621.243286;78.921951;981.655762;866.405334;210.177856;759.093384;663.856567;88.905540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;863.687134;713.907227;100.974457;829.917786;621.265808;79.137352;981.580994;866.470825;210.168930;759.053650;663.879211;88.884651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;863.650513;713.918213;100.931534;829.830811;621.224548;79.221947;981.343018;866.412781;210.205231;758.983093;663.955383;88.802460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
