;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
46;550.688721;704.375671;181.293076;671.663269;741.606079;162.541473;;;;;;;;;;;;;;;;;;;952.052795;828.093445;311.340302;;;;;;;620.682373;652.180054;172.996521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;546.741211;705.395142;180.762650;667.103821;741.753418;162.474884;;;;;;;;;;;;;;;;;;;949.847900;827.433594;311.589294;;;;;;;616.120361;652.665039;172.848572;;;;851.364868;852.582275;168.560501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;542.840210;706.144287;180.434143;663.007141;741.387207;161.959991;;;;;;;;;;;;;;;;;;;947.934021;826.984253;312.043549;;;;;;;611.887817;652.839355;172.554733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;538.746643;707.025818;180.142014;659.748047;741.656250;162.079147;;;;;;;;;;;;;;;;;;;945.912415;826.332092;312.767792;;;;;;;607.673401;653.106445;172.055771;;;;;;;844.932983;851.259705;169.907639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;534.980164;707.811035;179.423447;656.326355;741.689514;162.063004;;;;;;;;;;;;;;;;;;;943.745178;825.881104;313.201172;;;;;;;603.339172;653.602295;171.897003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;531.206909;708.562744;178.935547;652.390991;741.658081;161.805527;;;;;;;;;;;;;;;;;;;941.008850;825.381470;313.826111;;;;;;;598.817444;653.749390;171.665298;;;;;;;;;;838.538574;849.586792;171.609467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;527.605530;709.425415;178.231308;648.787354;741.599426;161.605133;;;;;;;;;;;;;;;;;;;939.087036;824.626953;314.486542;;;;;;;594.930054;654.030762;171.152130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;523.736877;709.981506;177.891357;645.514465;741.925598;161.367935;;;;;;;;;;;;;;;;;;;937.038269;823.895081;314.898651;;;;;;;591.200012;654.597900;170.497681;;;;;;;;;;;;;833.134338;847.950928;172.767197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;519.945923;710.484863;177.562210;642.189270;742.119690;160.966888;;;;;;;;;;;;;;;;;;;934.625488;823.278015;315.401978;;;;;;;587.062683;654.765625;169.917770;;;;;;;;;;;;;829.993713;846.885315;173.922623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;516.539673;711.124207;176.406891;638.430359;742.062927;160.789627;;;;;;;;;;;;;;;;;;;932.413574;822.569824;315.990295;;;;;;;583.376587;655.152649;169.126480;;;;;;;;;;;;;827.329468;846.347168;174.784073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
