Weight61;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;14:03:57;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
62;722.354675;688.358276;211.830750;1044.729980;764.737976;432.279907;935.198669;834.193909;279.388184;;;;;;;649.874207;626.757141;165.591202;594.296448;659.148193;201.282516
63;717.534363;688.450867;211.484680;1042.645752;764.419250;431.946991;930.652649;833.282227;279.992828;;;;;;;644.464417;627.083069;165.382645;589.294983;659.221619;200.778244
64;712.471924;688.404724;211.347549;1039.559448;764.308350;431.762421;926.191650;832.243530;280.804565;;;;;;;638.987549;627.418701;165.371033;583.898132;659.458313;201.176392
65;707.213562;688.222473;211.521591;1037.371582;763.838257;431.627472;921.558777;831.476318;280.984711;;;;;;;633.571777;627.629761;165.106659;578.318176;659.540039;202.223099
66;702.237793;688.392822;211.011230;1034.186401;763.864075;431.576202;917.106384;830.901733;281.426758;;;;;;;628.057251;628.104065;164.953751;573.426208;659.905457;201.819519
67;697.045044;688.241882;210.653778;1031.910156;763.295166;431.565216;912.745117;829.841736;282.170258;;;;;;;622.519104;628.437378;164.913193;568.667175;660.143311;201.228516
68;691.773621;687.982605;210.913284;1028.510254;763.378784;431.096680;908.418823;828.708069;282.781708;;;;;;;617.290100;628.730225;164.400528;563.688171;660.209900;200.991852
69;686.845032;688.263794;210.094238;1026.270386;762.958557;431.136841;903.662964;827.953796;283.240814;;;;;;;612.273865;629.011658;163.897385;558.338562;660.376587;201.404190
70;681.946899;688.195435;209.667572;1023.043701;762.810547;430.796509;899.160095;826.918030;283.854889;;;;;;;607.017212;629.458191;163.442368;552.967773;660.885010;201.187408
71;677.154907;687.939697;209.419449;1020.607483;762.442261;430.555298;894.750793;825.796997;284.629761;;;;;;;601.779358;630.195129;162.605103;548.433411;660.892151;200.222580
72;672.315918;688.218445;208.588226;1017.160583;762.151978;430.395813;889.997864;824.886841;285.351471;;;;;;;596.786255;631.105835;162.038406;543.187866;661.188171;200.499588
73;667.259338;688.150208;208.341858;1015.043762;761.523376;430.283020;885.703125;823.697754;286.217316;;;;;;;591.516357;631.611084;161.705460;537.982849;661.580750;199.986801
74;662.033386;688.218689;208.182175;1011.585510;761.405945;430.144470;881.368469;822.617615;287.076050;;;;;;;586.596924;632.342224;160.400406;533.179565;661.685608;199.216599
75;656.743408;688.634705;207.699173;1009.319519;760.820740;430.195984;876.711975;821.281311;287.533112;;;;;;;581.432373;632.433411;159.821472;528.326538;662.267517;198.611374
76;652.098511;688.783691;207.163300;1006.202332;760.650818;429.948059;872.269958;820.041992;287.877869;;;;;;;576.737061;632.763245;159.037292;523.762512;662.380920;197.564896
77;647.200562;689.026245;206.918976;1003.764404;760.113831;429.755951;868.465149;818.855896;288.349731;;;;;;;571.994019;632.707642;158.173813;518.491394;662.734070;197.330902
78;642.748657;689.054688;205.581955;1000.496338;759.960449;429.315796;864.310852;817.410339;289.020050;;;;;;;567.149963;633.486206;157.531097;513.754272;663.154358;196.347153
