;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;898.585022;737.637756;146.124130;;;;1075.463379;841.817017;525.542297;1060.237549;815.000977;326.386139;;;;858.587219;646.655090;124.047409;;;;;;;765.881470;722.377441;124.929878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;898.532776;737.555908;146.006577;;;;1075.101074;841.807312;525.482788;1060.249634;814.962524;326.060730;;;;858.554688;646.307007;123.910233;;;;;;;765.826355;722.217346;124.643829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;898.434570;737.422729;145.841461;;;;1075.023438;841.787109;525.581116;1060.059570;814.812195;325.972198;;;;858.324585;646.291382;123.782654;;;;;;;765.807190;722.076843;124.219315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;898.260315;737.295288;145.278183;;;;1075.128052;841.604675;525.384949;1059.795166;814.670105;326.038696;;;;858.342407;646.180664;123.595535;;;;;;;765.919250;721.833496;123.867455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;898.138000;737.127502;144.996841;;;;1075.218384;841.436951;525.158325;1059.455200;814.567505;326.141846;;;;858.312805;646.067993;123.325546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;897.912842;736.999390;144.899353;;;;1074.867432;841.455017;525.154175;1059.262817;814.462036;326.181793;;;;858.262756;645.847656;123.170784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;897.742859;736.656067;144.634109;;;;1074.448608;841.480713;525.166138;1059.099609;814.384644;326.120544;;;;858.078491;645.751709;122.842628;;;;;;;;;;765.697449;720.941040;122.795609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;897.589478;736.553589;144.572067;;;;1073.994263;841.465088;525.374390;1058.964355;814.289490;326.073639;;;;857.969666;645.545227;122.355392;;;;;;;;;;765.546204;720.640869;122.683357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;897.490845;736.457214;144.545425;;;;1073.546021;841.473145;525.509888;1058.771484;814.206543;325.940460;;;;857.830383;645.302612;121.802162;;;;;;;;;;765.482056;720.307556;122.501564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;897.267883;736.325256;144.474014;;;;1073.435913;841.378784;525.485413;1058.387207;814.270996;325.898102;;;;857.866394;645.014343;121.369446;;;;;;;;;;765.333008;720.003540;122.342216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
