PTP246;;;;;;;;;
Date:;2025/04/23;;;;;;;;
Time:;10:00:50;;;;;;;;
Type:;test;;;;;;;;
Description:;"";;;;;;;;
Notes:;"";;;;;;;;
TRAJECTORIES;;;;;;;;;
200.000000;Hz;;;;;;;;
;*1;;;*2;;;*3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
214;552.730347;871.768433;141.161880;;;;;;
215;552.862183;871.752686;141.265167;;;;;;
216;553.013184;871.818909;141.359619;;;;;;
217;553.042664;871.826538;141.516968;;;;;;
218;552.927612;871.653015;142.291428;;;;;;
219;552.900635;871.667725;142.740631;;;;;;
220;552.942383;871.787598;142.865494;;;;;;
221;553.002380;871.964050;143.011292;;;;;;
222;553.203613;872.323914;143.074921;;;;;;
223;553.369934;872.743103;143.128403;;;;;;
224;553.273254;872.883179;143.700867;;;;;;
225;553.066223;873.105713;144.341614;;;;;;
226;552.975769;873.359863;144.851349;;;;;;
227;553.013367;873.538208;145.167725;;;;;;
228;553.086304;873.890381;145.369202;;;;;;
229;553.103149;874.152222;145.690186;;;;;;
230;553.073364;874.289856;146.107986;;;;;;
231;553.176575;874.567078;146.274338;;;;;;
232;552.976929;874.403198;147.179871;;;;;;
233;552.821838;874.525696;147.979996;;;;;;
234;552.940369;874.775452;148.580475;;;;;;
235;553.069275;874.979919;148.901367;;;;;;
236;553.077271;875.310852;149.287003;;;;;;
237;553.129822;875.658569;149.536652;;;;;;
238;553.122070;875.953613;149.710373;;;;;;
239;553.127563;876.065186;150.024612;;;;;;
240;552.975647;876.157471;150.371155;;;;;;
241;552.795776;876.352234;150.730209;;;;;;
242;552.831421;876.409729;150.804565;;;;;;
243;552.907410;876.599182;150.769760;;;;;;
244;552.948425;876.828735;150.894821;;;;;;
245;552.948730;876.937927;151.045959;;;;;;
246;552.943909;877.019165;151.183990;;;;;;
247;552.913635;877.200928;151.265732;;;;;;
248;552.799988;877.276123;151.873505;;;;;;
249;552.740051;877.384155;152.107162;;;;;;
250;552.660767;877.481628;152.175217;;;;;;
251;552.673828;877.620056;152.239029;;;;;;
252;552.637573;877.594971;152.296082;;;;;;
253;552.600586;877.702332;152.337509;;;;;;
254;552.692017;877.798950;152.329330;;;;;;
255;552.782776;877.855896;152.213409;;;;;;
256;552.765930;877.969177;152.248199;;;;;;
257;552.696289;877.962585;152.398911;;;;;;
258;552.668030;877.944580;152.506302;;;;;;
259;552.606873;877.939514;152.589035;;;;;;
260;552.453796;877.976013;152.848465;;;;;;
261;552.294617;877.822571;153.078781;;;;;;
262;552.115479;877.764038;153.143143;;;;;;
263;552.019592;877.748047;153.291992;;;;;;
264;551.833984;877.581726;153.400940;;;;;;
265;551.730164;877.540344;153.458618;;;;;;
266;551.562317;877.406128;153.498260;;;;;;
267;551.448181;877.301208;153.508087;;;;;;
