PTP255;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;11:42:04;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
121;546.667908;845.840454;97.689125;;;;;;;;;;;;;;;;;;
122;546.218384;846.042969;97.780113;;;;;;;;;;;;;;;;;;
123;545.793335;846.260986;97.886513;;;;;;;;;;;;;;;;;;
124;545.238708;846.306885;98.254753;;;;;;;;;;;;;;;;;;
125;544.735962;846.298340;98.497414;;;;;;;;;;;;;;;;;;
126;544.289246;846.307129;98.774773;;;;;;;;;;;;;;;;;;
127;544.027405;846.417664;98.899895;;;;;;;;;;;;;;;;;;
128;543.699463;846.448792;98.791733;;;;;;;;;;;;;;;;;;
129;543.569763;846.521790;98.662613;;;;;;;;;;;;;;;;;;
130;543.452393;846.571289;98.567184;;;;;;;;;;;;;;;;;;
131;543.482056;846.671204;98.495804;;;;;;;;;;;;;;;;;;
132;543.558044;846.891418;98.359482;;;;;;;;;;;;;;;;;;
133;543.745972;847.072083;98.119652;;;;;;;;;;;;;;;;;;
134;543.889282;847.338623;97.876076;;;;;;;;;;;;;;;;;;
135;544.186157;847.582092;97.448128;;;;;;;;;;;;;;;;;;
136;544.311035;847.802185;97.271172;;;;;;;;;;;;;;;;;;
137;544.398193;847.901001;97.334846;;;;;;;;;;;;;;;;;;
138;544.510742;847.900513;97.237312;;;;;;;;;;;;;;;;;;
139;544.668701;847.984009;97.179153;;;;;;;;;;;;;;;;;;
140;544.742004;848.108765;97.127274;;;;;;;;;;;;;;;;;;
141;544.756592;848.204346;97.104324;;;;;;;;;;;;;;;;;;
142;544.901794;848.294495;97.124367;;;;;;;;;;;;;;;;;;
143;544.903076;848.293030;97.138931;;;;;;;;;;;;;;;;;;
144;544.941895;848.271484;97.200363;;;;;;;;;;;;;;;;;;
145;544.958374;848.279907;97.250717;;;;;;;;;;;;;;;;;;
146;545.001038;848.281189;97.166229;;;;;;;;;;;;;;;;;;
147;545.009216;848.206909;97.140648;;;;;;;;;;;;;;;;;;
148;545.007507;848.194397;97.172859;;;;;;;;;;;;;;;;;;
149;544.990601;848.115723;97.198730;;;;;;;;;;;;;;;;;;
150;545.001282;848.011292;97.150383;;;;;;;;;;;;;;;;;;
151;544.973145;848.001526;97.182098;;;;;;;;;;;;;;;;;;
152;545.054749;847.995911;97.201431;;;;;;;;;;;;;;;;;;
153;545.001099;847.926819;97.152870;;;;;;;;;;;;;;;;;;
154;545.004028;847.878479;97.111061;;;;;;;;;;;;;;;;;;
155;545.058289;847.787720;97.164726;;;;;;;;;;;;;;;;;;
156;545.080811;847.785706;97.211494;;;;;;;;;;;;;;;;;;
157;545.072815;847.714172;97.243797;;;;;;;;;;2327.018799;-818.302368;-156.884460;;;;;;
158;545.086487;847.694336;97.221176;;;;;;;;;;;;;;;;;;
159;545.101868;847.612000;97.145485;;;;;;;;;;;;;;;;;;
160;545.104553;847.608276;97.157913;;;;;;;;;;;;;;;;;;
161;545.103149;847.606934;97.142624;;;;;;;;;;;;;;;;;;
162;545.094299;847.529236;97.147537;;;;;;;;;;;;;;;;;;
163;545.138916;847.538147;97.089615;;;;;;;;;;;;;;;;;;
164;545.194824;847.535583;97.062233;;;;;;;;;;;;;2327.032227;-818.398438;-156.829300;;;
165;545.181519;847.453125;97.069313;;;;;;;;;;;;;;;;;;
166;545.246643;847.425720;97.099312;;;;;;;;;;;;;;;;;;
167;545.239075;847.429382;97.134064;;;;;;;;;;;;;;;;2326.974609;-818.288208;-156.848175
168;545.242249;847.352722;97.142754;;;;;;;;;;;;;;;;;;
169;545.271729;847.329041;97.075150;;;;;;;;;;;;;;;;;;
170;545.255798;847.347107;97.118866;;;;;;;;;;;;;;;;;;
171;545.291931;847.263367;97.070862;;;;;;;;;;;;;;;;;;
172;545.306152;847.252502;97.050056;;;;;;;;;;;;;;;;;;
173;545.293823;847.253967;97.050583;;;;;;;;;;;;;;;;;;
174;545.300598;847.257507;97.054733;;;;;;;;;;;;;;;;;;
175;545.382813;847.258606;97.073631;;;;;;;;;;;;;;;;;;
176;545.345947;847.267395;97.024902;;;;;;;;;;;;;;;;;;
177;545.387573;847.262085;97.060287;;;;;;;;;;;;;;;;;;
178;545.394470;847.258972;97.073006;;;;;;;;;;;;;;;;;;
179;545.391907;847.258789;97.072952;;;;;;;;;;;;;;;;;;
180;545.343445;847.176392;97.132652;;;;;;;;;;;;;;;;;;
181;545.254272;847.205444;97.257797;;;;;;;;;;;;;;;;;;
182;545.230774;847.208618;97.266846;;;;;;;;;;;;;;;;;;
183;545.220093;847.136414;97.247917;;;;;;;;;;;;;;;;;;
184;545.169128;847.189880;97.336449;;;;;;;;;;;;;;;;;;
185;545.173584;847.211731;97.336891;;;;;;;;;;;;;;;;;;
186;545.184814;847.213989;97.320374;;;;;;;;;;;;;;;;;;
187;545.044861;847.280273;97.487793;;;;;;;;;;;;;;;;;;
188;544.900574;847.278625;97.536530;;;;;;;;;;;;;;;;;;
189;544.898438;847.284058;97.605293;;;;;;;;;;;;;;;;;;
190;544.909302;847.282654;97.552170;;;;;;;;;;;;;;;;;;
191;544.917664;847.368530;97.517715;;;;;;;;;;;;;;;;;;
192;544.902771;847.302979;97.556107;;;;;;;;;;;;;;;;;;
193;544.858643;847.266479;97.586555;;;;;;;;;;;;;;;;;;
194;544.845398;847.266235;97.592560;;;;;;;;;;;;;;;;;;
195;544.849365;847.270325;97.587143;;;;;;;;;;;;;;;;;;
196;544.855835;847.269714;97.585434;;;;;;;;;;;;;;;;;;
197;544.856750;847.269287;97.585365;;;;;;;;;;;;;;;;;;
198;544.856079;847.269165;97.585945;;;;;;;;;;;;;;;;;;
199;544.853027;847.271362;97.583443;;;;;;;;;;;;;;;;;;
200;544.860535;847.268066;97.546600;;;;;;;;;;;;;;;;;;
201;544.862122;847.271301;97.572281;;;;;;;;;;;;;;;;;;
202;544.833130;847.247803;97.640244;;;;;;;;;;;;;;;;;;
203;544.838074;847.262817;97.609146;;;;;;;;;;;;;;;;;;
204;544.831970;847.248352;97.638092;;;;;;;;;;;;;;;;;;
205;544.843567;847.265259;97.600334;;;;;;;;;;;;;;;;;;
206;544.837463;847.246521;97.637794;;;;;;;;;;;;;;;;;;
207;544.830383;847.179443;97.616318;;;;;;;;;;;;;;;;;;
208;544.845947;847.256531;97.591690;;;;;;;;;;;;;;;;;;
209;544.828735;847.227722;97.644394;;;;;;;;;;;;;;;;;;
210;544.738159;847.105713;97.788742;;;;;;;;;;;;;;;;;;
211;544.731018;847.039734;97.954254;;;;;;;;;;;;;;;;;;
212;544.697510;847.004272;98.050301;;;;;;;;;;;;;;;;;;
213;544.686707;847.007935;98.091667;;;;;;;;;;;;;;;;;;
214;544.691650;847.006592;98.054359;;;;;;;;;;;;;;;;;;
215;544.664673;846.974548;98.112534;;;;;;;;;;;;;;;;;;
216;544.693665;846.921082;98.083633;;;;;;;;;;;;;;;;;;
217;544.582031;846.843262;98.274498;;;;;;;;;;;;;;;;;;
218;544.526794;846.792542;98.470871;;;;;;;;;;;;;;;;;;
219;544.459961;846.673889;98.623627;;;;;;;;;;;;;;;;;;
220;544.421265;846.646851;98.667305;;;;;;;;;;;;;;;;;;
221;544.362671;846.633789;98.814995;;;;;;;;;;;;;;;;;;
222;544.257141;846.496460;99.008186;;;;;;;;;;;;;;;;;;
223;544.283325;846.454529;99.092705;;;;;;;;;;;;;;;;;;
