PTP251;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;
Time:;12:52:35;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
310;534.721741;840.634094;109.003807;;;;;;;;;;;;
311;534.689270;840.671814;109.131378;;;;;;;;;;;;
312;534.780334;840.745178;109.070999;;;;;;;;;;;;
313;534.911682;840.755432;109.119095;;;;;;;;;;;;
314;534.964111;840.870056;109.051643;;;;;;;;;;;;
315;535.075378;840.867249;108.980431;;;;;;;;;;;;
316;535.285095;840.911133;108.997505;;;;;;;;;;;;
317;535.473999;840.979614;108.928078;;;;;;;;;;;;
318;535.574097;841.008667;108.865219;;;;;;;;;;;;
319;535.921997;841.020630;108.581177;;;;;;;;;;;;
320;536.032593;841.150818;108.509285;;;;;;;;;;;;
321;536.354980;841.275330;108.641342;;;;;;;;;;;;
322;536.234192;841.360046;108.686951;;;;;;;;;;;;
323;536.290955;841.459229;108.796326;;;;;;;;;;;;
324;536.377380;841.588135;108.811462;;;;;;;;;;;;
325;536.435059;841.622498;108.841133;;;;;;;;;;;;
326;536.450439;841.770935;108.915077;;;;;;;;;;;;
327;536.589539;841.820740;108.956123;;;;;;;;;;;;
328;536.622498;841.906860;108.905807;;;;;;;;;;;;
329;536.648193;842.043762;108.978294;;;;;;;;;;;;
330;536.538635;842.092163;109.247879;;;;;;;;;;;;
331;536.687439;842.187439;109.174019;;;;;;;;;;;;
332;536.826477;842.192810;109.097397;;;;;;;;;;;;
333;536.974976;842.273132;108.899315;;;;;;;;;;;;
334;536.905090;842.307251;109.114410;;;;;;;;;;;;
335;536.867126;842.398193;109.232582;;;;;;;;;;;;
336;536.716064;842.352783;109.392128;;;;;;;;;;;;
337;536.869446;842.403687;109.393242;;;;;;;;;;;;
338;537.006592;842.439087;109.269440;;;;;;;;;;;;
339;537.020569;842.474670;109.192825;;;;;;;;;;;;
340;536.990967;842.467529;109.244324;;;;;;;;;;;;
341;537.071472;842.525085;109.352440;;;;;;;;;;;;
342;537.089722;842.541260;109.277603;;;;;;;;;;;;
343;537.082703;842.449219;109.289970;;;;;;;;;;;;
344;537.070923;842.429749;109.311668;;;;;;;;;;;;
345;537.131470;842.457397;109.252396;;;;;;;;;;;;
346;537.116272;842.474487;109.230156;;;;;;;;;;;;
347;537.136108;842.422180;109.274094;;;;;;;;;;;;
348;537.108948;842.419678;109.337952;;;;;;;;;;;;
349;537.091064;842.397278;109.301926;;;;;;;;;;;;
350;537.381714;842.398315;109.151375;;;;;;;;;;;;
351;537.206848;842.451782;109.068512;;;;;;;;;;;;
352;537.175842;842.468750;109.068665;;;;;;;;;;;;
353;537.143799;842.336304;109.112091;;;;;;;;;;;;
354;537.098999;842.368347;109.069054;;;;;;;;;;;;
355;537.340454;842.370056;108.939880;;;;;;;;;;;;
356;537.203735;842.394287;108.910217;;;;;;;;;;;;
357;537.163818;842.382324;108.926895;;;;;;;;;;;;
358;537.073364;842.380493;108.863594;;;;;;;;;;;;
359;537.103394;842.383850;108.850937;;;;;;;;;;;;
360;537.101318;842.369202;108.844467;;;;;;;;;;;;
