file,task,rmse,mae,max,hausdorff,nrmse_percent,nmae_percent,hausdorff_percent,ref_bbox_diag,scale,rot_deg,tx,ty,n_points
Clustered\AlterWithinGender\Männlich_21-25\zigzag\mean.csv,zigzag,129.70837981378645,119.29295007549365,248.6722733688185,99.17580208023045,26.25545707400061,24.147174873624607,20.07507932822323,494.02445917511676,1.2527215530573474,-83.81763477609292,633.4160435354535,275.554358577683,200
Clustered\AlterWithinGender\Männlich_25-35\circle\mean.csv,circle,57.077479069527065,54.37235121792713,81.49178815692622,81.49178815692622,17.1897590734835,16.37506829193497,24.542503062872655,332.0435081465067,1.543304453454291,177.27690716723887,629.3731890495958,-36.529225796664164,200
Clustered\AlterWithinGender\Männlich_25-35\zigzag\mean.csv,zigzag,121.44980813745589,110.6340728212783,251.3174066659868,95.2548379753519,24.5837642007125,22.394452494519477,19.281401195074626,494.02445917511676,1.150146663595309,-92.87139066532256,624.6922223119533,290.04690694903223,200
Clustered\AlterWithinGender\Weiblich_21-25\circle\mean.csv,circle,49.56125025924271,47.62870467076422,69.07538509053248,68.97069283729729,14.926131378353865,14.344115606003394,20.771582983897858,332.0435081465067,1.5316553889058364,-179.49990048889032,643.8402954930018,-16.96444191418893,200
Clustered\AlterWithinGender\Weiblich_21-25\zigzag\mean.csv,zigzag,119.57270387828979,109.24762580828843,254.18462078539383,89.70540880162136,24.203802394307136,22.113809099796704,18.158090583491433,494.02445917511676,1.278225140302125,-94.23671040024395,621.2331452702765,291.1806791021163,200
Clustered\AlterWithinGender\Weiblich_25-35\circle\mean.csv,circle,51.53605806270639,49.25238269720674,72.53470806800102,71.46299448531175,15.520875065555344,14.83311117032146,21.52217788693532,332.0435081465067,1.3730505875051804,177.02579654138307,634.512251707259,-28.616537300364012,200
Clustered\AlterWithinGender\Weiblich_25-35\zigzag\mean.csv,zigzag,128.35349836477073,117.98196323205055,255.96642440985846,105.99343064265022,25.981203153197175,23.881806060584037,21.45509775358688,494.02445917511676,0.9920918022553966,-101.87202057504004,628.6750442378268,268.3668880057144,200
Clustered\AlterWithinGender\Weiblich_35+\circle\mean.csv,circle,103.94086448358618,97.52882576640356,142.13548132105447,100.6280770867779,31.303387036172563,29.372303139072713,30.305690253813975,332.0435081465067,0.904223787917669,161.02776426852705,703.2807622745697,-81.11918553819511,200
Clustered\AlterWithinGender\Weiblich_35+\zigzag\mean.csv,zigzag,101.68279784045477,90.57998301916182,246.08597402448126,102.84691398239866,20.582543222705354,18.33512113355787,20.818182596490132,494.02445917511676,1.2948260694931883,-82.89757240018552,618.2477960805678,334.1183689910685,200
Clustered\Geschlecht\Männlich\circle\mean.csv,circle,46.41915608247042,44.18917898506274,67.33903730041901,64.02199733133075,13.979841479686156,13.30824964226232,19.281207360055504,332.0435081465067,1.5026833019146555,-162.44207126650315,643.3673855145032,-13.29919830885624,200
Clustered\Geschlecht\Männlich\zigzag\mean.csv,zigzag,126.19550297919214,115.29490708227797,253.06496972596887,94.53491215723338,25.544383610055153,23.337894499148554,19.13567443909161,494.02445917511676,1.223414780233607,-88.98945036909386,626.8658970111393,279.675426742428,200
Clustered\Geschlecht\Weiblich\circle\mean.csv,circle,44.71252922911374,43.10480596580634,59.842515543077155,59.623691006109055,13.46586460271506,12.981674060252164,17.95658988755216,332.0435081465067,1.5828865456687666,177.9622530060892,624.8754008294176,-34.436638026371995,200
Clustered\Geschlecht\Weiblich\zigzag\mean.csv,zigzag,120.61478677227764,110.1323186623785,255.5609017335865,90.07810416246221,24.414739904512164,22.292887855445212,18.233531253263767,494.02445917511676,1.1774455438762956,-94.01269267099545,619.5500528987961,291.81052811390794,200
