Grasp16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:18:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37;932.252258;855.526489;88.079460;1200.892212;932.418091;230.131287;857.918274;783.354248;69.383812;795.035095;853.512878;67.926323;1159.559448;895.275757;393.531738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;931.833252;854.862671;89.019402;1200.725464;932.387573;229.868240;858.353638;781.572754;71.582344;794.680237;852.255310;69.877289;1159.459717;895.121155;393.442657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;931.531250;853.883606;90.288467;1200.455322;932.309204;229.609070;858.412109;779.778015;73.223137;794.274841;850.806335;71.376389;1159.100830;895.078552;393.297363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;931.069763;852.950378;91.205505;1200.656860;931.957397;229.874008;858.356995;777.995667;75.556755;793.885559;849.433533;72.986885;1158.717529;895.060730;393.190399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;930.356934;852.098450;92.034271;1200.169434;932.084412;229.528656;858.309631;776.075928;77.799370;792.908569;847.681885;74.316910;1158.529297;895.157959;393.093506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;929.398438;851.052429;93.066216;1199.934570;932.006165;229.406174;858.967407;773.653320;80.249863;792.300781;846.014709;76.397812;1158.364990;895.123596;393.020844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;928.781860;849.640320;94.361778;1199.190186;931.860229;229.093857;859.427917;771.408142;81.472321;791.122192;844.246216;78.641907;1158.227783;895.051331;392.875153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;928.309021;848.535583;95.320946;1198.374878;931.664551;229.064545;860.568481;768.930603;83.238625;790.450134;842.167664;80.589828;1158.047485;894.844482;392.701172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;927.607727;847.304260;96.330681;1197.695679;931.473145;228.999710;861.533997;765.872375;85.153954;790.495117;839.731750;82.035934;1157.467651;894.781189;392.812225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;926.832703;845.587219;97.120064;1197.008057;931.290527;228.772476;862.050964;763.347290;86.291817;789.702209;837.416748;83.433563;1156.942505;894.636963;392.659668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;925.999817;844.093689;98.207413;1196.387573;931.185913;228.602753;862.812561;760.638000;88.084221;788.627747;834.879211;85.051590;1156.415039;894.476501;392.479187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;925.551819;842.473389;99.250580;1195.894409;931.065857;228.488846;863.439209;757.604309;89.520897;787.963318;832.629761;86.999992;1155.573486;894.292297;392.501648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;925.026184;840.662415;99.644585;1195.274902;930.817993;228.203705;864.288086;754.720581;91.115921;786.824158;829.869019;89.064156;1155.157959;894.135742;392.222778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;924.968933;838.474731;100.773811;1194.370850;930.657837;227.505142;865.354004;751.836487;92.972107;786.537170;827.460999;90.293015;1154.606201;893.925781;391.840393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;924.493103;836.488892;101.699295;1193.645630;930.129395;227.319855;866.332581;748.874878;94.622437;;;;1153.936768;893.681946;391.664307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;923.591736;834.736572;102.568886;1192.942261;929.865234;226.801163;867.054382;745.676147;96.476402;;;;1153.564209;893.460754;391.505524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;922.422668;832.664856;103.797050;1192.242065;929.757080;225.993469;867.823242;742.571533;98.625069;;;;1153.371826;893.278503;391.283478;783.690002;820.161011;96.170708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;921.797546;830.536560;104.516792;1191.548828;929.189453;226.139435;868.114319;740.148804;100.774971;;;;1153.695557;892.924805;390.896637;783.237549;817.824890;97.707672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;920.957275;828.599426;105.288513;1190.817993;928.684814;226.244385;868.332397;737.530457;101.503891;;;;1153.203003;892.688599;390.689941;782.735657;815.009338;99.129974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
