;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21;924.615112;473.864746;104.116554;954.308594;573.867065;124.640274;844.467651;509.066284;97.903282;1150.454224;734.678589;358.663330;1090.631592;742.783325;225.847488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;926.937317;475.561340;107.258209;956.600647;576.154236;127.233025;848.793884;509.862640;101.359810;1151.877808;735.896057;359.088409;1092.265259;745.226990;226.414230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;929.226624;477.618744;109.756653;959.441040;578.050354;129.754913;853.163269;510.549744;105.304436;1154.431885;736.648254;359.285919;1095.702271;747.061768;227.099640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;931.178467;479.733185;112.836830;962.223389;580.431091;131.271255;857.120544;511.646179;109.093765;1156.946411;737.561096;359.920746;1098.477295;749.112610;227.346954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;932.855286;482.453888;116.273041;965.321472;582.686401;132.994003;861.384888;513.451416;111.614738;1158.649048;738.816895;360.377594;1101.069214;751.319397;227.928406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;934.500488;485.256256;118.802002;967.365601;584.928467;135.403931;865.471436;515.428833;114.729561;1160.677368;739.650635;360.694977;1103.926758;753.072388;228.096512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;936.407715;487.717621;121.328773;969.430481;587.700195;137.051880;868.822693;517.587830;118.136215;1163.141846;740.597839;361.102509;1107.111816;755.010498;228.472443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;937.499939;489.817139;124.778000;972.914368;589.631470;139.139343;872.077942;520.281616;121.552307;1164.517334;741.932068;361.357391;1109.505127;756.985474;228.644470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;938.865784;492.743286;127.747772;976.530945;591.753052;140.107330;874.549561;523.541565;124.739700;1166.610718;742.741333;361.595978;1112.736206;758.677368;229.304596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;940.479553;495.775391;130.506592;979.227783;594.291138;141.465240;876.829346;527.380310;127.185463;1168.623169;743.550537;361.995880;1115.699951;760.096924;229.594528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
