Grasp124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:38:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
74;874.031250;679.662415;167.964615;1091.540161;833.544922;472.374817;768.610291;616.833984;124.724358;;;;831.024170;612.524109;97.885361;;;;;;;;;;1034.750488;879.594849;298.741455;;;;;;;;;;;;;;;;;;
75;873.353821;679.650269;168.392746;1091.002808;833.687866;472.342957;768.062012;617.082153;124.603951;;;;830.525208;612.373657;98.386505;;;;;;;;;;1033.876587;879.933899;299.189514;;;;;;;;;;;;;;;;;;
76;872.589539;679.079529;169.763153;1090.144043;833.866577;471.997375;767.456543;617.280823;124.537346;;;;829.903931;611.923401;99.442017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;870.665955;679.494934;171.430115;1089.287964;833.945923;471.909332;766.719055;617.314636;124.682648;;;;829.059692;611.723511;100.375893;;;;;;;;;;;;;1032.881714;880.531494;299.409088;;;;;;;;;;;;;;;
78;869.095764;680.058411;172.325485;1088.693970;834.032776;471.822327;765.611084;617.548157;124.920677;;;;828.396545;611.690430;101.483002;;;;;;;;;;;;;1032.436523;880.714539;299.076813;;;;;;;;;;;;;;;
79;867.940186;680.050537;173.222412;1088.072632;834.219360;471.615662;764.224060;618.057312;125.045998;;;;827.528320;611.806274;102.104851;;;;;;;;;;;;;1032.610107;880.914185;298.806183;;;;;;;;;;;;;;;
80;866.325500;680.249451;174.080093;1087.592163;834.369385;471.437012;763.424744;618.569519;125.080643;;;;826.288879;611.410706;103.151367;;;;;;;;;;;;;1031.890137;881.364624;298.995056;;;;;;;;;;;;;;;
81;864.972595;680.616394;174.814728;1086.888550;834.589539;471.605530;762.570984;619.071228;125.734009;;;;825.116821;611.298035;104.527191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;863.448486;681.167908;175.913528;1086.134766;834.853333;471.860931;760.977295;619.383545;126.497658;;;;824.154968;611.504761;105.913681;;;;;;;;;;;;;;;;1028.778320;882.331055;300.150879;;;;;;;;;;;;
83;861.463257;681.682129;177.488541;1085.137329;835.152039;472.139984;759.313293;619.572327;127.796974;;;;823.306702;611.424133;107.462563;;;;;;;;;;;;;;;;1028.056641;882.896851;300.327820;;;;;;;;;;;;
84;859.722778;682.092346;179.043198;1084.210205;835.328857;472.202759;757.794312;620.001953;129.099884;;;;821.971924;612.261597;108.457123;;;;;;;;;;;;;;;;1027.389526;883.398438;300.695007;;;;;;;;;;;;
85;858.450195;682.656494;179.388794;1083.427246;835.349548;472.018158;756.564819;620.675049;129.672180;;;;820.359802;611.030579;110.640022;;;;;;;;;;;;;;;;1026.812012;883.476807;300.864471;;;;;;;;;;;;
86;856.488831;682.825867;180.924835;1082.260742;835.564392;472.035187;754.860107;620.919189;130.683258;;;;818.881653;609.859314;112.880890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;854.408813;683.175232;183.082169;1080.843384;835.809143;472.083740;752.789185;621.261475;132.636673;;;;817.171631;610.865662;114.985794;;;;;;;;;;;;;;;;;;;1023.765930;884.863159;301.587708;;;;;;;;;
88;852.436157;683.795654;184.653061;1079.725952;836.031799;472.404144;751.458801;621.802673;134.078461;;;;815.356140;611.667847;116.387596;;;;;;;;;;;;;;;;;;;1022.472595;885.135254;302.163696;;;;;;;;;
89;850.703003;684.213379;185.682541;1078.999512;836.200500;472.551849;749.368896;621.967773;135.885498;;;;813.920959;611.214172;117.921776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;848.579834;684.846436;187.176834;1077.601318;836.184387;472.798065;746.796204;622.128113;138.023605;;;;811.521851;612.204102;119.784119;;;;;;;;;;;;;;;;;;;;;;1020.246155;886.422424;302.919006;;;;;;
91;846.747375;685.776917;188.784943;1075.640869;836.400085;472.891479;744.958252;622.518250;140.283386;;;;809.323547;612.382080;121.746849;;;;;;;;;;;;;;;;;;;;;;1018.975281;886.806641;303.339935;;;;;;
92;844.064209;686.083008;190.711517;1074.399048;836.643921;472.858429;742.423584;622.694641;142.322693;;;;806.841919;613.042908;123.694344;;;;;;;;;;;;;;;;;;;;;;1016.323303;887.384827;304.518890;;;;;;
93;841.818970;686.609558;192.035492;1073.002686;836.898071;473.162933;740.376404;623.142944;144.620651;;;;803.994812;613.301575;125.864044;;;;;;;;;;;;;;;;;;;;;;1014.813232;887.665588;305.140320;;;;;;
94;839.305847;687.347595;193.929398;1071.310181;837.033691;473.770691;737.538696;623.524109;146.492661;;;;801.668945;613.408997;127.678085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;836.665771;687.902466;195.749344;1069.628052;837.154358;473.667572;734.788513;624.160522;148.693909;;;;798.430481;614.209595;129.140747;;;;;;;;;;;;;;;;;;;;;;;;;1010.744629;888.943481;306.818085;;;
96;834.239136;688.312073;197.074783;1067.900024;837.271179;473.853912;731.821411;624.361145;150.803070;;;;795.582397;614.808472;131.110947;;;;;;;;;;;;;;;;;;;;;;;;;1009.609680;889.296875;307.249390;;;
97;830.752747;689.253418;198.466492;1066.223511;837.493896;474.265747;728.916260;624.894897;153.284973;;;;792.132263;615.314575;132.693542;;;;;;;;;;;;;;;;;;;;;;;;;1006.776917;889.841675;308.401672;;;
98;827.865845;689.643127;200.731277;1064.698730;837.573425;474.659637;724.993774;625.374573;155.923965;;;;788.540771;616.438477;134.519806;;;;;;;;;;;;;;;;;;;;;;;;;1004.286194;889.913025;309.024689;;;
99;824.731506;690.427551;202.282501;1063.075439;837.730042;475.122803;721.666565;626.020569;157.816452;;;;785.061890;616.973633;136.942902;;;;;;;;;;;;;;;;;;;;;;;;;1001.985291;890.488342;309.537933;;;
100;821.199951;691.107117;204.275543;1061.225098;837.907654;475.009674;718.144958;626.883789;160.712799;;;;780.915466;617.696960;138.583603;;;;;;;;;;;;;;;;;;;;;;;;;999.448792;890.764221;310.319611;;;
101;817.701843;691.609009;206.087692;1059.124878;838.037781;475.360321;714.206909;627.257141;162.847549;;;;777.276489;618.732666;140.420380;;;;;;;;;;;;;;;;;;;;;;;;;996.619202;891.195679;311.335419;;;
102;813.891785;692.019409;207.443085;1057.462158;838.201538;475.708954;710.147888;628.023376;164.814880;;;;772.789368;619.592773;142.022766;;;;;;;;;;;;;;;;;;;;;;;;;993.724426;891.503662;312.254578;;;
103;810.251770;692.776428;209.378616;1055.710693;838.279419;475.984467;706.131165;628.960327;167.382050;;;;768.375916;620.044373;143.558655;;;;;;;;;;;;;;;;;;;;;;;;;991.306946;891.909241;312.629150;;;
104;806.596008;693.363892;211.049026;1053.614502;838.373413;476.325378;701.679199;629.587158;169.291260;;;;764.068115;620.808899;145.746811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;802.171326;693.859253;212.153961;1051.993896;838.363892;476.363708;696.852722;630.332092;171.676132;;;;759.130676;622.043884;147.298203;;;;;;;;;;;;;;;;;;;;;;;;;;;;986.005920;892.250122;314.072205
106;797.863586;694.795044;213.680466;1050.216797;838.415955;476.989594;692.190491;631.228516;174.261078;;;;754.471619;623.324524;148.946136;;;;;;;;;;;;;;;;;;;;;;;;;;;;981.527954;892.803650;315.362366
107;793.708984;695.625610;214.982895;1048.207275;838.453979;477.170654;687.173950;632.347412;176.560898;;;;749.479126;624.308472;150.835602;;;;;;;;;;;;;;;;;;;;;;;;;;;;977.956421;892.705994;316.805450
108;789.304993;696.240173;216.747269;1045.654053;838.537659;477.565552;682.291199;633.523438;178.440491;;;;744.232483;624.929504;152.478271;;;;;;;;;;;;;;;;;;;;;;;;;;;;976.021790;892.500122;316.746338
109;784.516357;696.630798;218.321411;1043.762817;838.466675;477.734375;677.484863;634.331055;180.266907;;;;738.920959;625.267334;153.817169;;;;;;;;;;;;;;;;;;;;;;;;;;;;972.388672;892.452393;317.396179
110;779.641296;697.153687;220.150269;1041.933472;838.323547;478.336914;671.929749;635.274719;182.566422;;;;733.549744;625.966919;155.680710;;;;;;;;;;;;;;;;;;;;;;;;;;;;968.138489;892.554382;318.735443
111;774.938782;697.598877;221.190811;1039.452515;838.274414;478.453400;666.442078;636.172424;184.092972;;;;727.743958;627.066284;156.538345;;;;;;;;;;;;;;;;;;;;;;;;;;;;965.428284;892.454895;318.836517
112;770.242371;697.939087;222.175583;1037.529663;838.238953;478.579315;660.976074;637.189819;185.894958;;;;722.241699;628.184998;157.409073;;;;;;;;;;;;;;;;;;;;;;;;;;;;961.840088;892.239197;319.589905
113;765.428772;698.490295;223.471725;1035.067749;838.176819;479.118835;655.356323;638.328308;187.234833;;;;717.136475;629.013123;158.838470;;;;;;;;;;;;;;;;;;;;;;;;;;;;957.464539;892.167969;320.576050
