Grasp120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:44:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
54;1110.414795;820.874390;292.106689;749.946106;785.886841;115.954636;1124.180054;730.604065;437.354065;881.272156;791.506165;163.331497;;;;798.143372;739.659729;166.892471;;;;;;;;;;;;;;;
55;1111.398438;820.653137;292.487183;749.338989;780.574707;121.390678;1124.809448;730.630615;437.761505;881.054260;787.984924;167.097397;;;;799.071655;734.428284;171.235336;;;;;;;;;;;;;;;
56;1112.111328;820.425537;292.992279;748.863770;775.158691;127.894157;1125.502441;730.666565;437.844269;881.192993;784.366211;170.682007;;;;800.098755;728.728333;175.685928;;;;;;;;;;;;;;;
57;1112.691162;820.189453;293.512451;748.319031;769.400757;133.387405;1126.147949;730.715454;437.968109;881.481628;780.623901;174.214859;;;;801.550781;722.291199;179.677017;;;;;;;;;;;;;;;
58;1113.215088;819.953308;294.122772;748.028076;763.460754;138.907654;1126.550293;730.713623;438.028564;881.295654;776.624268;177.681442;;;;803.345276;716.209473;182.751221;;;;;;;;;;;;;;;
59;1113.176880;819.640076;295.150635;747.825562;757.425781;144.411194;1126.808716;730.781372;438.011475;881.657410;772.670776;180.606247;;;;804.862183;710.051636;185.972580;;;;;;;;;;;;;;;
60;1113.480957;819.168335;296.067993;747.524536;751.242493;149.212387;1127.353760;730.799011;438.217346;881.774353;768.622925;184.123810;;;;806.287842;703.785950;189.060349;;;;;;;;;;;;;;;
61;1113.559937;818.776917;296.854858;747.315552;745.172363;154.290970;1127.949829;730.837219;438.636566;881.883606;764.413391;186.739548;;;;807.826050;697.590515;191.410202;;;;;;;;;;;;;;;
62;1113.706787;818.458130;297.351990;747.486023;738.916016;158.642456;1128.683472;731.085205;438.591888;882.300110;760.330872;189.231049;;;;809.458984;691.477112;193.371246;;;;;;;;;;;;;;;
63;1113.804688;818.155823;297.610291;747.672424;732.670166;162.252487;1129.448975;731.573975;438.540894;882.333130;755.876465;192.189484;;;;811.112000;685.306396;195.008286;;;;;;;;;;;;;;;
64;1113.491699;817.863037;298.180511;748.074341;726.111023;166.702911;1129.010742;731.101135;439.389160;880.102966;751.661438;196.722000;;;;813.253906;678.975098;196.132187;;;;;;;;;;;;;;;
65;1112.976318;817.536621;299.107056;748.157471;719.787292;170.547592;1128.947754;731.064819;439.804260;880.602112;748.841064;198.466705;;;;815.181213;672.832092;197.051956;;;;;;;;;;;;;;;
66;1111.978027;817.328003;299.923676;748.498779;713.589417;173.690109;1129.125610;731.182800;440.145966;882.315186;743.862244;198.554214;;;;817.192932;666.716797;197.850601;;;;;;;;;;;;;;;
67;1111.503906;817.021545;300.401489;749.122620;706.765930;176.507599;1129.091187;731.156189;440.686584;883.138855;739.198425;199.954254;;;;819.424805;661.027588;197.763550;;;;;;;;;;;;;;;
