;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
47;923.749390;516.859863;73.238510;881.499573;436.092133;33.488247;998.169373;754.207092;250.421326;795.448303;491.550598;33.579933;;;;1072.692383;818.608276;399.181976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;923.535461;517.658203;73.911201;881.104614;436.469513;34.751858;998.792664;754.984070;249.944809;795.303589;491.571350;34.775574;;;;1073.189087;818.860352;399.146942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;923.536072;518.289917;74.834656;880.567627;436.942413;36.322639;999.176941;756.129272;249.676727;795.352661;491.828918;35.777454;;;;1073.512573;818.988953;399.088257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;923.674438;519.011292;76.288406;880.203247;437.521637;37.916397;999.728394;757.596985;249.068863;795.053833;492.513672;37.082588;;;;1073.890625;819.204590;398.930695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;923.543579;519.259216;78.138504;879.640137;437.991028;39.881832;1000.728882;758.841492;248.375595;794.549377;493.410736;38.915401;;;;1074.864258;819.623291;398.790741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;923.240051;519.949219;79.275139;879.278992;438.796448;42.213310;1001.626099;760.117065;247.920471;794.350220;493.773376;40.907017;;;;1075.466431;820.346313;397.961456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;923.065430;521.139526;80.327614;878.433960;439.427094;44.097652;1002.105896;761.606323;247.745270;793.992737;494.502594;43.819252;;;;1075.548340;821.043579;397.908905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;923.037537;522.189575;81.938858;877.890564;440.068970;46.365795;1002.669678;762.750427;247.590469;793.524963;494.989563;46.127934;;;;1075.687256;821.690369;398.006622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;923.229126;522.714172;83.219810;877.554504;440.566742;49.178761;1003.482239;764.250061;247.240494;793.387451;495.674164;48.798016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;923.229492;523.713135;85.122856;877.077576;440.940613;51.897526;1004.333679;765.847107;246.681473;793.130371;496.117371;51.931835;;;;;;;1076.471191;822.882568;397.641296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;923.166809;524.789734;86.453918;876.815857;441.333008;54.626320;1005.198914;767.133057;245.961533;792.871826;496.470367;55.129955;;;;;;;1077.502563;823.144653;397.699860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
