Grasp24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:06:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
39;913.319946;811.861328;61.634293;1085.764160;893.538330;189.835480;775.091797;803.553772;33.702438;1169.901367;835.220337;451.328674;837.987793;749.896790;33.076458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;913.266418;811.877197;61.678829;1085.728516;893.601990;189.784988;775.135315;803.532898;33.720585;1169.888428;835.233276;451.349548;838.004211;749.938843;32.981400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;913.247620;811.877686;61.692791;1085.778564;893.614990;189.735336;775.136414;803.535706;33.728951;1169.867310;835.230774;451.248962;837.990540;749.989685;33.002308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;913.234619;811.889465;61.750690;1085.915405;893.606323;189.703293;775.219482;803.639587;33.743729;1169.912231;835.245728;451.180084;838.010132;749.999695;33.033665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;913.240356;811.956726;61.873463;1085.953735;893.610779;189.602127;775.262207;803.643799;33.693382;1169.936157;835.300171;451.157654;837.948486;749.992065;33.093895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;913.167725;811.985962;62.025620;1085.996338;893.621277;189.501999;775.250610;803.652161;33.716736;1169.955200;835.307739;451.158478;837.887268;749.967468;33.111969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;913.144470;812.008240;62.096226;1086.090332;893.692871;189.341904;775.709290;803.328369;33.607773;1169.971191;835.323120;451.137726;837.840027;749.984314;33.056286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;913.098083;812.020996;62.162548;1086.210571;893.734192;189.291138;775.348999;803.596130;33.651169;1169.998291;835.332825;451.136475;837.901245;749.993774;33.098167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;913.095947;811.964294;62.258121;1086.317261;893.746887;189.284103;775.156677;803.691711;33.770393;1170.024292;835.372131;451.114807;837.948364;750.080139;33.112591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;913.046631;811.958008;62.351650;1086.407349;893.810364;189.111267;775.196655;803.725037;33.805740;1170.029785;835.363098;451.027740;837.883179;750.122681;33.006214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;912.599670;811.849854;62.626190;1086.478394;893.879089;189.014114;775.262024;803.767883;33.867371;1170.021851;835.397034;451.015869;837.913879;750.112305;33.057823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;912.731445;812.002014;62.856770;1086.696167;893.849976;188.948349;775.236633;803.760071;33.910671;1170.020142;835.427307;450.980560;837.974731;750.024719;33.083118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;912.801941;812.098694;62.834557;1086.841553;893.794678;188.807770;775.206177;803.759033;33.928379;1170.033569;835.449524;450.966858;837.996216;749.996033;33.079212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;912.869080;812.212036;62.904293;1086.857910;893.810059;188.626999;775.652588;803.411682;33.865685;1169.953491;835.518127;450.957062;838.095764;749.897888;33.128136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;912.870972;812.225403;62.923027;1087.073730;893.814148;188.485962;775.370117;803.647400;33.916470;1169.933472;835.527283;450.953888;838.207397;749.757996;33.198738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;912.861755;812.312988;63.030895;1087.216553;893.762573;188.312195;775.231934;803.745117;34.176155;1169.908203;835.578247;450.848206;838.416748;749.549194;33.337261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;912.932190;812.412109;63.136002;1087.515015;893.792969;188.075317;775.212036;803.727234;34.421539;1169.960938;835.581543;450.778625;838.663208;749.258545;33.544430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;912.878418;812.584717;63.105824;1087.650391;893.867371;187.992172;775.361084;803.585144;34.708996;1169.922974;835.529419;450.724152;838.984802;748.920593;33.938873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;912.896606;812.769043;63.138214;1087.801392;893.892273;187.942520;775.614929;803.163574;35.186573;1169.876343;835.574402;450.719360;839.279175;748.501953;34.313480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;912.984985;812.882141;63.286167;1087.986816;893.958069;187.938522;774.994690;803.135254;36.045765;1169.838745;835.521912;450.620911;839.586243;748.141968;34.738308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;913.064270;813.104492;63.662525;1088.034668;894.111816;187.620605;774.480286;803.301758;36.938919;1169.834229;835.511414;450.602936;839.994690;747.599487;35.305546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;913.201050;813.435059;63.913483;1088.175293;894.246643;187.494827;774.533569;803.408691;37.450817;1169.684937;835.557129;450.619690;840.474609;747.132507;36.036018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;913.360229;813.665833;64.150436;1088.303955;894.269836;187.445801;774.881592;803.475098;38.000542;1169.594360;835.578735;450.570190;840.867310;746.620483;36.739273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;913.485718;813.896667;64.437347;1088.518066;894.337280;187.448120;775.163879;803.524902;39.009113;1169.491333;835.540527;450.683105;841.277466;745.919067;37.576462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;913.610352;814.109375;64.692566;1088.699097;894.449280;187.316162;775.176270;803.409058;40.514912;1169.376221;835.570679;450.551422;841.779480;745.391235;38.367439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;913.749512;814.518860;65.169891;1088.798218;894.483948;187.243317;774.706421;803.346680;42.219852;1169.330933;835.569885;450.513489;842.309265;744.809448;39.177914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;913.996338;814.816956;65.682259;1089.078369;894.505432;187.337814;774.657715;803.399353;43.124916;1169.249268;835.611816;450.446320;842.875549;744.129089;40.026772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;914.074219;815.083862;66.150352;1089.410645;894.536499;187.204544;775.042664;803.357422;44.113663;1169.166382;835.589050;450.481659;843.435364;743.376404;40.946411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;914.187988;815.070190;66.929596;1089.657593;894.607544;186.987274;775.119080;803.344666;45.800350;1169.136230;835.581360;450.471069;844.026001;742.704712;41.973728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;914.163940;815.209290;67.148758;1090.026855;894.696350;186.899048;774.987244;803.146912;47.539783;1169.006958;835.620300;450.483124;844.764893;742.104004;42.708389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;914.263062;815.202271;67.494751;1090.351074;894.797485;186.770844;774.926331;803.191895;48.465488;1168.948730;835.614014;450.486237;845.636780;741.499390;43.436745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;914.431274;815.316528;67.782791;1090.591187;894.793579;186.690735;775.266846;803.031006;49.980015;1168.845825;835.617920;450.390900;846.475403;740.921692;44.294788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;914.651245;815.369019;68.181999;1090.819092;894.876526;186.638260;775.404846;802.881592;51.456573;1168.734131;835.631348;450.384308;847.075439;740.237915;45.449608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;914.891602;815.302612;68.744698;1091.041016;894.889038;186.447464;775.487061;802.421692;53.000984;1168.691895;835.701355;450.357361;847.495178;739.558411;46.496811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;915.053833;815.247070;69.247574;1091.066162;894.988403;186.418030;775.469788;802.166260;54.062626;1168.627930;835.599365;450.260864;848.192993;738.751404;47.707760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;915.254944;815.237915;69.699608;1091.193726;895.056152;186.439438;775.767944;801.622681;55.888264;1168.491333;835.657104;450.301483;848.890015;737.955383;49.136902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;915.452148;815.171204;70.325188;1091.240479;895.111389;186.457016;776.143433;800.913757;57.361641;1168.485229;835.639526;450.296173;848.877075;737.487915;50.551708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;915.485229;814.898682;71.104927;1091.306885;895.169128;186.402603;776.258301;800.089050;58.155602;1168.424683;835.596313;450.221680;849.804260;736.488281;51.984879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;914.954712;814.799072;71.948357;1091.210449;895.268250;186.185638;776.140198;799.279297;59.763798;1168.255493;835.661804;450.163147;850.738403;735.572510;53.033260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;914.978210;814.598267;72.475189;1091.110229;895.292542;186.064926;775.742004;798.688721;61.980507;1168.179688;835.735352;450.107208;851.772400;734.428101;54.243111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;914.817627;814.358093;72.873604;1091.282227;895.330872;186.119751;775.839111;798.216370;63.694893;1168.010742;835.727234;450.110718;852.296814;733.827271;55.703499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;915.332947;813.739685;73.418907;1091.292725;895.336975;186.102982;775.833008;797.374878;64.939743;1168.007324;835.727478;450.109039;852.935669;732.621704;57.056381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;915.514404;813.155823;74.112221;1091.302856;895.272705;186.118164;775.781128;796.549561;66.440857;1167.841919;835.730713;450.107574;853.643066;731.486938;58.995384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;915.596130;812.601440;74.626228;1091.271362;895.218201;186.086792;776.284851;795.289856;68.557640;1167.716797;835.770874;450.071411;854.105469;730.363953;60.795574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;915.698059;812.150391;75.178886;1091.305908;895.152222;186.122467;776.401062;794.129700;69.641502;1167.548218;835.754395;450.071686;854.510010;729.706177;61.925850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;915.731018;811.323914;75.958588;1091.205566;895.052307;186.011047;776.895630;793.142578;71.169792;1167.368774;835.762878;450.067017;855.168457;728.721558;63.331310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;915.659912;810.584595;76.600006;1091.206543;894.928345;186.015457;776.943298;792.202332;72.691338;1167.286987;835.779114;450.011536;856.730408;726.731018;65.074432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;915.521179;810.035156;76.880135;1091.356812;894.717346;186.236160;776.526001;791.109436;73.920471;1167.121582;835.798706;449.963715;857.775024;725.109253;66.285545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;915.514526;809.281555;77.151466;1091.316895;894.529846;186.217911;776.675354;789.569641;76.188164;1166.895752;835.809937;449.957153;857.524475;724.375977;67.881050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;915.545837;808.190308;77.828552;1091.205933;894.310974;186.097626;777.166626;788.523132;77.660004;1166.636719;835.816956;450.008850;858.581970;723.271973;69.396393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;914.863892;807.280212;79.220306;1091.195801;894.063293;186.021317;777.745605;786.653442;78.810066;1166.364746;835.860291;449.941711;859.294800;721.449768;70.709656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;915.471252;806.410889;79.854630;1091.040527;893.829224;185.992966;777.368591;785.245361;80.345848;1166.002808;835.924805;449.916809;859.471069;720.285278;72.363304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;915.348206;805.644836;80.298660;1090.847412;893.650635;186.000656;777.206787;784.427002;82.063759;1165.595825;835.994751;449.955170;859.722839;719.234436;73.514977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;915.572266;804.290222;80.681442;1090.652344;893.430847;185.983795;777.076050;782.487976;84.194679;1165.562744;835.944763;449.933441;860.688049;717.016663;74.631035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;915.617126;803.073303;81.180000;1090.406128;893.249268;185.912857;777.260010;780.915100;84.901039;1165.503174;835.918274;449.927582;861.455750;715.655945;75.906662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
