Grasp45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:28:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;906.693298;800.674500;70.874702;769.505859;789.427246;34.542709;1105.805298;893.913208;242.297974;1196.068237;861.794556;400.549591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;906.759705;800.855591;71.094498;769.432739;789.460510;34.540054;1105.916748;893.983337;242.240891;1196.195190;861.651917;400.375977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;906.722473;800.696472;70.992722;769.452209;789.449280;34.526112;1105.986572;893.995300;242.028183;1196.308105;861.580872;400.302399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;906.716309;800.710449;71.021782;769.408936;789.446838;34.551403;1106.125854;893.986206;241.995895;1196.322021;861.578918;400.315582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;906.683472;800.737244;70.967491;769.378357;789.459229;34.624348;1106.215942;893.986755;241.929520;1196.369507;861.488342;400.238434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;906.628845;800.678162;70.986359;769.356384;789.442383;34.618683;1106.282959;893.981995;241.860641;1196.399414;861.383118;400.215027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;906.626526;800.707886;71.030411;769.388428;789.446228;34.672653;1106.433105;893.928528;241.730804;1196.408447;861.335876;400.216370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;906.618042;800.726685;71.061943;769.368225;789.440369;34.617489;1106.552612;893.946533;241.725037;1196.404785;861.312744;400.048492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;906.626648;800.734558;71.139069;769.348511;789.547668;34.605568;1106.647583;893.913818;241.641190;1196.396851;861.214355;400.003326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;906.562500;800.767212;71.154648;769.313110;789.578735;34.582405;1106.724854;893.892456;241.591614;1196.299683;861.146606;399.829559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;906.539124;800.728333;71.243675;769.254700;789.581116;34.613091;1106.818604;893.948181;241.544540;1196.279053;861.046021;399.786163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;906.461914;800.528076;71.676979;769.280334;789.565002;34.697430;1106.970947;893.888489;241.438492;1196.350098;861.003052;399.583801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;906.351501;800.518677;71.856201;769.249023;789.573914;34.658691;1107.177856;893.851746;241.363419;1196.439941;860.945313;399.493073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
