Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;885.182739;722.853577;57.443470;946.366028;802.626404;79.306793;806.024963;788.507568;75.559532;1099.452881;894.975525;270.701660;1158.806763;869.966370;449.213104;;;;;;;;;;;;;;;
34;885.304932;721.630188;60.294868;946.054688;801.741394;81.693970;806.263428;787.384094;79.717148;1099.335205;894.985657;270.868561;1158.357056;870.166260;449.080170;;;;;;;;;;;;;;;
35;885.622620;719.605103;63.167385;945.554993;800.994568;82.936150;806.177673;786.069153;83.413681;1099.683228;894.820435;270.753662;1158.102173;870.366089;448.985291;;;;;;;;;;;;;;;
36;886.567261;717.767822;65.194916;945.261292;800.246826;84.041557;805.597595;784.698914;87.217194;1099.996826;894.747192;270.684937;1157.955566;870.507813;448.948090;;;;;;;;;;;;;;;
37;886.897766;715.623840;68.268921;944.728455;799.090881;85.134361;805.551208;783.268738;90.684685;1099.788696;894.764160;270.857788;1157.918945;870.542480;448.921478;;;;;;;;;;;;;;;
38;887.220947;713.348267;70.871674;944.417847;797.746094;86.227844;805.175903;781.684143;93.516846;1099.372681;894.707642;270.884186;1157.772217;870.638977;448.768311;;;;;;;;;;;;;;;
39;887.474426;711.487183;72.955032;943.844971;796.408569;88.044182;805.054504;779.470093;96.514732;1099.562988;894.340820;270.746094;1157.506226;870.701538;448.557343;;;;;;;;;;;;;;;
40;888.479858;708.799866;75.429779;943.032776;794.970276;90.102905;804.951477;777.847534;99.902779;1098.925903;894.205383;270.854340;1157.174927;870.664612;448.248627;;;;;;;;;;;;;;;
41;888.700562;706.135681;78.183685;942.321472;793.382019;91.474083;804.391052;776.129150;102.643387;1098.106934;893.935364;270.994476;1156.771118;870.642883;447.988831;;;;;;;;;;;;;;;
42;888.390381;704.155151;80.315033;941.133850;792.329956;92.971321;803.464722;774.504150;105.451645;1097.570801;893.467224;270.922363;1156.814819;870.529419;447.654999;;;;;;;;;;;;;;;
