;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
36;900.463074;782.631531;121.872528;886.554749;686.220459;107.976204;767.821533;750.588135;99.596756;;;;1140.406982;918.931763;334.278717;;;;;;;;;;;;;;;;1153.459839;879.583252;520.187195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;899.094604;779.763062;123.198372;885.144836;682.966309;109.058716;766.980103;747.743958;100.500641;;;;1139.644287;918.169678;333.807312;;;;;;;;;;;;;;;;1152.645264;879.491516;519.636230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;897.966736;777.079773;124.083450;883.639648;680.048706;109.864807;765.547119;744.763367;101.550491;;;;1138.651733;917.248352;332.974701;;;;;;;;;;;;;;;;1151.929565;879.448364;519.222290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;896.711548;774.415710;124.462242;882.176208;677.029419;110.835770;763.927673;742.245056;102.843269;;;;1137.827026;916.317200;332.160461;;;;;;;;;;;;;;;;1151.085693;879.397034;518.912903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;895.416809;771.893188;125.351067;880.547852;674.058289;111.621735;762.442200;739.770996;103.768486;;;;1136.836670;915.378113;331.188690;;;;;;;;;;;;;;;;1150.652710;879.230347;518.601196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;893.924072;769.065674;125.740089;879.302612;671.297241;112.316185;761.461670;737.490112;104.499481;;;;1135.948608;914.435974;330.598663;;;;;;;;;;;;;;;;1150.204102;879.171509;518.083801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;893.437195;766.777527;126.132729;878.053162;668.636353;113.280075;760.304932;734.757263;105.158752;;;;1135.035522;913.309448;329.649536;;;;;;;;;;;;;;;;1149.732178;879.153320;517.620728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;892.035522;764.120789;126.312141;876.885132;665.793457;114.125801;759.609070;732.385864;105.119278;;;;1134.192627;912.064819;328.967743;;;;;;;;;;;;;;;;1149.262817;879.064758;517.275818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;891.139954;761.552002;126.957283;875.520569;663.279602;115.015587;758.380920;730.019226;105.875633;;;;1133.571777;911.080872;328.340057;;;;;;;;;;;;;;;;1148.613281;879.060425;516.500793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;889.841858;759.061218;127.153572;874.535034;661.055725;115.365677;757.258667;727.372192;106.182350;;;;1132.410400;909.718201;327.455353;;;;;;;;;;;;;;;;1147.745728;878.734253;515.784790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
