Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:05:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;846.216248;764.061768;182.563889;767.600891;652.716248;169.243835;919.869202;1019.484497;477.700928;863.272888;1027.184570;275.223572;864.021179;670.716980;147.984024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;845.729431;761.788147;184.041901;768.095093;649.804443;170.053452;919.397949;1018.985046;477.845276;861.945496;1025.786499;275.790283;864.341125;669.206055;149.024292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;845.480713;759.107056;185.866592;769.042786;646.828918;170.232605;919.011230;1018.573059;477.913879;861.062988;1024.422363;275.943085;864.964417;667.616455;149.724152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;845.128174;756.877136;186.841858;769.571045;643.979553;170.089386;918.795227;1018.005676;478.046356;859.791382;1023.111633;276.747711;866.316956;666.411560;150.067581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;845.008972;754.773804;188.114990;770.034180;641.554871;170.021362;919.008301;1017.399109;477.776062;858.422668;1021.735962;277.096497;867.190186;664.729309;150.330856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;845.049072;752.271240;189.497253;770.650269;638.883240;169.316589;918.494690;1016.775574;478.003418;857.534546;1019.955383;277.251343;867.991333;663.497437;150.449905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;845.040710;749.909729;190.910507;771.651978;636.109924;168.436829;917.927490;1016.239624;478.399841;856.407837;1018.746155;277.194244;868.447083;661.593750;150.412384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;844.853088;747.567383;191.701508;772.233032;633.755554;167.374207;917.426636;1015.683105;478.786316;855.334473;1017.414001;277.272644;869.193054;660.273071;150.621094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;844.529236;745.556824;192.874863;772.996582;631.239868;166.524689;916.718384;1015.077209;478.910919;854.050171;1015.799744;277.658508;869.838562;659.128845;150.320007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;844.721619;743.125549;194.037704;773.750977;628.862732;164.867294;916.227844;1014.476318;478.847198;852.798645;1014.471130;278.042816;870.705017;657.649109;150.177261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
