Grasp121;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:02:48;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
58;821.794739;501.818298;151.912415;868.945435;576.045532;214.476105;;;;759.103638;509.456604;172.184204;;;;1130.368286;788.842651;451.381958;1015.133362;798.571472;272.500977;;;;;;
59;820.445740;505.692871;151.926010;868.403259;579.746033;215.317642;;;;757.621155;514.173279;173.159729;;;;1131.026855;789.320679;451.410522;1016.075684;801.076721;273.214050;;;;;;
60;819.502014;509.857422;152.282532;867.888672;583.723877;215.253418;;;;755.859253;519.047607;174.111801;;;;1131.899536;789.925354;451.637543;1017.627563;803.142700;273.408478;;;;;;
61;818.969177;514.288757;152.370468;867.283752;587.616455;215.406540;;;;754.265503;524.032715;175.014847;;;;1132.575073;790.708740;451.711853;1020.064270;805.481384;272.821167;;;;;;
62;818.358093;518.483521;152.568604;866.863281;591.110596;216.544922;;;;752.750671;528.668518;175.769745;;;;1133.510742;791.157898;451.961945;1021.935120;807.454529;273.030334;;;;;;
63;817.720398;522.506958;152.386795;866.218018;594.473633;216.694992;;;;751.525085;533.394470;176.282547;;;;1134.525879;791.559204;452.259735;1023.524292;809.629456;273.198517;;;;;;
64;816.940857;527.054016;151.947525;865.987915;598.338867;216.666840;;;;750.371094;538.091980;176.228882;;;;1135.521729;791.975403;452.302185;;;;;;;;;
65;816.606445;531.186279;151.971024;865.497498;602.262573;216.972534;;;;749.215515;542.857605;176.516769;;;;1136.220093;792.384827;452.582336;;;;;;;;;
66;815.949951;535.365723;151.534851;865.191650;605.289795;216.927429;;;;748.110413;547.572937;176.862350;;;;1137.236084;792.860535;452.683899;;;;;;;;;
67;815.788574;539.598022;150.800659;864.831482;608.471924;217.373077;;;;746.874451;552.132080;176.922333;;;;1138.191528;793.339661;452.872131;;;;;;;;;
68;815.359436;543.491943;149.983887;864.527710;611.754028;217.518433;;;;745.498352;556.338318;177.410004;;;;1138.529053;793.918823;452.942261;;;;;;;;;
69;815.143677;547.356750;149.716049;864.294922;615.121033;217.140167;;;;744.625793;561.045044;176.933243;;;;1139.381592;794.364197;453.262665;;;;1032.247437;821.501404;275.457947;;;
70;815.078369;551.201538;149.077881;864.018982;618.239197;216.629059;;;;743.808350;565.587830;176.465759;;;;1140.176636;794.760132;453.358704;;;;1033.355347;823.482117;275.957672;;;
71;815.279846;554.563416;148.218918;864.007935;621.171814;217.351700;;;;743.125977;570.001587;176.056961;;;;1140.972412;795.179382;453.500488;;;;1034.983765;825.066895;276.155151;;;
72;815.646545;557.897766;147.551773;863.998413;624.557007;216.689590;;;;742.339111;574.122498;175.963425;;;;1141.627563;795.593384;453.707214;;;;;;;;;
73;815.846924;560.900879;146.814987;863.705627;627.621155;216.041580;;;;741.665466;577.565796;176.230103;;;;1142.169189;795.953796;453.810181;;;;;;;1036.024780;829.550781;277.772919
